2,t,"Land Values 2017 Summary: Released August 3, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA).",,,,,,,,,,,,,,,,,,,,,,
2,t,"Cropland, Average Value per Acre – Region, State, and United States: 2013-2017",,,,,,,,,,,,,,,,,,,,,,
2,h,,,,,,,,,,,,,,,,,,,,,,,
2,h,,,,,,,,,,,,,,,,,,,,,,,Change
11,d,  Florida,3280,3230,3190,3550,3720,3730,3690,3810,6260,6540,6860,6980,6430,6550,6580,6420,6450,6500,6560,6730,6750,0.3
11,d,  Georgia,1060,1140,1250,1600,1780,1970,2150,2260,2700,3620,4290,4540,4050,3390,3360,3130,3080,3080,3160,3410,3420,0.3
11,d,  South Carolina,1090,1160,1200,1350,1450,1600,1750,1850,2020,2110,2430,2610,2500,2560,2590,2620,2440,2460,2460,2460,2500,1.6
11,d,,,,,,,,,,,,,,,,,,,,,,,
11,d,Delta,956,996,1030,1070,1120,1160,1210,1270,1420,1540,1690,1800,1810,1890,2020,2160,2380,2510,2600,2680,2760,3
11,d,  Arkansas,968,1030,1080,1100,1140,1180,1220,1290,1440,1550,1680,1770,1860,1910,1990,2180,2380,2540,2630,2710,2790,3
11,d,  Louisiana,1080,1060,1060,1130,1160,1190,1240,1300,1450,1530,1690,1830,1740,1800,1970,2120,2260,2380,2500,2620,2740,4.6
11,d,  Mississippi,821,878,925,985,1040,1100,1160,1210,1370,1530,1710,1810,1810,1950,2100,2180,2470,2570,2620,2680,2720,1.5
11,d,,,,,,,,,,,,,,,,,,,,,,,
11,d,Southern Plains,641,667,681,721,753,808,863,902,979,1110,1250,1390,1380,1400,1450,1500,1480,1630,1770,1820,1930,6
11,d,  Oklahoma,553,577,558,600,619,643,668,697,845,889,979,1110,1130,1130,1130,1280,1390,1500,1590,1640,1740,6.1
11,d,  Texas,674,701,728,769,805,871,937,981,1030,1190,1360,1500,1480,1510,1580,1590,1520,1680,1840,1890,2010,6.3
11,d,,,,,,,,,,,,,,,,,,,,,,,
11,d,Mountain,904,936,968,990,1030,1120,1170,1200,1230,1520,1640,1670,1610,1520,1540,1600,1780,1690,1740,1760,1780,1.1
11,d,  Arizona 2/,3700,3800,4100,4400,4800,5600,6000,6400,9000,10500,10800,11500,10000,7750,7610,7960,8290,8320,8320,8300,8400,1.2
11,d,  Colorado,772,809,833,922,966,999,1050,1060,1000,1170,1270,1310,1300,1290,1340,1450,1770,1840,1910,1910,1920,0.5
11,d,  Idaho,1320,1370,1420,1470,1530,1600,1680,1710,1810,2450,2770,2800,2610,2480,2470,2580,2850,3040,3200,3300,3400,3
11,d,  Montana,458,463,461,481,493,503,520,548,588,756,784,811,787,779,806,852,890,987,997,1010,1020,1
11,d,  Nevada 2/,1700,1850,1900,1850,1850,1850,1900,1950,2180,2670,2720,2740,2700,(D),(D),(D),(D),2670,2670,(D),(D),(X)
11,d,  New Mexico 2/,1330,1380,1420,1390,1420,1440,1470,1450,1140,1370,1570,1630,1810,1750,1740,1550,1450,1450,1440,1450,1480,2.1
11,d,  Utah 2/,2300,2390,2610,2620,2790,2880,2960,2900,2170,2620,2940,2700,2810,2720,2690,2690,3230,3260,3300,3340,3420,2.4
11,d,  Wyoming,744,777,781,830,872,915,957,972,812,970,1150,1180,1177,1230,1320,1360,1360,1370,1370,1370,1350,-1.5
11,d,,,,,,,,,,,,,,,,,,,,,,,
11,d,Pacific,3030,3150,3350,3250,3310,3410,3500,3570,4380,4690,5420,5570,5210,4980,5070,5310,5690,5860,6160,6330,6570,3.8
11,d,  California,5080,5260,5700,5450,5550,5730,5920,6020,7730,8290,9700,9880,9480,8960,9130,9400,9860,10140,10690,10910,11290,3.5
11,d,  Oregon,1430,1430,1520,1550,1600,1650,1670,1690,1760,1950,2280,2380,2340,2210,2180,2340,2400,2500,2600,2730,2860,4.8
11,d,  Washington,1340,1430,1410,1420,1430,1450,1470,1510,1560,1620,1700,1830,1790,1870,1930,2190,2420,2560,2630,2760,2890,4.7
11,d,,,,,,,,,,,,,,,,,,,,,,,
11,d,United States 3/,1270,1340,1410,1460,1510,1590,1660,1770,2060,2300,2530,2760,2670,2700,2980,3350,3810,4100,4130,4090,4090,-
