State_Name,State_District_Name,XX_Women_Who_Are_Aware_Of_Hiv_Aids_Total,XX_Women_Who_Are_Aware_Of_Hiv_Aids_Rural,XX_Women_Who_Are_Aware_Of_Hiv_Aids_Urban,XX_Women_Who_Are_Aware_Of_Rti_Sti_Total,XX_Women_Who_Are_Aware_Of_Rti_Sti_Rural,XX_Women_Who_Are_Aware_Of_Rti_Sti_Urban,XX_Women_Who_Are_Aware_Of_Haf_Ors_Ort_Zinc_Total,XX_Women_Who_Are_Aware_Of_Haf_Ors_Ort_Zinc_Rural,XX_Women_Who_Are_Aware_Of_Haf_Ors_Ort_Zinc_Urban,XX_Women_Who_Are_Aware_Of_Danger_Signs_Of_Ari_Pneumonia_Total,XX_Women_Who_Are_Aware_Of_Danger_Signs_Of_Ari_Pneumonia_Rural,XX_Women_Who_Are_Aware_Of_Danger_Signs_Of_Ari_Pneumonia_Urban
Uttar Pradesh,Muzaffarnagar,81.29,79.2,90.26,79.2,78.91,80.48,99.03,99.13,98.58,98.11,98.27,97.41
Uttar Pradesh,Pilibhit,45.19,41.33,69.96,38.25,36.88,47.08,99.2,99.11,99.76,96.48,96.3,97.62
Uttar Pradesh,Pratapgarh,84.15,83.5,99.62,93.23,93.23,93.19,97.8,97.72,99.81,94.55,94.4,98.3
Uttar Pradesh,Rae Bareli,77.13,75.79,92.88,59.92,58.47,76.91,98.34,98.2,100,91.1,90.93,93.14
Uttar Pradesh,Rampur,58.32,51.97,82.91,52.76,50.57,61.25,98.58,98.68,98.16,98.25,98.22,98.37
Uttar Pradesh,Saharanpur,74.81,72.11,86.9,78.69,77.44,84.27,98.56,98.49,98.87,98.97,99.05,98.62
Uttar Pradesh,Sant Kabir Nagar,94.23,93.94,NA,97.76,97.74,NA,98.95,98.88,NA,98.56,98.56,NA
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),83.27,82.93,86.2,95.53,95.25,97.93,98.44,98.27,99.89,91.26,91.16,92.17
Uttar Pradesh,Shahjahanpur,59.77,54.52,85.87,40.56,35.56,65.39,99.49,99.43,99.77,94.83,94.39,97.02
Uttar Pradesh,Shrawasti,84.97,84.74,NA,94.25,94.17,NA,98.68,98.63,NA,96.24,96.13,NA
Uttar Pradesh,Siddharthnagar,88.38,88.14,NA,95.3,95.15,NA,99.12,99.09,NA,95.36,95.35,NA
Uttar Pradesh,Sitapur,61,57.77,94.95,53.51,52.86,60.41,92.14,91.72,96.53,96.4,96.51,95.27
Uttar Pradesh,Sonbhadra,40.86,34.75,83.88,94.74,94.29,97.88,97.52,97.31,99.01,95.34,95.24,96.04
Uttar Pradesh,Sultanpur,96.82,96.64,NA,44.64,46.18,NA,99.43,99.78,NA,99.89,99.88,NA
Uttar Pradesh,Unnao,74.25,72.11,86.33,50.44,42.89,93.13,96.08,95.63,98.61,81.86,79.27,96.5
Uttar Pradesh,Varanasi,91.44,89.63,94.53,98.23,97.79,98.98,99.71,99.81,99.54,97.01,97.18,96.73
Uttarakhand,Almora,92.57,92.08,98.73,65.78,64.13,86.85,97.77,97.66,99.2,96.59,96.44,98.52
Uttarakhand,Bageshwar,91.24,91.01,99.47,86.34,86.21,90.81,98.67,98.73,96.64,97.72,97.73,97.35
Uttarakhand,Chamoli,91.11,90.28,95.82,75.4,72.55,91.59,98.59,98.52,98.98,96.49,96.25,97.86
Uttarakhand,Champawat,96.43,96.56,95.67,97.25,97.81,93.85,99.63,99.61,99.72,98.73,98.68,99.02
Uttarakhand,Dehradun,95.9,94.55,97.22,97.34,97.49,97.19,99.04,98.92,99.16,96.79,96.54,97.03
Uttarakhand,Haridwar,92.19,89.87,94.92,97.17,97.15,97.2,98.65,99.34,97.84,97.19,97.43,96.9
Uttarakhand,Nainital,96.73,96.91,96.43,71.7,68.39,77.6,98.78,99.13,98.15,97.72,97.73,97.71
Uttarakhand,Pauri Garhwal,92.89,92.4,96.74,95.87,95.53,98.5,97.97,97.74,99.84,95.76,95.71,96.2
Uttarakhand,Pithoragarh,96.11,95.41,99.17,97.73,97.43,99.05,99.45,99.46,99.39,97.12,96.66,99.14
Uttarakhand,Rudraprayag,93.55,93.53,NA,49.45,49.33,NA,99.24,99.24,NA,97.38,97.37,NA
Uttarakhand,Tehri Garhwal,87.39,86.19,96.03,95.61,95.37,97.31,97.05,96.77,99.06,94.77,94.31,98.03
Uttarakhand,Udham Singh Nagar,93.73,91.55,98.81,46.33,46.68,45.5,98.69,98.39,99.41,98.31,98.68,97.44
Uttarakhand,Uttarkashi,87.81,86.32,98.89,95.74,95.37,98.52,96.31,95.95,99.04,91.61,91.32,93.77

