State_Name,State_District_Name,NN_Current_Usage_Any_Method_Total,NN_Current_Usage_Any_Method_Rural,NN_Current_Usage_Any_Method_Urban,NN_Current_Usage_Any_Modern_Method_Total,NN_Current_Usage_Any_Modern_Method_Rural,NN_Current_Usage_Any_Modern_Method_Urban,NN_Current_Usage_Female_Sterilization_Total,NN_Current_Usage_Female_Sterilization_Rural,NN_Current_Usage_Female_Sterilization_Urban,NN_Current_Usage_Male_Sterilization_Total,NN_Current_Usage_Male_Sterilization_Rural,NN_Current_Usage_Male_Sterilization_Urban,NN_Current_Usage_Copper_T_Iud_Total,NN_Current_Usage_Copper_T_Iud_Rural,NN_Current_Usage_Copper_T_Iud_Urban,NN_Current_Usage_Pills_Total,NN_Current_Usage_Pills_Rural,NN_Current_Usage_Pills_Urban,NN_Current_Usage_Condom_Nirodh_Total,NN_Current_Usage_Condom_Nirodh_Rural,NN_Current_Usage_Condom_Nirodh_Urban,NN_Current_Usage_Emergency_Contraceptive_Pills_Total,NN_Current_Usage_Emergency_Contraceptive_Pills_Rural,NN_Current_Usage_Emergency_Contraceptive_Pills_Urban,NN_Current_Usage_Any_Traditional_Method_Total,NN_Current_Usage_Any_Traditional_Method_Rural,NN_Current_Usage_Any_Traditional_Method_Urban,NN_Current_Usage_Periodic_Abstinence_Total,NN_Current_Usage_Periodic_Abstinence_Rural,NN_Current_Usage_Periodic_Abstinence_Urban,NN_Current_Usage_Withdrawal_Total,NN_Current_Usage_Withdrawal_Rural,NN_Current_Usage_Withdrawal_Urban,NN_Current_Usage_Lam_Total,NN_Current_Usage_Lam_Rural,NN_Current_Usage_Lam_Urban
Chhattisgarh,Durg,66.97,69.4,62.57,66.03,68.93,60.79,61,65.72,52.44,1.45,1.53,1.3,0.5,0.15,1.13,0.24,0.22,0.29,2.22,0.61,5.13,0.29,0.43,0.05,0.94,0.47,1.78,0.05,0.04,0.05,0.14,0.1,0.2,0.15,0.2,0.08
Chhattisgarh,Janjgir-Champa,61.28,61.99,55.19,60.13,60.74,54.82,52.11,53.33,41.57,0.74,0.83,0,1.05,0.89,2.49,0.79,0.75,1.1,3.82,3.15,9.52,0.74,0.81,0.15,1.16,1.25,0.37,0.28,0.31,0,0.14,0.15,0.07,0.59,0.65,0.07
Chhattisgarh,Jashpur,55.15,54.84,NA,53.26,53,NA,46.86,47.1,NA,0.56,0.51,NA,0.16,0.15,NA,1.43,1.24,NA,1.5,1.33,NA,0.51,0.33,NA,1.89,1.84,NA,0.52,0.52,NA,0.47,0.4,NA,0.72,0.75,NA
Chhattisgarh,Kanker,64.46,64.25,NA,63.51,63.26,NA,57.51,57.33,NA,1.82,1.77,NA,0.43,0.44,NA,0.33,0.32,NA,1.79,1.79,NA,0.27,0.24,NA,0.95,0.99,NA,0.02,0.02,NA,0.6,0.63,NA,0.29,0.3,NA
Chhattisgarh,Kawardha,74.73,73.04,NA,62,62.29,NA,54.88,56,NA,0.6,0.64,NA,0.16,0.08,NA,2.5,2.63,NA,3.86,2.94,NA,0,0,NA,12.73,10.76,NA,0,0,NA,0,0,NA,9.45,10.2,NA
Chhattisgarh,Korba,54.13,48.87,61.63,49.69,45.56,55.58,41.32,38.72,45.01,0.58,0.3,0.97,0.72,0.68,0.78,1.38,2.33,0.01,4.47,1.81,8.27,0.54,0.89,0.02,4.44,3.31,6.05,0.82,0.33,1.53,1.19,0.33,2.43,2.3,2.56,1.93
Chhattisgarh,Koriya,45.86,46.28,44.69,44.98,45.25,44.21,41.17,41.71,39.68,0.21,0.13,0.4,0.59,0.33,1.28,0.86,0.85,0.88,1.13,1.12,1.16,0.45,0.48,0.36,0.88,1.03,0.48,0.08,0.07,0.12,0.33,0.33,0.32,0.08,0.11,0
Chhattisgarh,Mahasamund,72.5,73.39,64.14,68.25,69.14,59.9,58.18,59.45,46.18,1.97,2.13,0.39,1.38,1.41,1.09,1.63,1.39,3.95,1.99,1.66,5.13,1.78,1.63,3.16,4.25,4.25,4.24,1.17,1.18,1.09,0.41,0.39,0.59,1.45,1.38,2.07
Chhattisgarh,Raigarh,61.2,61.47,59.37,60.05,60.41,57.68,56.98,58.91,44.13,0.24,0.26,0.14,0.19,0.12,0.63,0.89,0.78,1.59,1.49,0.06,11.05,0.24,0.27,0.05,1.15,1.07,1.69,0.33,0.32,0.43,0.39,0.38,0.48,0.4,0.36,0.63
Chhattisgarh,Raipur,61.05,59.32,65.22,59.71,58.37,62.94,52.18,54.29,47.07,0.59,0.76,0.17,0.15,0.09,0.31,1.9,1.21,3.56,2.78,0.81,7.55,0.6,0.85,0,1.34,0.95,2.27,0.14,0.17,0.08,0.17,0.23,0,0.28,0.18,0.54
Chhattisgarh,Rajnandgaon,62.41,63.79,55.08,61.89,63.71,52.22,53.76,56.45,39.34,0.79,0.78,0.8,0.5,0.59,0,1.75,1.92,0.86,3.75,2.77,9.1,1,1.19,0,0.52,0.09,2.86,0.02,0.03,0,0.07,0.01,0.4,0.23,0.02,1.37
Chhattisgarh,Surguja,46.53,44.8,66.87,44.22,42.62,62.96,35.6,34.61,47.19,1.03,0.85,3.13,0.47,0.44,0.88,0.73,0.56,2.64,5.93,5.9,6.27,0.42,0.25,2.45,2.31,2.17,3.92,0.03,0,0.39,1.65,1.72,0.88,0.58,0.42,2.45
Jharkhand,Bokaro,63.8,61.1,66.5,50.4,47.7,52.9,41.2,41.6,40.7,1.1,1,1.1,0.8,0.4,1.1,2.9,2.4,3.3,4.1,2.1,6.1,0,0,0,13.5,13.3,13.6,6.6,5.9,7.4,2.8,2.2,3.4,3.4,4.3,2.6
Jharkhand,Chatra,46.5,46.1,50.3,41.6,41.7,40.7,37.9,38.6,29.8,0.4,0.4,0.5,0.3,0.3,0.1,1.9,1.8,3.3,0.9,0.5,5.9,0,0,0.4,4.9,4.4,9.7,1.9,1.6,4.6,1.3,1,4.6,1,1.1,0
Jharkhand,Deoghar,52,50.1,61.9,44.7,43.1,53.3,37.9,37.6,40.1,0.3,0.3,0.3,0.7,0.4,2.2,2.8,2.6,4,2.2,1.6,5.7,0.1,0.1,0.2,7.3,7,8.6,3.3,3.1,4.8,1.6,1.3,2.9,1.9,2.1,0.6
Jharkhand,Dhanbad,66.6,67.5,65.9,46.6,45.8,47.2,35.3,36.6,34.5,0.5,0.5,0.4,0.4,0.3,0.4,4.5,4.9,4.2,5.5,3.2,7.1,0.1,0,0.1,20,21.7,18.8,8.3,8.5,8.1,8.5,9.3,8,2.3,2.4,2.2
Jharkhand,Dumka,54,53.5,59.4,33.8,32.5,50.3,22.5,21.5,35.8,0.1,0.1,0.4,0.3,0.2,1,7.5,7.5,7.5,3.2,3,5.4,0,0,0,20.1,21,9.1,7,7.2,4,4.6,4.8,2.2,3.2,3.3,2.3
Jharkhand,Garhwa,61.9,61.7,NA,50.1,49.5,NA,45.3,45.6,NA,0.3,0.3,NA,0.3,0.2,NA,2.2,2.1,NA,1.7,1.2,NA,0,0,NA,11.8,12.2,NA,4.4,4.6,NA,1.3,1.4,NA,5.2,5.3,NA
Jharkhand,Giridih,46.4,45.3,65.1,35,34.2,49.9,29.5,29.1,36.5,0.3,0.3,0.5,0.2,0.2,0.4,2.2,2.1,5.1,2.4,2.1,6.8,0.2,0.2,0.1,11.3,11.1,15.2,3.8,3.4,10.9,1.6,1.6,1.8,3.8,3.9,1.7
Jharkhand,Godda,52.5,51.6,NA,34.5,33.8,NA,29.3,28.6,NA,0.6,0.5,NA,0.4,0.4,NA,1.9,1.9,NA,2,2,NA,0.1,0.1,NA,18,17.8,NA,6.7,6.3,NA,3,3,NA,6.6,6.7,NA
Jharkhand,Gumla,42.1,41.3,53.9,24.5,23.8,34.5,14.5,14.3,18,1.3,1.4,1.2,1.7,1.6,2.9,4,4,4.9,2.3,2,7,0.1,0.1,0.1,17.6,17.5,19.4,7.7,7.5,9.9,3.6,3.4,7.2,2.2,2.2,1.3
