State_Name,State_District_Name,NN_Current_Usage_Any_Method_Total,NN_Current_Usage_Any_Method_Rural,NN_Current_Usage_Any_Method_Urban,NN_Current_Usage_Any_Modern_Method_Total,NN_Current_Usage_Any_Modern_Method_Rural,NN_Current_Usage_Any_Modern_Method_Urban,NN_Current_Usage_Female_Sterilization_Total,NN_Current_Usage_Female_Sterilization_Rural,NN_Current_Usage_Female_Sterilization_Urban,NN_Current_Usage_Male_Sterilization_Total,NN_Current_Usage_Male_Sterilization_Rural,NN_Current_Usage_Male_Sterilization_Urban,NN_Current_Usage_Copper_T_Iud_Total,NN_Current_Usage_Copper_T_Iud_Rural,NN_Current_Usage_Copper_T_Iud_Urban,NN_Current_Usage_Pills_Total,NN_Current_Usage_Pills_Rural,NN_Current_Usage_Pills_Urban,NN_Current_Usage_Condom_Nirodh_Total,NN_Current_Usage_Condom_Nirodh_Rural,NN_Current_Usage_Condom_Nirodh_Urban,NN_Current_Usage_Emergency_Contraceptive_Pills_Total,NN_Current_Usage_Emergency_Contraceptive_Pills_Rural,NN_Current_Usage_Emergency_Contraceptive_Pills_Urban,NN_Current_Usage_Any_Traditional_Method_Total,NN_Current_Usage_Any_Traditional_Method_Rural,NN_Current_Usage_Any_Traditional_Method_Urban,NN_Current_Usage_Periodic_Abstinence_Total,NN_Current_Usage_Periodic_Abstinence_Rural,NN_Current_Usage_Periodic_Abstinence_Urban,NN_Current_Usage_Withdrawal_Total,NN_Current_Usage_Withdrawal_Rural,NN_Current_Usage_Withdrawal_Urban,NN_Current_Usage_Lam_Total,NN_Current_Usage_Lam_Rural,NN_Current_Usage_Lam_Urban
Madhya Pradesh,Narsimhapur,75.1,77.5,61.8,73.6,75.9,61.1,62.1,63.2,56.3,0.7,0.6,1.4,0.1,0.1,0.1,0.2,0.1,0.2,10.2,11.6,2.2,0.4,0.3,0.7,1.5,1.6,0.7,1,1.1,0.4,0.2,0.2,0,0.3,0.4,0
Madhya Pradesh,Neemuch,62.6,60.8,66.3,58.8,56.9,62.7,45.9,49.2,39.3,1.2,1.2,1.1,0.1,0.1,0.2,0.7,0.6,0.9,10.7,5.5,21.1,0,0,0,3.8,3.9,3.6,2.4,2.8,1.6,0.3,0.3,0.3,1,0.8,1.5
Madhya Pradesh,Panna,61.9,62,61.8,56.3,57.3,51.2,49.9,52.8,33.9,0.2,0.2,0.2,0.4,0.2,1.4,1.9,0.7,8.6,3.7,3.2,6.9,0.1,0.1,0.2,5.6,4.7,10.6,4.3,3.3,10,0.1,0.1,0.1,0.9,1.1,0.1
Madhya Pradesh,Raisen,47,45.3,52.3,41.9,39.9,48,41.7,39.7,47.6,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0,0,0,5.1,5.4,4.3,5,5.3,4.1,0,0,0,0,0,0.1
Madhya Pradesh,Rajgarh,62.9,62.1,67.3,59.8,58.7,65.6,44,44.8,39.8,0.5,0.6,0.2,0.2,0.2,0.2,2.2,2.1,2.9,12.5,10.7,22.4,0.3,0.3,0.2,3.1,3.3,1.7,0.4,0.4,0.5,1.6,1.8,0.1,0.8,0.8,1.1
Madhya Pradesh,Ratlam,60.8,62.5,58.9,56.5,57.4,55.5,42.2,50.9,32.1,1.7,1.1,2.5,0.6,0.3,0.9,1.3,0.8,1.9,10.6,4.3,18,0.1,0,0.1,4.3,5.1,3.4,3.3,4,2.5,0.2,0.1,0.4,0.7,1,0.4
Madhya Pradesh,Rewa,52.3,52.1,53.2,47.4,47.6,46.4,42.2,43.6,34.6,1.5,1.4,1.7,0.2,0,0.9,0.7,0.6,1,2.7,1.7,7.6,0.2,0.1,0.7,4.9,4.5,6.8,3.6,3,6.5,0.2,0.2,0.1,0.9,1.1,0
Madhya Pradesh,Sagar,63.5,64.2,62.1,51.2,48.5,56.6,43.3,41.4,47.2,2.7,2.7,2.6,1.4,0.9,2.4,2,1.1,3.7,1.6,2.1,0.6,0.1,0.2,0,12.3,15.7,5.5,8.5,10.9,3.6,0.2,0.2,0.2,3.4,4.3,1.5
Madhya Pradesh,Satna,58.8,56.9,63.7,52.8,50.6,58.3,46.3,43.8,52.5,1.6,1.2,2.7,0.7,1,0.1,1,0.5,2.1,2.3,2.9,0.9,0,0,0,6,6.2,5.5,2.5,2.2,3,1.1,1.6,0,1.7,1.6,2.1
Madhya Pradesh,Sehore,60.6,59.9,63.4,58.6,58,61.4,41.7,44.3,31.1,1.2,1.2,1.1,0.7,0.6,1,3.6,3.3,4.7,11.2,8.2,23.5,0.2,0.2,0,1.9,1.9,1.9,0.6,0.6,0.5,0.5,0.4,0.9,0.6,0.7,0
Madhya Pradesh,Seoni,72,73.1,62.4,70.3,71.2,62.2,65.3,66.5,54.9,0.9,1,0,0,0,0.4,0.7,0.6,1.5,3.2,2.9,5.5,0.1,0.1,0,1.7,1.9,0.1,1.4,1.6,0,0,0,0,0.2,0.2,0.1
Madhya Pradesh,Shahdol,56.8,53.8,65.3,55.1,52.2,63.5,47.4,45.8,52.3,2.7,2.7,2.6,0.3,0.2,0.7,0.8,0.5,1.4,3.6,2.9,5.9,0.1,0.1,0.2,1.6,1.6,1.7,0.9,1.1,0.6,0.3,0.1,1,0.2,0.2,0
Madhya Pradesh,Shajapur,65.9,66.6,63.8,64.5,65.5,61.4,48.4,53.2,33.5,1.4,1.7,0.5,0.2,0.1,0.5,1.7,1.1,3.8,12.7,9.4,23,0,0,0.1,1.4,1.1,2.3,0.2,0.2,0.1,0.4,0.4,0.3,0.6,0.4,1.3
Madhya Pradesh,Sheopur,55.9,55.8,56.3,52.2,52.2,52.3,49.2,50.2,44,0.7,0.8,0.1,0.1,0.1,0.1,0.5,0.4,1.1,1.7,0.7,6.8,0,0,0.1,3.7,3.7,4,0.4,0.1,2.4,0.1,0,0.7,3.1,3.5,0.7
Madhya Pradesh,Shivpuri,60.7,60.8,60.4,58,57.8,59.1,52.3,53.7,44.6,0.4,0.3,0.5,0.2,0.1,0.4,1.6,1.4,2.8,3.4,2.2,10.7,0,0,0.1,2.7,3,1.3,0.1,0.2,0.1,0.1,0.1,0.1,2.4,2.7,1.2
Madhya Pradesh,Sidhi,51,50,57.3,50.1,48.9,57.2,36.4,36.2,37.6,0.9,0.9,1,0.1,0.1,0.2,2.6,2.8,1.2,9.9,8.8,16.9,0.1,0.1,0,0.9,1,0.1,0.5,0.6,0,0.1,0.1,0,0,0,0
Madhya Pradesh,Tikamgarh,67.3,70.1,56,62.9,65.8,50.8,57.2,60,45.8,0.4,0.4,0.4,0.7,0.8,0.1,1.2,1.1,1.3,3.1,3.1,2.9,0.1,0,0.2,4.4,4.3,5.2,2.5,2.2,3.7,1.2,1.4,0.1,0.5,0.4,1
Madhya Pradesh,Ujjain,66.1,67.4,64.3,63,63.7,62,48.8,55.6,38.3,0.5,0.4,0.7,0.5,0.2,0.9,2.2,1.4,3.4,11,6.1,18.5,0,0,0,3.1,3.7,2.3,1.2,1.3,1.1,0.1,0.1,0.2,1.7,2.2,0.9
Madhya Pradesh,Umaria,61.8,61.1,64.6,57.7,56.9,61.1,50.6,49.6,54.8,1,0.9,1.5,0.2,0.3,0.1,0.7,0.8,0.3,4.9,5.2,4.1,0.1,0.1,0.2,4.1,4.3,3.4,1.7,1.7,1.8,0.2,0.3,0,0.3,0.3,0.3
Madhya Pradesh,Vidisha,61.5,62.1,60.2,57.8,57.6,58.3,49.8,51.2,46.4,0.5,0.6,0.2,0,0,0.1,1.3,0.5,3.3,6.1,5.2,8.4,0,0,0.1,3.7,4.5,1.9,3.7,4.5,1.6,0,0,0.1,0,0,0
Madhya Pradesh,West Nimar,68,68.4,66.1,66.5,66.9,64.3,59.5,62.5,44.3,0.5,0.4,1.3,0.6,0.4,1.6,1.4,1,3.7,4.1,2.5,11.9,0.4,0.2,1.4,1.5,1.5,1.8,0.3,0.4,0.1,0.2,0.1,0.5,1,0.9,1
Odisha,Anugul,76.53,76.55,76.47,39.97,39.78,40.87,22.78,23.07,21.37,0.11,0.09,0.22,0.58,0.51,0.94,14.87,14.94,14.54,1.42,1.04,3.3,0.05,0.04,0.13,36.57,36.76,35.6,11.77,11.55,12.89,21.6,22.27,18.29,2.83,2.63,3.84
Odisha,Balangir,66.9,66.47,71.62,42.89,42.08,51.85,32.55,32.81,29.72,0.07,0.05,0.25,0.2,0.14,0.87,8.89,8.3,15.29,1.1,0.73,5.22,0.03,0.02,0.25,24,24.39,19.77,10.67,10.98,7.34,10.8,10.76,11.19,1.42,1.46,0.99
Odisha,Baleshwar,78.85,78.69,79.95,63.57,63.76,62.19,34.31,34.93,29.96,0.05,0.01,0.29,0.23,0.19,0.51,27.5,27.64,26.46,1.43,0.94,4.82,0.01,0.01,0.07,15.28,14.93,17.76,3.17,3.31,2.19,11.11,10.63,14.47,0.89,0.88,1.02
Odisha,Bargarh,59.45,59.03,64.03,46.14,46.3,44.38,35.04,35.61,28.77,0.08,0.08,0.08,0.35,0.3,0.82,9.61,9.34,12.58,0.96,0.87,1.97,0.07,0.06,0.08,13.3,12.73,19.64,3.18,3.01,5.01,7.69,7.41,10.77,1.76,1.6,3.53
Odisha,Baudh,32.52,31.83,NA,31.39,30.71,NA,18.32,17.88,NA,0.11,0.11,NA,0.14,0.13,NA,12.46,12.24,NA,0.27,0.25,NA,0.03,0.03,NA,1.13,1.11,NA,0.27,0.27,NA,0.29,0.26,NA,0,0,NA
Odisha,Bhadrak,66.9,67.26,64.27,54.46,54.53,54.02,31.61,32.52,24.8,0.05,0.04,0.14,0.11,0.12,0.07,21.43,20.67,27.18,1.08,1.03,1.4,0.06,0.05,0.07,12.44,12.73,10.26,4.86,4.48,7.73,4.97,5.45,1.33,2.44,2.61,1.12
Odisha,Cuttack,71.38,73.43,65.45,49.95,49.6,50.98,38.15,38.48,37.18,0.18,0.1,0.43,0.42,0.36,0.61,9.2,9.12,9.43,1.71,1.28,2.96,0.17,0.14,0.24,21.43,23.83,14.47,6.96,6.45,8.46,14.17,17.04,5.86,0.18,0.24,0
Odisha,Debagarh,67.42,66.6,75.97,43.81,43.04,51.82,21.44,21.22,23.74,0.04,0,0.41,1.18,1.09,2.03,16.74,16.66,17.64,4.25,3.98,7.05,0.05,0.03,0.27,23.61,23.56,24.15,6.49,5.81,13.57,12.39,12.82,8,3.72,3.85,2.31
Odisha,Dhenkanal,72.91,72.73,74.8,49.03,49.42,45,35.38,36.51,23.69,0.17,0.16,0.25,0.24,0.2,0.62,12.53,11.98,18.2,0.61,0.48,1.87,0.04,0.03,0.12,23.88,23.32,29.79,4.84,4.52,8.23,17.06,16.82,19.57,1.74,1.75,1.62
Odisha,Gajapati,63.97,62.96,71.54,61.39,60.25,69.91,56.6,55.97,61.32,2.11,2.29,0.7,0.11,0.05,0.58,2.17,1.67,5.92,0.28,0.18,1.05,0.03,0,0.23,2.58,2.7,1.63,0.37,0.41,0.12,1.41,1.42,1.28,0,0,0
Odisha,Ganjam,61.76,60.82,66.53,55.37,54.81,58.24,45.61,46.16,42.9,0.26,0.15,0.78,0.19,0.1,0.63,7.6,6.96,10.8,1.16,0.83,2.82,0.44,0.5,0.16,6.39,6.01,8.3,0.14,0.12,0.23,5.5,5.02,7.91,0.31,0.36,0.08
Odisha,Jagatsinghapur,77.65,78.13,74,50.77,49.27,62.33,38.21,36.92,48.28,0.22,0.23,0.1,0.25,0.26,0.2,9.83,9.78,10.29,2.13,2.02,2.97,0.05,0.02,0.3,26.89,28.85,11.67,10.48,11.18,5.05,16.07,17.39,5.84,0.26,0.2,0.69
Odisha,Jajapur,74.21,74.11,NA,45.33,45.31,NA,31.57,32.25,NA,0.06,0.06,NA,0.17,0.17,NA,12.06,11.42,NA,1.37,1.33,NA,0.03,0.03,NA,28.89,28.79,NA,10.75,10.86,NA,15.32,15.15,NA,2.62,2.58,NA
Odisha,Jharsuguda,69.18,65.81,74.51,54.64,53.66,56.18,31.38,31.4,31.35,0.13,0.14,0.13,0.68,0.52,0.93,16.54,16.49,16.6,5.57,4.79,6.8,0.08,0.05,0.13,14.54,12.15,18.33,4.26,4.32,4.16,8.73,6.19,12.77,1.34,1.41,1.23
Odisha,Kalahandi,42.89,41.98,49.95,42.45,41.57,49.28,37.36,37.32,37.7,0.09,0.05,0.4,0.28,0.08,1.88,4.2,3.8,7.27,0.41,0.2,2.02,0.11,0.12,0,0.44,0.41,0.67,0,0,0,0.02,0,0.13,0.01,0.01,0
Odisha,Kandhamal,33.9,32.33,49.31,33.08,31.47,48.9,19.87,19.36,24.86,0.11,0.11,0.14,0.48,0.44,0.81,11.43,10.76,17.97,0.99,0.62,4.59,0.07,0.05,0.27,0.82,0.86,0.41,0.03,0.04,0,0.05,0.05,0,0,0,0
Odisha,Kendrapara,73.21,73.45,69.41,51.41,51.83,44.85,27.43,28.15,16.15,0.15,0.14,0.27,0.36,0.36,0.27,20.43,20.27,22.83,2.82,2.7,4.81,0.02,0.02,0,21.8,21.62,24.56,5.33,5.13,8.41,14.52,14.5,14.95,1.85,1.89,1.2
Odisha,Kendujhar,66.03,63.18,79.02,41.76,41.25,44.07,27.95,29.54,20.75,0.07,0.03,0.24,0.35,0.3,0.56,11.25,9.76,18.01,2.01,1.54,4.13,0.02,0.01,0.08,24.28,21.93,34.95,11.7,11.13,14.32,8.59,6.47,18.21,2.81,3.04,1.75
Odisha,Khordha,63.75,59.3,68.71,42.51,44.72,40.09,25.74,31.51,19.36,0.31,0.19,0.44,0.73,0.42,1.09,11.85,10.98,12.83,3.52,1.45,5.82,0.1,0.07,0.13,21.24,14.58,28.62,1.4,1.88,0.88,19.35,12.16,27.31,0.37,0.41,0.33
Odisha,Koraput,40.28,42.6,29.81,33.57,35.3,25.74,28.71,29.95,23.09,2.34,2.81,0.19,0.06,0.05,0.09,2.06,2.09,1.89,0.15,0.1,0.38,0.21,0.25,0,6.71,7.3,4.07,5.75,6.19,3.79,0.01,0.01,0,0,0,0
Odisha,Malkangiri,40.06,39.39,47.62,37.61,36.77,47.1,30.46,30.36,31.61,0.52,0.56,0.1,0.19,0.16,0.51,5.27,4.68,12.01,1.03,0.88,2.67,0.12,0.13,0,2.45,2.62,0.51,0.04,0.04,0,0.02,0.02,0,0,0,0
Odisha,Mayurbhanj,70.8,70.24,78.15,43.38,43.05,47.68,30.32,30.83,23.51,0.56,0.48,1.58,0.52,0.49,1.05,10.65,10.15,17.21,1.3,1.07,4.33,0.01,0.01,0,27.42,27.19,30.47,12.04,11.7,16.55,9.9,9.77,11.56,4.41,4.56,2.36
Odisha,Nabarangapur,40.12,39.41,NA,38.13,37.46,NA,35.81,35.43,NA,0.31,0.25,NA,0.11,0.1,NA,1.77,1.57,NA,0.1,0.07,NA,0.02,0.02,NA,1.98,1.95,NA,0.02,0.02,NA,0.04,0.03,NA,0,0,NA
Odisha,Nayagarh,59.6,59.49,NA,45.51,45.5,NA,33.8,33.96,NA,0.15,0.14,NA,0.18,0.17,NA,9.93,9.83,NA,1.26,1.22,NA,0.11,0.11,NA,14.09,13.99,NA,4.43,4.43,NA,8.89,8.8,NA,0.6,0.58,NA
Odisha,Nuapada,36.2,36.02,NA,35.42,35.23,NA,33.14,33.08,NA,0.21,0.22,NA,0.16,0.14,NA,1.66,1.62,NA,0.19,0.1,NA,0.07,0.07,NA,0.77,0.8,NA,0,0,NA,0.03,0.04,NA,0,0,NA
Odisha,Puri,57.48,55.7,66.81,47.46,47.83,45.56,34.96,36.53,26.78,0.08,0.08,0.11,0.78,0.6,1.72,10.48,9.77,14.17,1.01,0.73,2.47,0.05,0.04,0.11,10.02,7.87,21.25,1.55,1.47,1.93,8.35,6.26,19.26,0.06,0.07,0.05
Odisha,Rayagada,43.11,39.8,58.19,42.5,39.08,58.03,38.64,35.76,51.75,1.58,1.57,1.63,0.19,0.2,0.16,1.91,1.49,3.8,0.12,0.04,0.47,0.02,0.01,0.08,0.62,0.72,0.16,0.05,0.06,0,0.02,0.03,0,0,0,0
Odisha,Sambalpur,63.03,59.58,68.39,49.38,46.15,54.41,29.65,28.97,30.71,0.22,0.16,0.3,0.46,0.31,0.7,14.36,13.84,15.18,4.52,2.75,7.27,0.06,0.05,0.06,13.64,13.42,13.99,4.29,5.39,2.58,6.24,4.77,8.52,2.34,2.18,2.58
Odisha,Sonapur,46.39,45.05,67.7,42.42,42.01,48.94,28.47,28.37,30.19,0.07,0.07,0,0.21,0.22,0.18,13.13,12.88,17.15,0.4,0.34,1.43,0.06,0.06,0,3.97,3.04,18.76,0.33,0.21,2.32,3.32,2.53,16.08,0.01,0,0.18
Odisha,Sundargarh,59.17,55.83,65.49,41.18,40.76,41.98,28.34,29.53,26.08,0.12,0.1,0.14,0.69,0.68,0.7,7.83,8.02,7.49,4.11,2.3,7.52,0.06,0.06,0.06,17.98,15.07,23.5,1.96,1.27,3.25,13.1,10.41,18.2,2.04,2.18,1.77
Rajasthan,Ajmer,70.6,67.4,75,59.4,56.1,64.1,45.1,48.2,40.9,0.4,0.1,0.9,1.1,0.5,2,3.3,2.6,4.3,9,4.4,15.4,0.2,0.1,0.4,11.2,11.4,10.9,4.1,3.7,4.7,0.7,0.3,1.3,6.1,7.2,4.6
Rajasthan,Alwar,74.5,73.9,79.9,64.2,63.9,66.6,54.7,56.2,41.5,0.5,0.5,0.5,0.6,0.6,1,1.1,0.9,3.1,6.8,5.3,19.6,0.2,0.2,0.2,10.4,10,13.3,2.6,2.7,1.8,0.4,0.3,1.1,1.3,1.2,2.1
Rajasthan,Banswara,76.3,76.9,NA,69.4,69.9,NA,49.9,50.7,NA,0.2,0.2,NA,0.3,0.1,NA,1,0.9,NA,18.1,17.9,NA,0,0,NA,6.9,7,NA,3.5,3.4,NA,0.6,0.6,NA,2.7,2.9,NA
Rajasthan,Baran,66.1,65.3,70.8,56.7,55.6,63.4,46.8,47.9,40.7,0.2,0.2,0.3,0.2,0.2,0.2,2.7,1.7,8.2,6.6,5.4,13.7,0.1,0.1,0.1,9.4,9.8,7.4,4.5,4.6,4.2,1.1,1,1.6,3.7,4.1,1.4
Rajasthan,Barmer,63.6,63.2,68.5,47.9,47,57,37,36.7,39.4,0.1,0.1,0,1.2,1.2,1.6,2.9,2.8,3.9,6.6,6.2,11.6,0,0,0.4,15.8,16.2,11.5,11.6,11.9,8.3,0.8,0.7,1.9,3.1,3.3,0.9
Rajasthan,Bharatpur,68.2,67.6,70.6,49.8,48.9,53.4,42.5,43.8,37.1,0,0.1,0,0.6,0.3,2.1,1,0.9,1.2,5.4,3.7,12.5,0,0,0.2,18.5,18.7,17.3,13.9,14.7,10.8,2,1.5,4.3,1.9,2,1.5
Rajasthan,Bhilwara,64.9,63.3,71.2,58.5,57.3,63.6,41.8,42.8,37.8,0.4,0.3,0.5,0.4,0.2,1,1.8,1.6,2.6,14.1,12.3,21.4,0,0,0,6.3,6,7.6,3.8,3.7,4.3,1.3,1.1,1.9,0.9,0.8,1
Rajasthan,Bikaner,71.7,69.2,75.2,66.2,64.6,68.5,46.7,53,37.9,0.5,0.5,0.4,0.8,0.6,1.1,2,1.4,2.8,15.9,8.7,26.1,0.1,0.1,0.1,5.5,4.6,6.7,1.7,1.7,1.7,1.8,1.1,2.7,1.9,1.8,2.1
Rajasthan,Bundi,59.8,57,69.4,55.8,52.9,65.9,45.8,46.4,43.5,0.5,0.4,0.5,0.4,0.2,1,2.3,1.8,3.9,6.5,3.7,16.3,0.2,0.2,0.2,4,4.1,3.6,1.9,2.3,0.6,1.3,1,2.5,0.4,0.5,0.3
Rajasthan,Chittaurgarh,72.9,72.7,73.7,67.8,68.8,63.7,46.2,47.6,40.2,0.4,0.2,1.4,2.8,3.3,0.7,1.5,0.9,4.6,16.7,16.8,16.6,0,0,0,5,3.9,9.9,3.7,2.8,7.5,0.4,0.4,0.1,0.8,0.5,2.2
Rajasthan,Churu,66.7,69.2,59.8,63.4,65.3,58,51.3,54.8,41.4,1.1,1.2,0.7,0.3,0.3,0.5,2.6,1.6,5.4,8,7.4,9.7,0.1,0,0.2,3.3,3.9,1.8,1.1,1.4,0.2,1.2,1.2,1.3,0.9,1.2,0.2
Rajasthan,Dausa,70.6,70.9,66.7,59.8,60.6,51.9,50.4,51.8,36.5,0.2,0.3,0,0.8,0.7,1.5,2.1,1.9,4.4,5.7,5.3,9.2,0.4,0.5,0.2,10.8,10.4,14.8,1.8,1.5,4.9,1.2,1.1,2,7.4,7.5,7.1
Rajasthan,Dhaulpur,56.5,54,63.5,48.9,47.3,53.4,35.6,35.9,34.6,0.1,0.2,0,0.4,0.2,1.1,3.1,2.5,4.7,9.5,8.4,12.6,0.2,0.1,0.3,7.6,6.7,10.1,5.9,5.1,8.2,0.8,0.7,1,0.6,0.6,0.6
Rajasthan,Dungarpur,72.1,71,83.3,69.8,69,78.6,52.5,51.8,60.3,0.2,0.2,0.4,0.3,0.2,0.8,1.2,1,3.4,15.6,15.7,13.6,0,0,0,2.3,2.1,4.6,1,0.9,2,0.8,0.8,1,0.5,0.3,1.6
Rajasthan,Ganganagar,84.7,84.7,84.8,81.3,81.6,80.4,51.5,57.8,36,0.6,0.5,1,2.7,1.7,5.4,0.9,0.8,1.2,25.3,20.7,36.6,0.1,0.1,0.1,3.4,3,4.4,3.1,2.8,3.8,0.2,0.1,0.4,0.1,0.1,0.1
Rajasthan,Hanumangarh,90.4,91,88.4,83.7,84,82.3,62.3,66.3,47.3,0.4,0.4,0.4,1.7,1.3,3.4,1.2,0.9,2.4,17.9,15,28.6,0.1,0.1,0.1,6.8,7,6.1,4.6,4.9,3.4,0.1,0.1,0.3,2.1,2,2.4
Rajasthan,Jaipur,75.1,74.1,76.1,66.4,67.2,65.7,49.5,60.5,38.7,0.3,0.2,0.5,1,0.4,1.6,3.4,1.7,5,11.8,4.1,19.3,0.1,0.1,0.1,8.7,6.9,10.4,3.8,2.9,4.7,2.7,1.3,4.1,2,2.5,1.4
Rajasthan,Jaisalmer,63.9,62.2,71.1,58.2,56.3,66.3,49.3,51.5,40.1,0.2,0.2,0.6,1.8,1.3,4.1,2.7,1.3,8.5,3.6,1.5,12.4,0.2,0.1,0.6,5.7,5.9,4.9,1.1,1.1,1,1.3,1,2.6,3.3,3.8,1.1
Rajasthan,Jalor,60,59.1,68.6,54.4,53.9,60.1,41.5,41.5,41.6,0.1,0.1,0,3.4,3.4,3.6,3,2.9,4.3,6.2,5.9,9.9,0,0,0,5.5,5.3,8.5,3.5,3.3,6.3,0.7,0.6,1.6,1.2,1.3,0.6
Rajasthan,Jhalawar,64.8,64.1,68.9,57.2,56.5,61.3,44,45.5,35.5,0.3,0.4,0.3,0.1,0.1,0.3,4.8,4.7,5.1,7.8,5.7,19.8,0.1,0.1,0.1,7.6,7.6,7.5,4.1,3.9,5,0.8,0.6,1.6,2.5,2.7,0.9
Rajasthan,Jhunjhunun,77.4,76.8,79.1,66.4,67,64.7,53.9,58.2,41.2,0.8,1,0.3,0.3,0.1,0.8,3.7,1.8,9.2,7.4,5.7,12.6,0.1,0,0.4,11,9.8,14.4,3.1,3,3.3,4.2,3,7.7,3.6,3.6,3.4
Rajasthan,Jodhpur,74,69.9,80.3,62,57.9,68.2,42.9,48.2,34.8,1.3,1.4,1.1,1.5,1.1,2.2,4.3,2.2,7.4,11.6,4.9,21.8,0.2,0.1,0.4,12,12,12.1,6.7,7.8,5.1,3.2,1.6,5.7,1.9,2.5,1
Rajasthan,Karauli,57.5,55.3,66,49.7,47.6,58.3,43.8,44.4,41.4,0.3,0.3,0.1,0.2,0.1,0.8,1,0.6,2.5,4.5,2.2,13.3,0,0,0.1,7.8,7.8,7.7,4.1,4.3,3.4,1.7,1.7,1.8,1.5,1.4,2.1
Rajasthan,Kota,72.9,75,71.3,67.2,69.6,65.3,44.1,49.8,39.6,0.4,0.4,0.4,1.9,2.4,1.6,3,2.2,3.7,17.3,14.5,19.6,0.1,0.1,0.1,5.7,5.4,6.1,3.4,4,2.9,0.8,0.3,1.2,1.4,0.7,1.9
Rajasthan,Nagaur,68.5,68.5,68.9,62.1,62.8,58.2,61,62.2,54.8,0.3,0.3,0,0,0,0.1,0.3,0.1,1.2,0.4,0.2,1.9,0.1,0.1,0.1,6.5,5.7,10.7,6.2,5.4,10.4,0,0,0,0.2,0.2,0.2
Rajasthan,Pali,62.2,59.8,69.8,58.6,55.6,67.8,43.9,44.6,42.1,0.2,0.2,0.3,0.4,0.2,1.1,2.1,1.5,3.9,11.7,8.9,20.1,0.1,0.1,0.2,3.6,4.2,2,1.3,1.4,0.7,0.6,0.6,0.6,1.6,1.9,0.6
Rajasthan,Rajsamand,66.2,64.2,76.8,62.7,60.8,72.9,41.2,40.5,45.4,0.3,0.4,0.1,1.7,0.4,8.7,4.8,4.9,4.4,14.4,14.5,13.9,0.1,0,0.1,3.5,3.4,3.9,1.5,1.4,1.9,0.1,0.1,0.3,1.7,1.6,1.8
Rajasthan,Sawai Madhopur,62.1,59.5,70.2,55.7,53.5,62.4,47,47.7,44.6,0.4,0.5,0.2,0.2,0.2,0.3,1.9,1.6,3,5.9,3.4,13.7,0.1,0,0.3,6.4,6,7.8,4.5,4.4,4.8,0.5,0.1,1.9,1.1,1.3,0.8
Rajasthan,Sikar,72.3,73.4,69.2,64.7,65.6,61.8,53.3,57.5,40.7,0.4,0.5,0.3,0.3,0.3,0.4,2.4,1.4,5.1,8,5.7,14.8,0.2,0.2,0.2,7.7,7.7,7.4,5,5.1,4.6,1,0.9,1.5,1.5,1.7,1.1
Rajasthan,Sirohi,60.3,58.9,67.5,54.7,53.9,58.8,38.4,38.3,38.7,0.2,0.2,0.1,1,0.5,3.8,4.5,4.7,3.4,10.4,10.1,11.9,0.1,0.1,0.2,5.6,5,8.7,3.3,2.7,6.4,0.4,0.4,0.6,1.7,1.7,1.6
Rajasthan,Tonk,54.8,52.8,61.3,50.5,48.7,56.3,40.9,43.2,33.8,0.5,0.6,0.3,0.4,0.2,1.1,2.1,1.5,4.2,6.2,2.9,16.6,0.1,0.1,0.1,4.3,4,5,3.3,3.4,2.9,0.2,0.1,0.6,0.6,0.4,1.4
Rajasthan,Udaipur,71.3,69.3,76.7,69.1,67.7,72.9,41.5,43.1,37.5,0.2,0.2,0.2,8.4,8.9,6.8,1.4,0.6,3.7,17.3,14.8,23.9,0.1,0,0.2,2.2,1.6,3.8,1,0.4,2.4,0.2,0,0.7,0.9,1,0.6
Uttar Pradesh,Agra,65.42,64.77,66.03,39.44,35.21,43.37,25.36,26.95,23.88,0.06,0.03,0.1,1.8,0.99,2.55,2.44,1.45,3.36,8.76,5.16,12.08,0.22,0.17,0.27,25.98,29.56,22.66,24.22,27.29,21.37,0.46,0.53,0.4,0.84,1.18,0.54
Uttar Pradesh,Aligarh,61.72,59.83,65.69,36.86,33.54,43.83,19.3,21.03,15.69,0.03,0.04,0,1.8,1.31,2.82,2.32,2.28,2.41,12.9,8.34,22.44,0.05,0.04,0.05,24.85,26.29,21.86,23.07,23.85,21.44,0.87,1.21,0.16,0.49,0.69,0.05
Uttar Pradesh,Allahabad,61.37,60.41,65.08,45.55,44.74,48.72,26.3,28.42,17.7,0.62,0.43,1.4,0.62,0.47,1.22,3.79,3.16,6.33,12.13,9.92,21.04,1.81,2.2,0.24,15.81,15.67,16.36,11.81,12.08,10.7,2.22,1.71,4.26,1.26,1.45,0.49
Uttar Pradesh,Ambedkar Nagar,58.73,57.98,NA,26.68,26.12,NA,9.68,9.84,NA,0.4,0.4,NA,0.32,0.26,NA,6.04,5.93,NA,8.88,8.43,NA,1.25,1.16,NA,32.05,31.86,NA,21.27,21.1,NA,3.78,3.62,NA,5.44,5.67,NA
