State_Name,State_District_Name,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Person_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Person_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Person_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Male_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Male_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Male_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Female_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Female_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Female_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Person_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Person_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Person_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Male_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Male_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Male_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Female_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Female_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Female_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Person_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Person_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Person_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Male_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Male_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Male_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Female_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Female_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Female_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Person_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Person_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Person_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Male_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Male_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Male_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Female_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Female_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Female_Urban,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Person_Total,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Person_Rural,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Person_Urban,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Male_Total,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Male_Rural,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Male_Urban,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Female_Total,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Female_Rural,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Female_Urban,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Person_Total,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Person_Rural,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Person_Urban,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Male_Total,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Male_Rural,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Male_Urban,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Female_Total,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Female_Rural,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Female_Urban
Rajasthan,Tonk,42,46,28,59,67,36,24,26,19,2248,1809,3600,2115,1764,3166,2387,1855,4067,6381,8249,634,6031,7836,612,6744,8671,659,8799,10219,4430,8282,9740,3904,9335,10709,4997,95.8,97.1,86.7,97.5,98.4,90.8,94.3,95.9,83.3,57.4,53.7,86.4,58.3,54.5,88.8,56.6,53,84.2
Rajasthan,Udaipur,412,486,189,405,458,251,419,514,121,1745,1678,1945,1606,1488,1949,1887,1870,1941,4004,4714,1858,3583,4241,1671,4436,5191,2062,7219,7749,5618,6513,6914,5347,7945,8592,5914,95.7,95.1,98.2,96.5,95.9,98.4,95.1,94.4,97.9,48.6,52.3,33.9,50.5,55,34.4,47,50,33.5
Uttar Pradesh,Agra,524.24,559.97,490.95,508.31,548.21,471.43,542.64,573.43,513.68,17225.51,17051.38,17387.75,16590.69,16742.25,16450.59,17958.8,17405.29,18479.32,1201.07,1324.32,1086.22,1176.96,1286.28,1075.92,1228.9,1367.87,1098.22,19350.21,19386.11,19316.76,18635.69,18963.69,18332.51,20175.58,19869.72,20463.2,94.78,94.13,95.38,95.03,94.4,95.62,94.51,93.84,95.13,2.88,3.09,2.7,3.1,3.29,2.93,2.65,2.86,2.46
Uttar Pradesh,Aligarh,540.36,450.33,723.04,491.01,379.39,714.66,595.02,528.21,732.49,10211.94,12271.74,6032.23,9742.97,11726.11,5769.23,10731.33,12870.73,6328.74,2601.18,2895.55,2003.86,2329.58,2564.88,1858.11,2901.98,3258.57,2168.18,13796.37,16143.02,9034.57,12963.62,15140.42,8601.87,14718.63,17243.7,9522.41,93.61,94.14,91.69,93.85,94.42,91.84,93.38,93.87,91.54,2.43,2.3,2.91,2.92,2.68,3.78,1.96,1.94,2.02
Uttar Pradesh,Allahabad,1056.06,1176.87,654.31,1028.51,1157.42,619.9,1083.15,1195.57,690.73,3520.72,3446.82,3766.46,3519.53,3528.52,3491.03,3521.88,3368.29,4058.02,2144.1,2105.24,2273.3,1935.95,1836.48,2251.22,2348.69,2363.59,2296.67,7090.92,7147.19,6903.78,6822.5,6905.97,6557.91,7354.75,7379.06,7269.9,98.99,98.73,99.88,98.59,98.17,100,99.36,99.24,99.76,3.06,3.39,1.95,3.3,3.7,1.99,2.85,3.12,1.9
Uttar Pradesh,Ambedkar Nagar,619.52,624.75,NA,631.37,607.06,NA,609.2,640.05,NA,13055.72,13353.65,NA,13172.37,13477.27,NA,12954.12,13246.67,NA,1718.98,1711.67,NA,916.46,859.71,NA,2418,2448.9,NA,15738.44,16045.31,NA,15071.02,15315.1,NA,16319.78,16677.19,NA,99.73,99.73,NA,99.83,99.82,NA,99.65,99.66,NA,6,5.23,NA,6.2,5.32,NA,5.84,5.16,NA
Uttar Pradesh,Auraiya,968.02,1034.73,662.13,980.98,1041.28,703.89,953.2,1027.24,614.56,475.29,512.19,306.08,377.97,409.17,234.63,586.53,630.06,387.44,3643,3606.5,3810.36,2829.55,2761.1,3144.06,4572.92,4573.74,4569.14,5229.15,5323.33,4797.3,4206.36,4228.19,4106.05,6398.36,6576.3,5584.5,98.32,98.43,97.79,98.29,98.29,98.29,98.35,98.54,97.37,10.73,9.21,18.51,10.97,9.85,16.28,10.55,8.75,20.39
Uttar Pradesh,Azamgarh,336.97,333.38,375.02,363.34,361.5,382.02,313.49,308.54,368.27,13693.41,13930.4,11178.42,13538.27,13815.62,10725.83,13831.49,14031.79,11614.73,5331.47,5579.69,2697.25,4927.73,5178.96,2380.25,5690.77,5933.65,3002.83,19527.33,20002.81,14481.47,19014.12,19533.01,13752.57,19984.07,20417.79,15184.14,99.22,99.23,99.1,99.13,99.13,99.15,99.3,99.31,99.07,2.95,2.87,4.12,3.09,3.06,3.45,2.84,2.72,4.71
Uttar Pradesh,Baghpat,472.13,529.7,262.47,505.45,564.68,294.53,432.87,488.92,223.21,9065.57,8718.67,10328.86,8769.74,8503.06,9719.5,9414.09,8970.03,11074.86,4767.04,5064.92,3682.26,4317.65,4639.99,3169.71,5296.46,5560.29,4309.75,14465.94,14486.96,14389.38,13746.77,13873.36,13295.93,15313.19,15202.27,15728.02,98.14,98.04,98.5,98.2,97.95,99.16,98.06,98.13,97.82,3.67,3.99,2.51,3.64,3.99,2.34,3.7,3.99,2.68
Uttar Pradesh,Bahraich,1629.95,1666.4,1108.08,1674.42,1698.58,1332.95,1582.23,1631.93,860.69,338.67,341.12,303.58,350.5,352.74,318.75,325.99,328.68,286.9,1755.64,1812.53,941.11,1652.09,1709.52,840.34,1866.75,1922.88,1051.96,4038.71,4150.11,2443.84,3973.12,4075.86,2521.01,4109.08,4229.65,2358.94,100,100,100,100,100,100,100,100,100,13.49,13.36,16.77,15.55,15.47,17.24,11.36,11.18,16.22
Uttar Pradesh,Ballia,754.24,784.34,514.06,791.59,835.92,457.93,716.65,733.11,576.92,5599.78,5744.47,4445.12,5499.89,5633.61,4493.42,5700.31,5854.56,4391.03,1199.55,1266.5,665.26,1083.41,1151.3,572.41,1316.44,1380.91,769.23,7822.34,8063.65,5896.58,7610.25,7845.63,5838.58,8035.79,8280.16,5961.54,99.59,99.58,99.74,99.65,99.61,100,99.54,99.55,99.46,8.45,8.8,4.63,8,8.21,5.88,8.88,9.35,3.24
Uttar Pradesh,Balrampur,349.04,339.26,NA,357.36,351.98,NA,341.24,327.37,NA,7326.73,7214.56,NA,7635.88,7489.51,NA,7036.57,6957.73,NA,699.84,692.04,NA,625.39,618,NA,769.71,761.21,NA,8698.15,8530,NA,8916.6,8700.52,NA,8493.13,8370.71,NA,99.7,99.68,NA,99.89,99.88,NA,99.5,99.47,NA,4.49,3.66,NA,4.5,3.65,NA,4.47,3.67,NA
Uttar Pradesh,Banda,409.34,451.06,216.5,365.8,398.15,224.82,454.62,504.9,206.93,277.72,233.72,481.12,288.44,251.45,449.64,266.57,215.67,517.33,3420.05,3613.49,2525.86,2722.33,2903.34,1933.45,4145.73,4336.16,3207.45,4584.61,4879.06,3223.48,4055.73,4387.95,2607.91,5134.69,5378.84,3931.71,98.31,98.18,99.25,98.21,98.2,98.28,98.4,98.17,100,13.69,11.87,26.32,12.05,10.58,22.81,15.04,12.94,28.95
Uttar Pradesh,Barabanki,640.13,645.4,577.56,677.48,683.05,612.87,598.49,603.59,536.35,2941.43,3050.19,1650.17,2949.59,3107,1123.6,2932.32,2987.1,2264.6,4147.15,4132.77,4317.93,3735.48,3744.91,3626.15,4606.07,4563.48,5125.15,8579.84,8690.96,7260.73,8162.24,8355.15,5924.41,9045.38,9063.86,8820.02,97.7,97.88,95.08,96.94,97.17,93.1,98.46,98.61,96.62,7.45,7.58,5.58,7.3,7.45,4.63,7.61,7.72,6.29
Uttar Pradesh,Bareilly,283.32,278.03,292.59,310.7,318.14,297.69,253.79,234.74,287.09,13296.1,12668.34,14393.69,12288.56,11610.79,13474.34,14382.97,13809.71,15384.62,4930.71,5896.05,3242.85,4572.16,5506.37,2937.72,5317.49,6316.62,3571.73,18694.69,19039.57,18091.68,17340.59,17598.18,16889.93,20155.41,20595.2,19386.98,98.72,99.04,98.14,98.76,99.08,98.19,98.68,99,98.08,1.38,1.3,1.53,1.42,1.32,1.61,1.35,1.28,1.47
Uttar Pradesh,Basti,1146.32,1183.43,NA,1227.08,1283.07,NA,1071.47,1092.24,NA,4479.88,4531.5,NA,4481.99,4528.46,NA,4477.92,4534.29,NA,1747.23,1826.7,NA,1551.67,1616.6,NA,1928.48,2018.99,NA,7836.28,7999.36,NA,7719.74,7880.95,NA,7944.3,8107.75,NA,99.65,99.63,NA,99.61,99.59,NA,99.68,99.66,NA,5.12,5.1,NA,4.86,4.87,NA,5.35,5.3,NA
Uttar Pradesh,Bijnor,455.09,510.49,269.19,460.62,499.1,333.07,449.46,522,203,6892.99,7128.82,6101.69,6731.12,6994.5,5858.15,7057.53,7264.59,6354.04,7465.46,7521.28,7278.17,6455.6,6576.75,6054.08,8492.05,8476.03,8546.49,16064.68,16487.48,14646.06,14708.57,15203.48,13068.18,17443.25,17785.34,16280.96,99.36,99.42,99.12,99.23,99.42,98.5,99.47,99.42,99.63,1.9,1.75,2.47,1.89,1.95,1.67,1.91,1.58,3.13
Uttar Pradesh,Budaun,570.07,604.7,413.39,620.89,658.07,446.3,517.32,548.54,381.26,22523.57,23219.56,19374.4,21933.34,22493.55,19302.65,23136.2,23983.39,19444.44,3790.65,4372.59,1157.5,3737.15,4307.26,1059.97,3846.18,4441.33,1252.72,27648.31,29029.23,21400.03,26861.11,28084.6,21115.76,28465.38,30023.07,21677.56,94.63,94.45,95.75,94.77,94.52,96.3,94.5,94.38,95.23,2.58,2.36,3.97,2.55,2.31,3.98,2.62,2.4,3.96
Uttar Pradesh,Bulandshahar,340.38,299.33,419.95,369.09,311.61,481.6,308.44,285.57,352.3,14332.8,15194.17,12663.13,13558.55,14359.66,11990.61,15193.89,16128.77,13401.08,6625.23,7163.38,5582.12,5790.01,6218.26,4951.84,7554.13,8221.83,6273.71,21780.35,23104.14,19214.37,20119.39,21269.37,17868.61,23627.62,25158.93,20691.06,97.04,96.61,98.02,97.42,97.09,98.2,96.67,96.17,97.84,1.84,1.59,2.44,1.84,1.62,2.32,1.85,1.55,2.54
Uttar Pradesh,Chandauli,710.1,766.69,227.12,642.01,685.37,285.34,777.75,846.86,165.29,10375.44,9975.64,13787.58,10297.53,10010.48,12658.88,10452.84,9941.3,14986.23,6787.41,7474.67,921.84,6639.14,7370.52,622.57,6934.72,7577.34,1239.67,18569.74,18968.82,15163.66,18247.37,18787.97,13800.26,18890.01,19147.11,16611.57,99.76,99.77,99.74,99.89,99.91,99.62,99.65,99.63,99.83,8.84,8.32,14.4,8.8,8.14,16.23,8.88,8.49,12.79
Uttar Pradesh,Chitrakoot,622.37,680.14,108.68,629.76,682.71,174.37,614.41,677.39,33.33,184.63,161.74,388.14,203.4,162.85,552.17,164.42,160.56,200,2241.02,2341.15,1350.72,1850.33,1930.32,1162.45,2661.69,2780.37,1566.67,3376.15,3530.6,2002.79,2965.03,3073.26,2034.29,3818.8,4019.54,1966.67,99.17,99.11,100,99.05,98.98,100,99.26,99.22,100,13.87,13.77,15.5,13,12.79,15.71,14.6,14.56,15.25
Uttar Pradesh,Deoria,758.25,797.25,478.76,737.08,765.39,542.57,776.33,824.18,420.33,6351.09,6123.94,7979.25,6592.27,6348.96,8263.77,6145.2,5933.72,7718.76,948.67,939.09,1017.35,862.43,878.61,751.25,1022.3,990.22,1260.99,8287.78,8108.19,9575.1,8432.49,8262.65,9599.33,8164.25,7977.62,9552.92,98.67,98.65,98.75,98.74,98.68,99.13,98.6,98.63,98.4,2.25,2.1,3.16,2.06,1.81,3.51,2.42,2.35,2.85
Uttar Pradesh,Etah,438.86,432.42,475.41,465.34,438.03,619.83,409.08,426.12,311.89,23651.91,23576.31,24081.18,22433.52,22363.33,22830.58,25021.78,24938.43,25497.08,2737.2,2774.87,2523.31,2595.17,2670.44,2169.42,2896.89,2892.14,2923.98,27306.33,27239.93,27683.31,25858.54,25791.16,26239.67,28934.12,28866.85,29317.74,93.19,92.6,96.43,93.36,92.8,96.46,93.01,92.41,96.41,3.61,3.22,5.68,3.41,3,5.58,3.81,3.44,5.79
Uttar Pradesh,Etawah,558.15,646.94,257.75,588.01,675.99,285.42,522.55,612.03,225.67,940.09,904.98,1058.86,928.84,900.91,1024.91,953.5,909.88,1098.24,2039.59,2115.34,1783.35,1709.77,1773.11,1491.96,2432.76,2526.64,2121.26,3713.43,3802.11,3413.44,3287.74,3417.58,2841.2,4220.89,4264.24,4077.03,96.64,95.96,99.18,97.92,97.64,99.09,95.44,94.34,99.26,9.58,8.94,11.93,7.89,7.23,10.6,11.19,10.64,13.01
Uttar Pradesh,Faizabad,867.82,906.1,604.4,871.12,914.69,592.54,864.6,897.9,617.52,6326.29,6649.43,4102.56,6217.99,6590.78,3834.09,6431.6,6705.41,4399.85,1470.59,1609.77,512.82,1321.18,1446.02,522.83,1615.88,1766.03,501.74,9106.4,9639.25,5439.56,8790.34,9363.71,5123.74,9413.74,9902.18,5789.27,99.02,98.97,99.66,98.77,98.72,99.32,99.26,99.2,100,4.53,4.31,7.09,5.17,4.97,7.53,3.94,3.72,6.67
Uttar Pradesh,Farrukhabad,941.93,1042.41,676.42,833.48,900.2,654.62,1065.6,1205.99,700.73,1614.2,1681.77,1435.67,1607.58,1679.78,1413.98,1621.76,1684.05,1459.85,2863.91,3524.6,1118.17,2188.32,2643.18,968.84,3634.37,4538.43,1284.67,5579.09,6394.88,3423.52,4735.35,5319.82,3168.37,6541.31,7631.43,3708.03,100,100,100,100,100,100,100,100,100,11.42,12.91,4.03,14.61,17.12,3.31,8.78,9.54,4.72
Uttar Pradesh,Fatehpur,261.27,286.15,61.66,259.41,282.59,77.58,263.27,289.99,43.73,2165.09,2247.94,1500.51,1881.11,1942.89,1396.43,2472.25,2576.21,1617.84,3005.53,3188.03,1541.62,2562.3,2720.78,1318.85,3484.94,3690.84,1792.74,6470.14,6592.55,5488.18,5819.08,6046.58,4034.13,7174.35,7180.08,7127.24,91.97,91.72,94.38,91.16,90.89,94.23,92.68,92.47,94.48,17.07,13.85,47.22,18.75,15.45,56.12,15.63,12.43,41.56
Uttar Pradesh,Firozabad,222.31,216.9,238.01,215.64,216.7,212.55,229.78,217.12,266.12,8838.33,8698.11,9245.07,8862.71,8845.47,8913.14,8811.03,8532.27,9611.77,2808.2,2896.82,2551.13,2396.89,2412.14,2352.27,3268.9,3442.29,2770.82,12151.85,12079.59,12361.47,11718.81,11694.58,11789.71,12636.89,12512.88,12993.11,92.5,92.03,93.86,92.94,92.46,94.35,92.05,91.57,93.37,3.95,3.76,4.49,3.66,3.11,5.22,4.25,4.44,3.74
Uttar Pradesh,Gautam Buddha Nagar,479.42,539.56,349.95,456.4,514.82,336.86,507.27,568.45,367.07,12674.69,12237.24,13616.33,12443.27,11951.07,13450.43,12954.71,12571.36,13833.25,5531.98,6581.73,3272.28,5068.02,6082.75,2991.66,6093.41,7164.32,3639.22,19328.72,20126.59,17611.23,18574.15,19267.25,17155.92,20241.82,21129.91,18206.61,96.15,95.54,97.65,95.91,95.25,97.43,96.42,95.85,97.93,2.01,2.04,1.93,1.97,2.01,1.87,2.06,2.08,2
Uttar Pradesh,Ghaziabad,338.08,399.76,296.33,314.13,356.03,285.83,366.19,450.9,308.68,13450.02,13163.81,13643.79,12759.1,12635.87,12842.33,14260.57,13781.22,14586.02,3488.16,4181.16,3018.98,3184.53,3834.91,2745.28,3844.35,4586.09,3340.76,17432.61,17941.02,17088.41,16398.26,17017.86,15979.79,18646.05,19020.61,18391.75,98.92,98.81,99,98.98,98.78,99.13,98.86,98.84,98.87,1.66,1.55,1.74,1.53,1.53,1.53,1.79,1.56,1.96
Uttar Pradesh,Ghazipur,391.91,367.75,662.58,409.82,379.88,728.86,375.22,356.54,594.94,10293.54,10154.36,11852.76,10204.55,10117.94,11127.31,10376.45,10188.01,12592.96,7585.35,8148.56,1276.07,6815.77,7346.08,1166.18,8302.34,8890.15,1388.2,18641.4,19026.15,14331.29,17750.49,18139.57,13605.44,19471.43,19845.47,15071.89,99.9,99.91,99.66,99.98,100,99.64,99.83,99.84,99.67,6.86,6.77,8.25,7.6,7.56,8.24,6.23,6.1,8.25
Uttar Pradesh,Gonda,1116.69,1116.33,1122.96,1091.19,1107.11,819.67,1143.29,1125.93,1443.42,853.91,885.66,308.82,830.03,856.27,382.51,878.82,916.31,230.95,2443.77,2533.79,898.37,2121.95,2214.32,546.45,2779.55,2866.87,1270.21,5179.81,5332.72,2554.74,4748.9,4924.8,1748.63,5629.41,5758.01,3406.47,100,100,100,100,100,100,100,100,100,6.82,6.46,19.78,7.03,7.04,6.25,6.64,5.94,27.12
Uttar Pradesh,Gorakhpur,1214.38,1134.88,1385.87,1267.99,1119.84,1554.14,1164.45,1147.96,1204.06,3685.24,3686.87,3681.71,3702.3,3725.18,3658.09,3669.35,3653.57,3707.22,1370.58,1596.45,883.3,1254.37,1467.33,843.05,1478.81,1708.68,926.81,6439.88,6625.95,6038.45,6366.33,6493.22,6121.25,6508.37,6741.32,5948.99,99.65,99.57,99.81,99.57,99.41,99.88,99.72,99.71,99.73,4.93,4.07,6.95,5.06,3.96,7.31,4.8,4.16,6.54
Uttar Pradesh,Hamirpur,117.63,115.37,126.55,91.47,96.57,71.19,147.67,137,189.8,1774.38,1886.78,1328.78,1663.46,1789.35,1162.79,1901.8,1998.85,1518.44,720.38,742.48,632.75,535.58,574.78,379.69,932.66,935.38,921.91,2979.21,3165.7,2239.94,2495.64,2681.61,1756.05,3534.73,3722.54,2792.84,86.49,85.69,90.96,86.58,85.71,91.89,86.42,85.68,90.29,27.72,25.91,37.27,28.55,26.58,39.71,27.04,25.35,35.48
Uttar Pradesh,Hardoi,803.23,797.02,844.66,732.24,708.28,889.5,883.09,896.4,792.71,1375.06,1140.64,2937.94,1262.71,1084.98,2429.01,1501.44,1202.97,3527.55,3819.01,3904.34,3250.09,3219.81,3241.26,3079.03,4493.03,4646.94,3448.28,6325.96,6131.82,7620.27,5506.19,5281.72,6979.13,7248.11,7083.86,8363.06,98.06,97.7,100,97.39,96.86,100,98.64,98.4,100,5.7,5.82,5.06,5.56,5.79,4.41,5.81,5.84,5.69
Uttar Pradesh,Hathras,695.04,782.39,420.21,687.05,752.28,485.52,704.27,816.85,342.47,12175.36,12662.68,10642.04,11739.76,12221.93,10249.96,12678.59,13167.07,11108.73,2769.02,3251.53,1250.86,2593.19,3089.08,1060.96,2972.16,3437.43,1476.88,16257.56,17300.01,12977.62,15579.96,16641.52,12299.95,17040.38,18053.56,13784.25,93.77,93.63,94.35,93.1,92.57,95.32,94.48,94.75,93.32,5.63,5.91,4.47,5.25,5.33,4.91,6.04,6.51,3.99
Uttar Pradesh,Jalaun,66.13,65.85,67,64.01,62.05,69.98,68.6,70.24,63.41,1052.95,1275.57,363.74,1008.16,1242.5,297.41,1105.27,1313.77,443.88,657.81,749.7,373.31,538.68,641.3,227.43,796.94,874.93,549.57,1924.67,2274.26,842.35,1721.8,2093.39,594.82,2161.6,2483.2,1141.41,98.04,97.81,100,97.14,96.87,100,98.89,98.72,100,16.23,15.99,18.18,15.18,15.22,14.71,17.19,16.72,20.37
Uttar Pradesh,Jaunpur,367.68,365.85,NA,357.66,351.43,NA,377.02,379.15,NA,6161.32,6347.5,NA,6349.24,6557.21,NA,5986.32,6154.16,NA,1062.22,1074.11,NA,1108.46,1123.58,NA,1019.17,1028.49,NA,7758.54,7918,NA,7970.42,8151.6,NA,7561.22,7702.62,NA,99.47,99.52,NA,99.19,99.22,NA,99.74,99.81,NA,10.89,11.26,NA,11.65,12.06,NA,10.15,10.47,NA
Uttar Pradesh,Jhansi,169.61,168.49,170.71,212.82,196.67,228.51,119.67,136.07,103.58,1109.57,972.94,1242.92,1149.81,1111.38,1187.16,1063.04,813.68,1307.7,1661.43,1473.45,1844.92,1369.58,1184.49,1549.44,1998.82,1805.86,2188.13,3156.67,2874.32,3432.27,2957.02,2759.42,3149.04,3387.47,3006.49,3761.25,80.09,58.41,97.82,79.58,58.1,97.88,80.61,58.73,97.76,21.06,25.29,19,21.71,27.46,18.81,20.42,23.02,19.19
Uttar Pradesh,Jyotiba Phule Nagar,344.81,297.69,501.08,320.86,243.71,578.03,370.5,355.73,419.23,8150.09,9166.16,4780.61,7937,9064.7,4177.61,8378.67,9275.26,5422.02,5492.34,5874.39,4225.35,4640.13,4936.5,3652.13,6406.44,6882.95,4835.1,14697.09,16082.45,10102.93,13519.39,14902.97,8906.99,15960.33,17350.8,11375.07,97.41,97.15,98.79,97.78,97.55,99.12,97.07,96.78,98.53,3.18,3.04,3.93,3.35,3.26,3.87,3.02,2.83,3.99
Uttar Pradesh,Kannauj,500.88,524.43,410.81,533.58,544.98,489.8,465.72,502.3,326.32,16483.81,16475.59,16515.21,15957.6,16031.6,15673.68,17049.67,16953.75,17415.2,4078.69,4324.9,3137.06,3610.39,3827.25,2778.22,4582.29,4860.84,3520.82,21297.49,21576.86,20229.06,20323.65,20641.94,19102.3,22344.72,22583.69,21434.09,96.56,96.15,98.24,96.78,96.42,98.23,96.34,95.87,98.24,8.62,8.94,7.31,8.66,8.95,7.49,8.57,8.94,7.14
Uttar Pradesh,Kanpur Dehat,105.61,100.9,NA,105.01,103.99,NA,106.32,97.27,NA,1124.58,1136.31,NA,1211.02,1242.88,NA,1023.45,1011.59,NA,4517.86,4589.94,NA,3990.36,4032.74,NA,5135.11,5242.09,NA,6115.7,6205.79,NA,5660.86,5740.1,NA,6647.92,6750.84,NA,98.27,98.14,NA,98.62,98.51,NA,97.93,97.77,NA,16.09,16.55,NA,17.45,18.07,NA,14.72,15.02,NA
Uttar Pradesh,Kanpur Nagar,187.3,215.65,178.51,205.32,228.69,198.1,166.28,200.5,155.64,4411.48,4085.25,4512.64,3940.2,3953.74,3936.02,4961.04,4237.95,5185.91,3230.88,3821.82,3047.65,3306.94,4792.79,2847.41,3142.18,2694.32,3281.45,8258.24,8138.82,8295.27,7849.27,8990.89,7496.2,8735.14,7149.38,9228.27,99.99,99.95,100,99.98,99.91,100,100,100,100,8.93,10.24,8.54,8.77,9.17,8.62,9.11,11.8,8.46
Uttar Pradesh,Kaushambi,748,790.18,329.1,716.8,756.42,332.23,777.39,821.85,326.04,4531.94,4278.19,7052.19,4773.91,4615.44,6312.29,4303.93,3961.68,7778.3,3022.86,3163.91,1622,2848.12,2975.28,1613.67,3187.52,3340.93,1630.18,8531.99,8463.23,9214.86,8548.9,8559.29,8448.03,8516.05,8373.09,9967.4,99.83,99.81,100,99.89,99.88,100,99.77,99.74,100,6.59,6.52,7.14,6.92,7.05,5.62,6.27,6.02,8.41
Uttar Pradesh,Kheri,2019.45,2144.3,709.69,1916.08,2020.95,802.36,2136.52,2284.31,607.19,1735.49,1714.89,1951.65,1694.36,1674.97,1900.34,1782.08,1760.2,2008.41,3575.46,3679.51,2483.92,3153.37,3227.62,2364.86,4053.5,4192.46,2615.6,7984.08,8153.21,6209.8,7372.61,7482.29,6207.77,8676.6,8914.77,6212.05,99.19,99.13,100,99.26,99.2,100,99.12,99.07,100,12.78,12.54,16.07,12.46,11.89,19.73,13.09,13.16,12.03
