State_Name,State_District_Name,YY_Crude_Death_Rate_Cdr_Total_Person,YY_Crude_Death_Rate_Cdr_Total_Male,YY_Crude_Death_Rate_Cdr_Total_Female,YY_Crude_Death_Rate_Cdr_Rural_Person,YY_Crude_Death_Rate_Cdr_Rural_Male,YY_Crude_Death_Rate_Cdr_Rural_Female,YY_Crude_Death_Rate_Cdr_Urban_Person,YY_Crude_Death_Rate_Cdr_Urban_Male,YY_Crude_Death_Rate_Cdr_Urban_Female,YY_Infant_Mortality_Rate_Imr_Total_Person,YY_Infant_Mortality_Rate_Imr_Total_Male,YY_Infant_Mortality_Rate_Imr_Total_Female,YY_Infant_Mortality_Rate_Imr_Rural_Person,YY_Infant_Mortality_Rate_Imr_Rural_Male,YY_Infant_Mortality_Rate_Imr_Rural_Female,YY_Infant_Mortality_Rate_Imr_Urban_Person,YY_Infant_Mortality_Rate_Imr_Urban_Male,YY_Infant_Mortality_Rate_Imr_Urban_Female,YY_Neo_Natal_Mortality_Rate_Total,YY_Neo_Natal_Mortality_Rate_Rural,YY_Neo_Natal_Mortality_Rate_Urban,YY_Post_Neo_Natal_Mortality_Rate_Total,YY_Post_Neo_Natal_Mortality_Rate_Rural,YY_Post_Neo_Natal_Mortality_Rate_Urban,YY_Under_Five_Mortality_Rate_U5MR_Total_Person,YY_Under_Five_Mortality_Rate_U5MR_Total_Male,YY_Under_Five_Mortality_Rate_U5MR_Total_Female,YY_Under_Five_Mortality_Rate_U5MR_Rural_Person,YY_Under_Five_Mortality_Rate_U5MR_Rural_Male,YY_Under_Five_Mortality_Rate_U5MR_Rural_Female,YY_Under_Five_Mortality_Rate_U5MR_Urban_Person,YY_Under_Five_Mortality_Rate_U5MR_Urban_Male,YY_Under_Five_Mortality_Rate_U5MR_Urban_Female
Rajasthan,Churu,6,6.6,5.3,6,6.9,5.1,5.8,5.9,5.8,48,44,51,52,49,55,35,30,40,30,31,25,18,20,10,62,58,66,66,65,68,49,37,61
Rajasthan,Dausa,6.7,7.1,6.4,6.8,7.2,6.4,6.3,5.8,6.7,53,44,64,54,46,65,38,25,52,31,32,26,22,23,13,82,73,92,84,75,94,58,47,68
Rajasthan,Dhaulpur,5.9,6.3,5.5,6.4,6.7,6.2,4.3,5.1,3.5,58,55,62,62,58,66,NA,NA,NA,38,40,NA,21,22,NA,73,64,83,78,69,90,NA,NA,NA
Rajasthan,Dungarpur,6.6,7.3,5.8,6.6,7.3,6,5.4,6.7,4.1,63,61,65,63,60,66,NA,NA,NA,41,40,NA,23,23,NA,81,79,85,82,78,87,NA,NA,NA
Rajasthan,Ganganagar,6.2,6.2,6.1,6.2,6.2,6.3,5.9,6.1,5.8,52,46,58,57,52,63,36,31,42,34,39,18,18,18,17,71,64,78,72,68,77,65,53,78
Rajasthan,Hanumangarh,6.1,6.6,5.5,6.2,6.6,5.6,5.7,6.3,5.1,45,43,48,48,46,51,34,35,33,29,31,23,16,17,11,63,58,68,68,63,73,43,39,47
Rajasthan,Jaipur,5.7,6.1,5.2,5.9,6.5,5.2,5.5,5.8,5.1,50,44,57,61,54,68,40,34,46,35,39,31,15,22,8,65,55,77,78,72,86,53,39,68
Rajasthan,Jaisalmer,6.6,7.4,5.6,6.8,7.7,5.7,5.5,5.9,5.1,50,43,57,52,45,60,37,31,42,27,28,21,22,23,16,71,62,82,75,66,85,52,39,65
Rajasthan,Jalor,7.3,8.3,6.3,7.4,8.5,6.5,5.8,6.6,4.9,72,66,78,73,67,80,45,46,45,52,53,23,20,20,23,94,90,98,96,92,101,56,53,59
Rajasthan,Jhalawar,7.6,8.4,6.7,8,8.8,7,5.6,6.1,5,63,61,65,66,65,68,39,36,42,46,48,31,17,18,7,78,76,82,84,81,88,41,40,42
Rajasthan,Jhunjhunun,5.7,6.4,5,5.9,6.7,5,5.1,5.3,4.9,48,43,53,50,45,56,39,35,42,35,37,28,12,13,10,69,65,73,72,65,79,57,62,53
Rajasthan,Jodhpur,6,6.5,5.5,6,6.3,5.7,6.1,7,5.1,46,40,52,53,45,60,33,29,36,29,34,20,17,19,13,63,56,70,71,65,78,47,41,54
Rajasthan,Karauli,6.3,6.5,6.1,6.7,6.7,6.8,4.7,6.1,3.2,69,66,74,69,64,76,70,79,58,45,44,48,25,25,22,81,74,90,83,73,95,75,83,63
Rajasthan,Kota,5.6,5.9,5.2,7,6.8,7.3,4.3,5.1,3.5,36,36,37,46,45,47,26,27,26,25,31,19,12,16,8,47,45,50,65,61,70,31,30,31
Rajasthan,Nagaur,6.3,6.8,5.6,6.4,7.1,5.7,5.5,5.7,5.3,52,45,60,55,48,63,36,26,47,39,42,24,13,13,12,68,58,80,71,61,83,52,42,63
Rajasthan,Pali,6.8,7.8,5.7,7.3,8.6,6.1,4.9,5.2,4.5,54,51,56,57,56,59,37,31,44,39,42,25,15,15,12,71,70,72,78,78,78,43,39,47
Rajasthan,Rajsamand,8.2,9.2,7.2,8.8,9.9,7.7,4.6,5.2,4,59,55,65,63,57,70,NA,NA,NA,38,39,NA,21,23,NA,80,74,86,86,79,93,NA,NA,NA
Rajasthan,Sawai Madhopur,7.1,7.8,6.5,7.9,8.5,7.3,4.7,5.6,3.8,67,65,70,71,69,74,50,47,54,48,51,37,19,20,13,80,75,86,87,81,94,54,51,59
Rajasthan,Sikar,5.8,6.1,5.4,6,6.3,5.6,5.2,5.4,4.9,50,43,58,52,46,61,42,34,50,31,33,23,19,19,19,74,65,84,74,65,84,73,62,85
Rajasthan,Sirohi,7,7.8,6.3,7.3,8.1,6.5,5.5,5.8,5.1,65,62,68,69,67,71,35,22,50,44,46,19,21,22,16,85,80,91,90,85,95,51,38,66
