State_Name,State_District_Name,YY_Crude_Death_Rate_Cdr_Total_Person,YY_Crude_Death_Rate_Cdr_Total_Male,YY_Crude_Death_Rate_Cdr_Total_Female,YY_Crude_Death_Rate_Cdr_Rural_Person,YY_Crude_Death_Rate_Cdr_Rural_Male,YY_Crude_Death_Rate_Cdr_Rural_Female,YY_Crude_Death_Rate_Cdr_Urban_Person,YY_Crude_Death_Rate_Cdr_Urban_Male,YY_Crude_Death_Rate_Cdr_Urban_Female,YY_Infant_Mortality_Rate_Imr_Total_Person,YY_Infant_Mortality_Rate_Imr_Total_Male,YY_Infant_Mortality_Rate_Imr_Total_Female,YY_Infant_Mortality_Rate_Imr_Rural_Person,YY_Infant_Mortality_Rate_Imr_Rural_Male,YY_Infant_Mortality_Rate_Imr_Rural_Female,YY_Infant_Mortality_Rate_Imr_Urban_Person,YY_Infant_Mortality_Rate_Imr_Urban_Male,YY_Infant_Mortality_Rate_Imr_Urban_Female,YY_Neo_Natal_Mortality_Rate_Total,YY_Neo_Natal_Mortality_Rate_Rural,YY_Neo_Natal_Mortality_Rate_Urban,YY_Post_Neo_Natal_Mortality_Rate_Total,YY_Post_Neo_Natal_Mortality_Rate_Rural,YY_Post_Neo_Natal_Mortality_Rate_Urban,YY_Under_Five_Mortality_Rate_U5MR_Total_Person,YY_Under_Five_Mortality_Rate_U5MR_Total_Male,YY_Under_Five_Mortality_Rate_U5MR_Total_Female,YY_Under_Five_Mortality_Rate_U5MR_Rural_Person,YY_Under_Five_Mortality_Rate_U5MR_Rural_Male,YY_Under_Five_Mortality_Rate_U5MR_Rural_Female,YY_Under_Five_Mortality_Rate_U5MR_Urban_Person,YY_Under_Five_Mortality_Rate_U5MR_Urban_Male,YY_Under_Five_Mortality_Rate_U5MR_Urban_Female
Uttar Pradesh,Kannauj,9.15,9.9,8.31,9.39,10.05,8.64,8.25,9.34,7.07,79.39,79.05,79.75,80.81,80.74,80.88,73.25,71.69,69.31,55.04,58.05,42.04,24.35,22.76,31.21,102,98,105,105,102,107,89,81,98
Uttar Pradesh,Kanpur Dehat,8.82,8.62,9.1,9.14,8.9,9.4,5.45,5.53,5.4,64.79,63.72,66,68.17,66.97,69,NA,NA,NA,41.21,43.78,NA,23.58,24.38,NA,94,86,102,98,89,108,NA,NA,NA
Uttar Pradesh,Kanpur Nagar,6.03,6.29,5.72,7.2,7.25,7.15,5.66,5.99,5.28,36.57,34.37,39.04,55.02,50.25,60.42,29.14,27.95,14.08,24.28,37.84,18.82,12.29,17.17,10.32,50,47,54,77,68,87,40,38,41
Uttar Pradesh,Kaushambi,10.74,11.42,10.08,10.88,11.55,10.24,9.15,10.04,8.28,82.15,80.3,84.28,80.94,79.76,82.3,NA,NA,NA,61.34,60.47,NA,20.81,20.47,NA,113,107,119,113,107,119,NA,NA,NA
Uttar Pradesh,Kheri,8.08,8.16,7.99,8.37,8.41,8.33,4.96,5.49,4.37,78.37,79.14,77.54,79.8,80.17,79.4,51.89,60.87,35.43,54.75,55.67,37.74,23.62,24.13,14.15,117,113,120,121,117,126,55,67,41
Uttar Pradesh,Kushinagar,9.63,10.59,8.8,9.64,10.6,8.8,9.51,10.24,8.8,80.24,80.66,80,80.51,80.21,81,NA,NA,NA,61.43,61.46,NA,18.81,19.05,NA,99,101,97,99,101,98,NA,NA,NA
Uttar Pradesh,Lalitpur,7.72,7.83,7.61,7.92,7.97,7.87,6.41,6.91,5.85,72.93,72.46,73.44,74.54,72.63,76.57,56.28,70.87,25.17,53.48,54.46,43.29,19.45,20.07,12.99,114,111,117,118,112,124,78,100,52
Uttar Pradesh,Lucknow,6.45,6.83,6.04,7.82,8.09,7.51,5.48,5.92,5,44.28,43.06,45.66,54.02,50.69,57.87,33.55,34.59,32.61,28.56,37.08,19.17,15.72,16.94,14.38,58,55,62,79,70,89,40,41,38
Uttar Pradesh,Maharajganj,9.64,10.47,8.9,9.95,10.77,9.2,6.18,7.38,4.9,78.01,77.14,79,78.48,78.87,78,NA,NA,NA,61.1,61.46,NA,16.91,17.02,NA,96,92,100,97,94,99,NA,NA,NA
Uttar Pradesh,Mahoba,7.23,7.7,6.69,7.4,8.07,6.64,6.87,6.93,6.79,45.53,47.3,43.51,48.77,50.67,46.59,38.67,40.12,59.83,31.19,32.12,29.2,14.34,16.65,9.47,73,71,76,79,77,81,62,60,65
Uttar Pradesh,Mainpuri,10.05,10.32,9.75,10.28,10.35,10.21,9.02,10.19,7.77,50.27,52.9,47.77,48.15,49.41,46.96,60.76,69.69,42.17,33.62,31.3,45.14,16.64,16.85,15.63,78,78,79,79,78,80,75,78,73
Uttar Pradesh,Mathura,7.51,7.44,7.59,7.68,7.64,7.74,7.18,7.07,7.31,44.03,41.39,47.1,48.95,45.1,53.36,33.3,33.46,59.7,31.32,36.82,19.33,12.71,12.13,13.96,58,51,65,66,59,74,41,37,46
Uttar Pradesh,Mau,8.46,9.12,7.82,8.71,9.56,7.9,7.54,7.56,7.52,73.4,72.65,74.21,72.91,72.09,73.8,75.34,75,74.07,58.5,58.39,58.9,14.91,14.51,16.44,86,88,85,87,89,85,86,86,87
Uttar Pradesh,Meerut,6.27,6.64,5.85,6.48,7.06,5.84,6,6.13,5.86,49.61,47.44,52.1,53.37,48.25,59.01,44.07,46.3,36.89,34.82,38.13,29.94,14.79,15.24,14.12,59,55,62,65,59,72,49,50,48
Uttar Pradesh,Mirzapur,8.39,8.88,7.87,8.42,8.76,8.07,8.16,9.64,6.42,79.85,79.2,80.61,81.97,79.04,85.32,NA,NA,NA,57.42,58.72,NA,22.43,23.26,NA,105,105,106,110,109,111,NA,NA,NA
Uttar Pradesh,Moradabad,8.07,8.15,7.99,8.32,7.92,8.77,7.56,8.61,6.4,63.53,60.06,66.8,62.87,59.54,65.91,65.2,61.3,42.35,45.61,43.43,51.1,17.92,19.45,14.1,80,72,87,81,71,91,78,76,79
Uttar Pradesh,Muzaffarnagar,8.7,8.93,8.45,9.22,9.66,8.74,7.35,7.04,7.71,51.3,48.65,54.24,56.26,55.28,57.3,35.88,29.35,40.11,36.77,41.52,21.99,14.53,14.74,13.89,71,64,77,80,75,86,43,35,52
Uttar Pradesh,Pilibhit,8.72,9.25,8.12,8.62,9.19,7.96,9.23,9.51,8.91,73.36,71.92,74.85,77.85,75.45,80.33,44.85,50.25,51.81,50.48,53.45,31.66,22.88,24.41,13.19,91,88,95,96,91,102,61,72,49
Uttar Pradesh,Pratapgarh,9.91,11.28,8.71,10,11.42,8.77,8,8.65,7.35,83.63,82.65,84.68,85.41,85.15,85.7,NA,NA,NA,63.61,64.98,NA,20.03,20.44,NA,104,102,107,107,105,109,NA,NA,NA
Uttar Pradesh,Rae Bareli,7.87,8.27,7.44,7.99,8.4,7.55,6.45,6.74,6.13,53.24,53.9,52.5,54.77,56.2,53.17,32.79,24.1,32.37,34.84,35.24,29.51,18.4,19.54,3.28,80,77,84,84,80,88,39,37,43
Uttar Pradesh,Rampur,9.11,9.34,8.85,9.4,8.69,10.18,8.3,11.18,5.19,60.08,56.97,63.47,66.63,63.25,70.33,35.45,33.1,69.15,45.2,50.07,26.89,14.88,16.56,8.56,86,78,95,98,88,110,44,42,46
Uttar Pradesh,Saharanpur,9.05,9.64,8.41,9.26,9.97,8.49,8.37,8.57,8.16,76.4,77.29,75.43,84.48,84.4,84.56,43.91,47.62,47.06,54.35,59.06,35.41,22.05,25.42,8.5,99,99,98,111,111,110,53,53,54
Uttar Pradesh,Sant Kabir Nagar,9.93,10.25,9.6,10.07,10.47,9.7,7.77,7.18,8.3,63.41,62.52,64,64.41,63.25,66,NA,NA,NA,48.59,49.1,NA,14.82,15.31,NA,91,88,94,93,89,96,NA,NA,NA
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),7.41,7.8,7.02,7.64,8,7.28,5.93,6.56,5.22,81.79,81.23,82.43,80.61,78.78,82.63,93.17,102.7,81.86,59.24,60.56,46.58,22.55,20.05,46.58,106,100,112,106,100,113,109,110,106
Uttar Pradesh,Shahjahanpur,7.71,7.9,7.48,8.09,8.37,7.75,5.83,5.49,6.22,80.39,79.84,81,85.57,84.03,87.25,44.64,52.29,38.89,57.61,61.3,32.14,22.78,24.27,12.5,100,94,107,107,99,116,55,60,48
Uttar Pradesh,Shrawasti,12.1,12.36,11.8,12.16,12.44,11.9,9.77,9.71,9.8,96.36,96.02,97,95.83,95.55,96,NA,NA,NA,67.83,67.56,NA,28.53,28.27,NA,130,121,139,130,121,139,NA,NA,NA
Uttar Pradesh,Siddharthnagar,11.16,12.33,10.2,11.23,12.39,10.3,8.81,10.47,7.2,87.18,86.58,88,87.7,87.17,88,NA,NA,NA,69.69,70.39,NA,17.49,17.32,NA,116,109,122,117,110,124,NA,NA,NA
Uttar Pradesh,Sitapur,8.77,8.76,8.79,8.98,8.93,9.03,6.93,7.2,6.62,80.19,80.04,80.35,80.72,81.4,80.04,74.19,64.52,41.24,53.96,53.6,58.06,26.24,27.13,16.13,114,107,121,116,111,123,90,75,106
Uttar Pradesh,Sonbhadra,8.7,8.59,8.82,9.36,9.41,9.31,5.03,4.36,5.84,68.59,67.94,69.28,71.87,72.6,71.1,NA,NA,NA,52.07,54.35,NA,16.52,17.52,NA,99,91,108,106,100,113,NA,NA,NA
Uttar Pradesh,Sultanpur,7.47,8.04,6.9,7.54,8.09,6.4,6.42,7.28,5.5,45.1,43.41,47,46,44,48,NA,NA,NA,31.48,31.96,NA,13.62,14.04,NA,66,62,70,67,64,71,NA,NA,NA
Uttar Pradesh,Unnao,6.84,7.11,6.54,7.15,7.36,6.91,5.34,5.88,4.75,58.33,53.45,63.52,60.13,51.74,69.25,47.97,63.91,98.04,36.65,35.97,40.59,21.67,24.16,7.38,83,74,92,85,72,99,71,86,57
Uttar Pradesh,Varanasi,7.49,7.38,7.61,7.75,8.05,7.43,7.19,6.62,7.83,71.59,69.58,73.96,71.27,73.63,68.54,72.04,63.97,62.76,49.83,52.41,46.18,21.76,18.86,25.86,90,81,100,94,89,100,85,71,101
Uttarakhand,Almora,6.04,7.87,4.44,6.14,8.04,4.51,4.61,5.78,3.42,20.39,21.24,19.43,20.88,21.66,20,NA,NA,NA,14.87,15.26,NA,5.52,5.62,NA,24,24,24,25,24,25,NA,NA,NA
Uttarakhand,Bageshwar,7,8.76,5.4,6.98,8.72,5.41,7.5,9.6,5.27,31.46,30.3,32.85,32.38,31.53,33.39,NA,NA,NA,19.51,19.96,NA,11.94,12.41,NA,38,36,40,39,37,40,NA,NA,NA
Uttarakhand,Chamoli,5.29,6.59,4.04,5.67,7.13,4.33,3.49,4.31,2.59,25.55,25.97,25.07,28.35,28.96,27.63,10.69,9.97,11.52,17.12,18.84,8.01,8.43,9.51,2.67,29,28,30,33,32,33,11,10,13
Uttarakhand,Champawat,5.56,6.83,4.33,5.71,7.2,4.29,4.81,5.04,4.57,33.58,36.52,30.24,31.54,34.54,28.1,44.78,47.62,41.67,23.94,23.77,24.88,9.64,7.77,19.9,42,43,41,38,39,38,60,62,58
Uttarakhand,Dehradun,6.49,7.39,5.54,6.87,8.02,5.68,6.23,6.97,5.43,34.14,34.53,33.69,40.22,42.65,37.57,28.39,27.1,29.9,24.96,29.9,20.3,9.17,10.32,8.09,40,40,40,48,51,45,33,31,35
Uttarakhand,Haridwar,7.39,7.84,6.88,7.68,8.15,7.14,6.88,7.29,6.44,63.91,63.45,64.44,70.41,66.14,75.29,47.62,56.7,37.25,44.95,48.99,34.8,18.97,21.41,12.82,77,75,79,88,82,96,52,61,42
Uttarakhand,Nainital,5.28,6.07,4.42,5.58,6.5,4.61,4.82,5.45,4.13,28.92,25.54,32.61,26.03,21.13,31.44,33.11,32.01,34.28,20.5,18.1,23.97,8.42,7.93,9.13,36,30,42,36,28,44,37,34,40
Uttarakhand,Pauri Garhwal,7.93,9.75,6.34,8.28,10.34,6.51,5.91,6.59,5.23,37.42,35.37,39.75,38.88,36.59,41.5,27.19,26.77,27.66,24.8,25.32,21.15,12.62,13.57,6.04,45,43,47,47,45,49,33,30,36
Uttarakhand,Pithoragarh,6.16,7.66,4.77,6.8,8.4,5.33,3.27,4.4,2.15,22.91,21.98,24.13,24.94,23.59,26.66,NA,NA,NA,14.39,15.76,NA,8.53,9.18,NA,27,25,29,29,26,32,NA,NA,NA
Uttarakhand,Rudraprayag,6.06,8.11,4.4,6.11,8.2,4.4,NA,NA,NA,19.22,20.77,17,19.35,20.9,18,NA,NA,NA,11.22,11.3,NA,8,8.06,NA,26,27,25,27,27,25,NA,NA,NA
Uttarakhand,Tehri Garhwal,8.74,11.23,6.72,9.2,12.03,6.98,5.94,6.98,4.82,53.25,50.12,56.84,56.31,53.81,59.14,28.57,22.58,36.56,38.48,40.63,21.2,14.77,15.68,7.37,65,63,67,69,68,70,33,28,40
Uttarakhand,Udham Singh Nagar,5.3,6.04,4.48,5.66,6.45,4.81,4.66,5.33,3.9,34.59,33.78,35.52,40.8,43.99,37.32,22.96,15.92,31.88,26.94,31.04,19.26,7.65,9.76,3.7,44,44,43,47,49,45,36,36,38
Uttarakhand,Uttarkashi,4.63,5.39,3.86,4.78,5.72,3.86,3.6,3.4,3.82,41.57,43.38,39.58,42.81,46.38,38.96,30.1,17.86,45.8,26.26,27.3,16.72,15.31,15.51,13.38,51,52,50,54,56,51,34,22,50

