State_Name,State_District_Name,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Person_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Person_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Person_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Male_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Male_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Male_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Female_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Female_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Female_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Person_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Person_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Person_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Male_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Male_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Male_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Female_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Female_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Female_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Person_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Person_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Person_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Male_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Male_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Male_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Female_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Female_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Female_Urban
Madhya Pradesh,Sehore,534.58,610.1,224.1,757.83,882.02,255.92,281.27,303.77,186.92,425.31,407.17,499.91,589.4,569.02,671.79,239.13,224.83,299.07,903.51,1001.68,499.91,1112.9,1222.04,671.79,665.94,753.44,299.07
Madhya Pradesh,Seoni,115.35,108.43,179.25,154.09,166.22,43.5,75.16,48.63,323.48,94.86,100.28,44.81,105.83,112.67,43.5,83.47,87.45,46.21,217.18,238.28,22.41,253.83,281.69,0,179.16,193.37,46.21
Madhya Pradesh,Shahdol,78.74,100.86,22.29,56.08,78.52,0,102.97,124.46,46.88,10.38,10.09,11.14,0,0,0,21.49,20.74,23.44,104.1,136.16,22.29,125.25,166.86,21.24,81.48,103.71,23.44
Madhya Pradesh,Shajapur,767.47,931.43,259.4,887.05,1080.52,281.43,636.65,767.47,235.69,629.73,720.46,348.57,730.26,818.71,453.41,519.73,612.41,235.69,2084.98,2658.41,308.04,2041.74,2569.13,390.87,2132.29,2756.6,218.86
Madhya Pradesh,Sheopur,322.76,329.94,288.31,381.84,388.12,352.19,256.53,265.1,214.75,148.93,133.73,221.78,187.65,165.95,290.04,105.52,97.8,143.16,682.58,720.88,499,797.62,848.1,559.35,553.63,579.08,429.49
Madhya Pradesh,Shivpuri,381.58,347.69,563.65,493.55,421.14,888.89,253.8,263.43,202.96,182.15,152.09,343.69,215.6,168.89,470.59,143.99,132.82,202.96,322.63,267.54,618.64,388.46,311.16,810.46,247.51,217.5,405.91
Madhya Pradesh,Sidhi,57.66,64.12,18.64,85.83,100.22,0,26.48,24.32,39.75,97.99,114.21,0,119.61,139.67,0,74.05,86.14,0,106.85,121.45,18.64,171.56,200.33,0,35.21,34.47,39.75
Madhya Pradesh,Tikamgarh,58.69,59.88,54.05,62.76,63.04,61.65,54.1,56.29,45.61,40.14,39.35,43.24,59.25,63.83,41.1,18.52,11.53,45.61,63.34,60.19,75.67,90.71,92.86,82.2,32.37,23.06,68.42
Madhya Pradesh,Ujjain,436.42,537.33,297.93,588.73,752.15,368.96,271.1,308.3,218.91,452.1,554.99,310.88,604.95,707.26,467.35,286.2,392.65,136.82,629.14,596.77,673.58,930.69,882,996.19,301.83,292.67,314.68
Madhya Pradesh,Umaria,74.66,73.87,77.84,82.12,76.49,104.63,66.67,71.07,48.73,110.83,122.86,62.27,144.57,158.28,89.69,74.71,85.07,32.48,355.7,424.52,77.84,443.87,524.91,119.58,261.3,317.44,32.48
Madhya Pradesh,Vidisha,95.55,112.64,53.39,92.29,106.3,57.68,99.22,119.78,48.58,102.48,116.19,68.65,123.9,133.19,100.94,78.36,97.02,32.39,265.97,339.76,83.91,363.04,457.44,129.78,156.7,207.17,32.39
Madhya Pradesh,West Nimar,271.12,293.13,162.44,352.46,378.91,221.47,183.87,201.03,99.47,286.69,309.43,174.47,360.83,391.33,209.81,207.17,221.48,136.76,621.36,592.45,764.05,720.46,722.36,711.04,515.06,452.95,820.59
Odisha,Anugul,276.92,292.18,201.16,396.84,419.18,289.48,153.43,162.86,105.02,587.37,633.1,360.41,873.67,941.71,546.8,292.55,318.85,157.54,2933.95,3128.26,1969.66,4074.27,4359.95,2701.83,1759.74,1874.05,1172.76
Odisha,Balangir,148.69,150.14,132.71,202.18,196.91,259.63,93.84,102.26,0,256.12,263.31,176.95,393.07,405.31,259.63,115.71,117.98,90.5,1249.81,1264.87,1083.83,1665.65,1683.48,1471.22,823.45,836.44,678.73
Odisha,Baleshwar,257.23,278.86,100.53,415.94,451.05,172.02,109.13,119.77,28.78,344.66,372.4,143.62,515.9,561.28,200.69,184.85,197.9,86.33,1834.43,1833.9,1838.29,2577.9,2565.18,2666.28,1140.63,1158.31,1007.19
Odisha,Bargarh,162.62,174.53,30.13,225.16,240.22,58.81,97.69,106.41,0,495.59,515.77,271.17,705.43,737.33,352.84,277.74,285.99,185.36,3386.35,3429.39,2907.5,4569.37,4594.38,4292.86,2158.15,2221.21,1451.96
Odisha,Baudh,143.42,146.23,NA,182.14,182.21,NA,103.76,109.37,NA,300.37,309.19,NA,410.56,422.9,NA,187.5,192.66,NA,485.61,499.49,NA,573.62,585.01,NA,395.45,411.85,NA
Odisha,Bhadrak,179.15,192.84,81.91,266.98,296.6,69.28,98.16,98.59,94.88,680.45,682.35,666.98,758.7,733.96,923.79,608.29,635.46,403.23,2355.49,2319.74,2609.41,3255.09,3286.04,3048.5,1525.87,1442.04,2158.44
Odisha,Cuttack,376.71,422.84,251.2,481.63,508.66,407.87,265.63,331.83,86.01,560.99,594.5,469.83,701.43,732.62,616.33,412.31,448.05,315.37,949.13,908.16,1060.61,1256.02,1171.56,1486.45,624.23,628.88,611.62
Odisha,Debagarh,242.08,240.21,259.74,300.46,282.58,468.6,183.71,197.93,47.6,863.62,899.9,519.48,1221.99,1262.24,843.49,505.37,538.28,190.39,3938.57,4089.89,2502.95,5287.24,5500.66,3280.22,2590.33,2681.95,1713.47
Odisha,Dhenkanal,358.73,365.8,289.27,459.2,465.7,397.35,262.62,270.81,179.45,451.86,468.4,289.27,693.59,720.12,441.5,220.6,229.07,134.59,2653.69,2611.25,3070.76,3747.11,3723.28,3973.51,1607.67,1553.94,2153.43
Odisha,Gajapati,139.11,139.79,133.41,149.19,144.23,191.42,128.9,135.28,75.9,119.67,129.38,38.12,167.17,177.83,76.57,71.56,80.18,0,8345,8557.87,6556.13,8833.99,9445,3637.06,7849.74,7657.04,9449.72
Odisha,Ganjam,254.37,285.37,99.59,339.45,375.46,171.53,175.84,204.05,25.3,333.09,342.46,286.32,516.93,538.46,416.56,163.39,165.56,151.82,736.33,828.95,273.87,895.44,1008.66,367.56,589.46,666.75,177.13
Odisha,Jagatsinghapur,391.44,407.96,260.46,516.55,534.63,386.44,264.95,282.77,107.95,485.57,479.05,537.2,623.89,607.32,743.16,345.71,352.27,287.87,2791.24,2944.15,1579.03,2651.38,2809.15,1516.05,2932.65,3077.59,1655.27
Odisha,Jajapur,297.16,302.83,NA,383.63,390.83,NA,213.26,217.65,NA,544.28,551.53,NA,762.12,773.08,NA,332.93,337.07,NA,1641.5,1579.19,NA,2135.39,2052.3,NA,1162.3,1121.26,NA
Odisha,Jharsuguda,189.68,189.34,190.23,239.12,243.12,232.8,136.65,133.12,142.63,401.55,426.8,360.25,553.79,587.34,500.67,238.28,258.98,203.24,2882.33,3369.53,2085.75,3848.84,4569.88,2707.44,1845.86,2114.73,1390.62
Odisha,Kalahandi,111.04,116.49,NA,145.19,147.25,NA,75.15,84.29,NA,152.2,148.84,NA,198.72,191.24,NA,103.29,104.47,NA,205.7,172.8,NA,268.4,204.42,NA,139.8,139.72,NA
Odisha,Kandhamal,230.26,229.05,242.77,292.29,278.8,429.18,167.01,178.5,45.43,386.74,394.25,308.98,555.49,563.71,472.1,214.68,222.09,136.3,2447.33,2304.37,3928.49,1390.75,1307.92,2231.76,3524.65,3316.7,5724.67
Odisha,Kendrapara,229.61,232.42,187.09,362.98,368.13,287.77,110.47,111.7,91.28,602.9,621.13,327.41,887.34,915.29,479.62,348.83,359.48,182.57,5018.62,4976.21,5659.49,6684.61,6689.13,6618.71,3530.51,3452.58,4746.69
Odisha,Kendujhar,135.45,143.97,96.23,198.7,210.04,147.41,73.36,79.5,44.6,286.53,310.19,177.65,425.63,461.05,265.33,149.99,162.98,89.21,1502.16,1598.58,1058.48,2134.5,2286.95,1444.58,881.49,926.9,669.05
Odisha,Khordha,190.88,232.95,141.43,261.48,318.04,197.69,116.6,146.85,79.44,345.73,406.47,274.32,489.79,579.67,388.4,194.15,231.22,148.63,793.18,1007.39,541.33,1012.42,1243.98,751.22,562.5,768,310.07
Odisha,Koraput,134.33,148.94,65.24,202.75,232.17,65,66.52,66.74,65.49,184.26,205.98,81.55,246.02,270.8,130,123.05,141.96,32.74,307.09,327.19,212.04,412.03,430.62,324.99,203.09,225.04,98.23
Odisha,Malkangiri,179.74,175.8,224.3,257.65,260.33,227.1,102.53,91.9,221.57,147.91,147.77,149.53,189.77,196.46,113.55,106.43,99.45,184.64,2486.81,2447.16,2934.58,2878.9,2965.49,1892.51,2098.2,1932.71,3951.26
Odisha,Mayurbhanj,153.49,152.5,166.43,207.19,208.54,189.84,101.05,97.9,142.93,272.51,269.71,309.08,401.66,395.99,474.61,146.39,146.65,142.93,1550.74,1563.88,1378.98,2133.77,2166.79,1708.59,981.4,976.37,1048.12
Odisha,Nabarangapur,33.29,34.95,NA,45.52,47.77,NA,20.79,21.84,NA,61.04,53.87,NA,84.03,67.97,NA,37.54,39.43,NA,1102.19,1077.49,NA,538.67,516.76,NA,1678.38,1651.48,NA
Odisha,Nayagarh,445.03,447.53,NA,591.04,595.15,NA,296.29,297.49,NA,611.98,619.42,NA,842.38,846.73,NA,377.27,388.38,NA,1462.83,1473.69,NA,1852.32,1861.19,NA,1066.03,1079.85,NA
Odisha,Nuapada,57.91,53.77,NA,58.9,48.46,NA,56.87,59.28,NA,133.07,123.34,NA,186.46,168.47,NA,77.72,76.54,NA,3590.55,3538.43,NA,1597.89,1579.23,NA,5656.72,5570.07,NA
Odisha,Puri,321.46,338.56,236.6,459.04,476.08,377.24,180.96,199.69,84.82,569.61,621.94,310.03,816.9,908.46,377.24,317.07,332.58,237.49,1327.7,1299.3,1468.55,1852.38,1815.87,2027.66,791.91,777.63,865.14
Odisha,Rayagada,97.43,80.69,179.76,135.36,117.66,219.36,61.04,45.64,139.47,111.29,97.37,179.76,135.36,117.66,219.36,88.19,78.13,139.47,115.24,76.84,304.2,147.58,97.82,383.88,84.22,56.95,223.15
Odisha,Sambalpur,200.41,234.86,145.54,281.41,332.65,200.57,116.91,134.8,88.12,385.46,407.5,350.37,529.95,558.08,485.59,236.51,253.44,209.27,1611.87,1696.59,1476.93,2196.27,2337.14,1974.03,1009.44,1041.25,958.26
Odisha,Sonapur,79.19,82.44,26,109.92,113.69,49.33,46.22,48.98,0,299.54,290.84,442.02,410.85,393.44,690.68,180.08,180.99,164.93,509.4,488.12,858.03,684.86,659.94,1085.35,321.11,304.16,604.73
Odisha,Sundargarh,242.12,204.18,321.41,354.54,289.13,488.92,123.43,115.52,140.27,253.87,238.92,285.12,364.2,347.21,399.12,137.38,125.88,161.85,1472.02,1375.15,1674.44,1954.12,1851.35,2165.24,962.99,878.07,1143.72
Rajasthan,Ajmer,189,224,138,254,324,154,120,118,122,496,493,500,667,675,655,313,300,332,850,609,1202,1167,821,1668,511,385,697
Rajasthan,Alwar,81,78,110,108,102,154,50,49,60,211,202,290,278,268,360,135,126,209,1570,1563,1630,1672,1609,2210,1453,1510,956
Rajasthan,Banswara,276,20,NA,270,22,NA,281,19,NA,109,19,NA,26,27,NA,191,11,NA,431,47,NA,544,65,NA,318,30,NA
Rajasthan,Baran,181,179,193,200,200,200,162,157,185,569,556,638,867,864,885,256,236,370,1608,1671,1260,2563,2704,1799,608,596,679
Rajasthan,Barmer,69,69,71,77,75,93,61,62,48,105,98,189,116,102,280,94,94,96,267,261,331,318,309,420,215,213,239
Rajasthan,Bharatpur,113,109,127,132,118,189,91,99,58,315,289,418,370,331,532,252,243,289,2564,2507,2796,3274,3248,3380,1759,1664,2140
Rajasthan,Bhilwara,338,331,365,476,477,474,197,185,249,350,297,567,483,377,909,214,216,208,735,643,1114,976,797,1700,489,487,499
Rajasthan,Bikaner,190,199,177,265,255,281,107,138,60,236,214,269,331,311,361,130,108,165,1575,1126,2252,2010,1470,2811,1097,754,1625
Rajasthan,Bundi,346,361,298,558,600,414,122,107,175,510,573,298,671,771,331,339,362,262,2156,2455,1148,2826,3189,1595,1445,1674,677
Rajasthan,Chittaurgarh,184,75,655,246,99,873,120,49,427,232,117,729,309,144,1018,153,90,427,360,248,848,523,387,1105,193,105,579
Rajasthan,Churu,154,167,118,197,209,163,110,124,72,227,170,378,321,241,537,130,97,216,263,277,225,338,350,304,185,201,144
Rajasthan,Dausa,194,193,207,305,301,342,71,72,55,379,370,465,520,508,636,222,217,274,1150,1165,1008,1497,1521,1271,763,768,712
Rajasthan,Dhaulpur,70,77,50,99,109,72,38,42,27,142,161,88,190,231,72,88,81,107,462,289,959,694,372,1625,200,195,214
Rajasthan,Dungarpur,38,37,46,52,48,96,24,26,0,54,50,92,88,84,143,22,20,44,418,99,4147,467,125,4443,373,75,3870
Rajasthan,Ganganagar,142,146,134,210,215,197,66,67,63,126,115,152,149,139,175,99,88,125,220,260,123,249,297,131,188,218,113
Rajasthan,Hanumangarh,132,139,107,149,149,150,113,127,58,75,66,107,77,58,150,72,76,58,541,397,1083,540,383,1121,542,411,1039
Rajasthan,Jaipur,154,142,166,217,192,241,84,88,80,516,552,484,731,819,652,273,255,290,1170,1380,977,1565,1818,1336,725,894,566
Rajasthan,Jaisalmer,55,63,16,66,78,0,43,45,34,61,61,64,60,54,91,63,69,34,126,104,241,174,133,393,69,69,69
Rajasthan,Jalor,188,188,183,295,294,309,84,87,53,247,231,419,372,363,463,126,104,373,339,334,393,525,521,566,160,155,213
Rajasthan,Jhalawar,102,116,29,153,172,55,48,57,0,139,133,174,208,205,222,67,57,121,579,588,535,899,902,887,243,261,151
Rajasthan,Jhunjhunun,113,93,177,152,119,255,72,66,92,116,106,145,161,150,194,68,60,92,252,235,303,341,314,425,157,152,171
Rajasthan,Jodhpur,54,38,82,71,58,92,36,16,71,89,117,41,106,145,39,70,85,43,302,279,341,376,388,355,221,158,326
Rajasthan,Karauli,86,86,84,102,118,40,68,51,130,93,90,105,117,116,121,66,60,87,230,247,168,217,254,81,243,239,261
Rajasthan,Kota,94,124,70,151,199,113,32,45,21,279,348,224,372,522,255,178,165,189,1186,1544,900,1529,2025,1144,816,1041,630
Rajasthan,Nagaur,94,106,26,113,125,50,73,87,0,66,79,0,97,115,0,34,40,0,144,156,78,181,206,50,103,102,108
Rajasthan,Pali,171,181,141,204,207,196,139,155,80,359,316,499,479,442,587,241,196,400,595,622,508,761,814,604,432,441,400
Rajasthan,Rajsamand,97,101,76,83,91,38,112,111,115,171,185,95,236,251,150,108,119,38,534,488,798,596,548,864,474,430,731
Rajasthan,Sawai Madhopur,94,50,223,141,88,299,43,11,143,820,1030,189,1516,1980,133,83,28,250,196,169,275,218,202,266,172,135,285
Rajasthan,Sikar,71,61,101,99,84,145,42,38,53,125,124,126,163,159,178,84,88,70,193,196,185,269,267,274,113,122,88
Rajasthan,Sirohi,273,291,177,347,348,342,198,234,0,271,270,275,375,359,456,167,183,81,393,382,451,563,562,571,222,204,324
Rajasthan,Tonk,329,354,252,406,416,378,249,291,116,333,417,75,478,620,54,182,209,97,707,845,280,1073,1305,378,327,375,174
Rajasthan,Udaipur,198,176,261,254,236,306,140,117,212,343,274,552,432,379,585,252,168,516,624,596,711,456,488,362,798,704,1092
Uttar Pradesh,Agra,246.37,302.21,194.33,325.39,405.95,250.92,155.09,183.45,128.42,551.28,688.48,423.44,738.56,904.16,585.48,334.95,441.56,234.7,1993.4,1963.71,2021.07,2467.54,2463.58,2471.2,1445.72,1391.44,1496.77
Uttar Pradesh,Aligarh,147.35,172.45,96.41,205.87,256.73,103.95,82.53,79.92,87.9,376.73,504.7,117.06,502.43,688.33,129.94,237.52,303.11,102.55,2407.89,3031.19,1143.09,3050.44,3878.93,1390.33,1696.26,2100.52,864.34
Uttar Pradesh,Allahabad,121.6,137.99,67.11,129.71,165.5,16.32,113.62,111.54,120.88,141.71,136.39,159.4,195.79,180.35,244.74,88.56,94.14,69.07,1756.1,1903.26,1266.78,2329.13,2538.93,1664.22,1192.96,1292.34,846.14
Uttar Pradesh,Ambedkar Nagar,52.05,43.04,NA,74.59,63.86,NA,32.41,25.02,NA,220.45,228.82,NA,293.6,302.8,NA,156.72,164.8,NA,2231.72,2307.01,NA,2752.4,2856.82,NA,1778.14,1831.19,NA
Uttar Pradesh,Auraiya,237.36,210.11,362.3,312.42,273.18,492.73,151.55,137.94,213.76,186.15,200.86,118.68,246.21,266.6,152.51,117.49,125.66,80.16,641.25,625.8,712.1,782.32,766.19,856.41,479.98,465.16,547.76
Uttar Pradesh,Azamgarh,56.21,57.43,43.27,71.22,72.44,58.77,42.85,44.17,28.33,177.37,179.14,158.66,235.51,232.65,264.47,125.63,131.87,56.66,2010.06,2062.19,1456.8,2651.22,2718.52,1968.85,1439.44,1482.48,963.17
Uttar Pradesh,Baghpat,431.72,509.99,146.67,562.93,654.05,238.43,277.14,342.06,34.34,489.97,539.73,308.78,686.21,760.75,420.76,258.79,282.07,171.7,1592.98,1591.62,1597.96,1936.95,2000.38,1711.08,1187.76,1115.11,1459.48
Uttar Pradesh,Bahraich,153.57,153.69,151.79,186.51,189.45,144.89,118.22,115.39,159.39,129.55,132.23,91.07,166.25,171.87,86.93,90.16,89.78,95.63,441.55,449.07,333.94,574.47,580.26,492.61,298.93,308.54,159.39
Uttar Pradesh,Ballia,99.88,102.92,75.6,116.33,127.99,28.62,83.32,78.03,128.21,144.31,128.29,272.15,200.15,173.49,400.69,88.12,83.4,128.21,890.33,893.91,861.81,1157.22,1170.28,1058.96,621.76,619.48,641.03
Uttar Pradesh,Balrampur,59.54,58.63,NA,98.87,96.01,NA,22.62,23.7,NA,118.88,113.15,NA,186.26,171.86,NA,55.64,58.3,NA,2407.86,2384.33,NA,2773,2733.51,NA,2065.12,2058.12,NA
Uttar Pradesh,Banda,442.23,480.65,264.61,577.98,628.06,359.71,301.04,330.64,155.2,362.54,368.11,336.78,509.41,512.8,494.6,209.79,220.87,155.2,949.09,946.24,962.23,1101.8,1086.37,1169.06,790.25,803.64,724.26
Uttar Pradesh,Barabanki,230.69,238.54,137.51,290.97,302.85,153.22,163.5,167.13,119.19,329.08,338.27,220.02,446.49,462.96,255.36,198.2,199.79,178.78,957.78,992.12,550.06,1290.9,1322.94,919.31,586.42,624.75,119.19
Uttar Pradesh,Bareilly,220.99,217.22,227.57,291.88,297.51,282.02,144.52,130.58,168.88,287.62,277.81,304.78,395.94,384.93,415.2,170.78,162.2,185.76,1563.07,1583.14,1527.96,2076.6,2090.38,2052.49,1009.09,1035.71,962.59
Uttar Pradesh,Basti,39.81,40.68,NA,51.45,55.62,NA,29.02,27.01,NA,164.04,149.24,NA,239.64,211.36,NA,93.98,92.4,NA,1932.81,1978.38,NA,2159.76,2208.93,NA,1722.52,1767.4,NA
Uttar Pradesh,Bijnor,161.1,158.6,169.49,273.51,273.27,274.29,46.83,42.69,60.9,217.92,250.19,109.67,311.44,364.02,137.15,122.87,135.13,81.2,1237.33,1380.27,757.73,1654.76,1882.11,901.25,813.01,873.05,609.01
Uttar Pradesh,Budaun,290.76,293.58,278.01,409.49,418.44,367.34,167.7,162.21,191.52,499.86,496.67,514.32,705.96,687.87,791.18,286.28,295.51,246.24,2320.29,2298.53,2418.68,3044.87,3037.42,3079.97,1569.39,1521.19,1778.39
Uttar Pradesh,Bulandshahar,223.96,229.51,213.21,306.79,305.81,308.72,131.84,144.07,108.4,407.33,507.47,213.21,515.03,620.44,308.72,287.55,380.97,108.4,3062,3245.11,2707.07,4034.62,4329.41,3457.64,1980.28,2030.76,1883.47
Uttar Pradesh,Chandauli,121.53,127.94,66.81,145,146.85,129.74,98.22,109.31,0,372.86,400.9,133.62,505.41,551.08,129.74,241.18,252.85,137.74,2559.43,2629.18,1964.19,2948.71,2953.9,2906.07,2172.69,2309.09,964.19
Uttar Pradesh,Chitrakoot,189.54,186.42,217.36,267.56,264.88,290.61,105.55,102.54,133.33,185.36,183.51,201.83,231.04,230.87,232.49,136.18,132.87,166.67,705.57,709.84,667.6,856.32,868.03,755.59,543.25,540.71,566.67
Uttar Pradesh,Deoria,108.22,120.53,19.96,136.84,150.68,41.77,83.79,95.05,0,148.44,146.87,159.68,169.33,175.74,125.31,130.61,122.47,191.13,1680.58,1580.9,2395.21,2323.46,2157.06,3467,1131.89,1093.93,1414.37
Uttar Pradesh,Etah,224.04,215.2,274.27,276.26,270.31,309.92,165.33,153.3,233.92,412.04,407.32,438.84,535.7,539.09,516.53,273.01,259.35,350.88,3041.65,3042.77,3035.29,3984.61,4055.92,3581.27,1981.45,1905.04,2417.15
Uttar Pradesh,Etawah,167.74,186.43,104.49,199.08,230.57,90.81,130.37,133.38,120.36,111.38,123.72,69.66,137.64,151.26,90.81,80.08,90.62,45.13,164.11,189.97,76.63,185.55,216.87,77.84,138.56,157.65,75.22
Uttar Pradesh,Faizabad,92.69,98.18,54.96,141.68,147.48,104.57,45.06,51.13,0,173.09,187.6,73.27,209.38,225.77,104.57,137.8,151.16,38.61,1434.33,1387.22,1758.56,1703.52,1659.22,1986.75,1172.55,1127.65,1505.79
Uttar Pradesh,Farrukhabad,131.52,129.05,138.05,164.12,166.74,157.11,94.33,85.7,116.79,158.95,140.75,207.07,213.71,195.76,261.85,96.5,77.47,145.99,908.13,1100.31,400.33,1172.55,1414.57,523.7,606.57,738.85,262.77
Uttar Pradesh,Fatehpur,216.26,230.41,102.77,268.02,287.35,116.37,160.27,169.13,87.45,352.66,370.99,205.55,450.78,478.57,232.74,246.52,255.24,174.9,712.97,681.42,966.08,823.8,750.81,1396.43,593.1,606.74,480.98
Uttar Pradesh,Firozabad,127.83,146.26,74.38,152.31,170.46,99.19,100.42,119.03,46.96,239.78,255.77,193.38,294.47,322.46,212.55,178.52,180.72,172.2,996.84,981.53,1041.28,1167.99,1150.68,1218.65,805.15,791.16,845.34
Uttar Pradesh,Gautam Buddha Nagar,260.72,299.49,177.25,354.41,402.18,256.66,147.34,179.6,73.41,645.41,731.99,459.03,884.68,1034.82,577.48,355.86,378.43,304.14,2863.69,3070.81,2417.85,3812.66,4135.5,3152.07,1715.35,1827.74,1457.79
Uttar Pradesh,Ghaziabad,277.67,340.31,235.27,369.99,450.31,315.74,169.38,211.67,140.66,420.64,482.22,378.94,583.82,636.28,548.39,229.2,302.05,179.74,1387.1,1533.92,1287.69,1835.58,2028.92,1705,860.97,955.05,797.09
Uttar Pradesh,Ghazipur,65.81,71.68,0,90.92,99.46,0,42.4,46.01,0,178.31,185.46,98.16,227.65,239.9,97.18,132.33,135.15,99.16,2425.48,2359.39,3165.64,3233.99,3168.09,3935.86,1672.16,1611.98,2379.77
Uttar Pradesh,Gonda,162.55,163.84,140.37,234.61,238.75,163.93,87.36,85.74,115.47,107.42,98.96,252.67,146.29,132.44,382.51,66.87,64.06,115.47,448.67,438.82,617.63,493.68,477.77,765.03,401.7,398.22,461.89
Uttar Pradesh,Gorakhpur,73.94,79.95,60.97,88.05,88.05,88.05,60.8,72.9,31.71,357.9,363.05,346.77,522.1,522.69,520.95,204.98,224.3,158.57,2199.38,2305.58,1970.12,2671.22,2781.55,2457.99,1759.98,1891.91,1442.96
Uttar Pradesh,Hamirpur,167.05,167.7,164.52,221.18,217.13,237.3,104.87,110.83,81.34,200.06,215.41,139.21,219.17,238.47,142.38,178.11,188.88,135.57,441.1,437.45,455.58,505.72,507.58,498.34,366.87,356.78,406.72
Uttar Pradesh,Hardoi,179.43,187.07,128.53,200.11,214.97,102.63,156.17,155.82,158.54,242.29,207.02,477.41,313.19,261.86,650.02,162.52,145.59,277.45,1869.98,1822.71,2185.09,2290.53,2222.51,2736.91,1396.9,1374.97,1545.78
Uttar Pradesh,Hathras,302.18,348.52,156.36,396.65,461,197.81,193.04,219.81,107.02,669.11,735.79,459.3,852.59,936.47,593.42,457.14,506.14,299.66,3523.63,3649.64,3127.14,4218.99,4437.92,3542.53,2720.29,2747.55,2632.71
Uttar Pradesh,Jalaun,162.69,165.78,153.15,201.61,204.63,192.44,117.25,120.9,105.69,322.02,361.11,201.01,395.33,433.38,279.92,236.42,277.63,105.69,531.84,576.86,392.46,549.55,575.01,472.36,511.16,579.01,295.92
Uttar Pradesh,Jaunpur,61.58,64.3,NA,56.84,62.99,NA,66,65.51,NA,145.68,135.45,NA,170.17,136.12,NA,122.87,134.83,NA,2052.9,1936.26,NA,2848.23,2639.45,NA,1312.32,1287.97,NA
Uttar Pradesh,Jhansi,335.88,416.12,257.57,404.52,516.83,295.4,256.53,300.26,213.63,259.1,355.78,164.72,300.23,442.87,161.63,211.54,255.59,168.32,285.78,317.74,254.57,378.71,424.3,334.41,178.34,195.15,161.84
Uttar Pradesh,Jyotiba Phule Nagar,182.85,205.32,108.34,291.01,338.89,131.37,66.84,61.68,83.85,310.52,355.15,162.51,427.49,484.79,236.47,185.05,215.74,83.85,2120.97,2327.66,1435.54,2708.95,3009.25,1707.83,1490.29,1594.72,1145.89
Uttar Pradesh,Kannauj,249.88,257.71,219.93,347.98,365.43,281.03,144.37,141.7,154.57,406.49,428.15,323.66,561.54,590.7,449.65,239.76,253.09,188.92,1250.54,1266.13,1190.92,1623.72,1653.47,1509.56,849.24,849,850.15
Uttar Pradesh,Kanpur Dehat,451.4,455.65,NA,601.28,603.29,NA,276.02,282.85,NA,376.87,365.41,NA,546.16,537.62,NA,178.78,163.85,NA,2407.25,2570.91,NA,3284.04,3541.8,NA,1381.29,1434.57,NA
