State_Name,State_District_Name,RR_Less_Than_24_Hrs_Stay_In_Institution_After_Delivery_Total,RR_Less_Than_24_Hrs_Stay_In_Institution_After_Delivery_Rural,RR_Less_Than_24_Hrs_Stay_In_Institution_After_Delivery_Urban,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_48_Hrs_Of_Delivery_Total,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_48_Hrs_Of_Delivery_Rural,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_48_Hrs_Of_Delivery_Urban,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_1_Week_Of_Delivery_Total,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_1_Week_Of_Delivery_Rural,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_1_Week_Of_Delivery_Urban,RR_Mothers_Who_Did_Not_Receive_Any_Post_Natal_Check_Up_Total,RR_Mothers_Who_Did_Not_Receive_Any_Post_Natal_Check_Up_Rural,RR_Mothers_Who_Did_Not_Receive_Any_Post_Natal_Check_Up_Urban,RR_New_Borns_Who_Were_Checked_Up_Within_24_Hrs_Of_Birth_Total,RR_New_Borns_Who_Were_Checked_Up_Within_24_Hrs_Of_Birth_Rural,RR_New_Borns_Who_Were_Checked_Up_Within_24_Hrs_Of_Birth_Urban
Uttar Pradesh,Kanpur Dehat,32.63,34.25,NA,73.71,74.82,NA,76.43,77.21,NA,19.91,19.63,NA,77.44,77.67,NA
Uttar Pradesh,Kanpur Nagar,30.86,51.14,21.98,69.25,74.36,67.19,74.41,76.49,73.57,23.86,21.04,24.99,76.24,76.48,76.15
Uttar Pradesh,Kaushambi,63.14,62.96,65.6,91.37,91.56,88.79,93.2,93.52,88.79,6.31,5.96,11.21,88.56,88.66,87.14
Uttar Pradesh,Kheri,53.54,53.34,56.48,57.14,56.45,70.7,68.28,67.63,80.89,29.25,29.87,17.2,62.05,61.1,77.07
Uttar Pradesh,Kushinagar,78.36,78.67,NA,90.94,90.88,NA,91.88,91.83,NA,7.74,7.81,NA,85.86,85.81,NA
Uttar Pradesh,Lalitpur,48.32,48.86,43.54,64.54,62.3,86.52,79.56,78.34,91.57,15.61,16.51,6.74,67.62,65.9,84.27
Uttar Pradesh,Lucknow,23.83,31.18,17.43,66.82,60.66,73.02,77.31,74.43,80.22,20.09,22.3,17.86,69.31,65.69,73.02
Uttar Pradesh,Maharajganj,65.5,66.32,NA,78.14,77.47,NA,80.06,79.45,NA,19.08,19.63,NA,74.19,73.39,NA
Uttar Pradesh,Mahoba,57.52,59.52,52.95,74.22,73.94,74.82,80.32,78.68,83.8,16.25,18.45,11.6,80.66,80.89,79.9
Uttar Pradesh,Mainpuri,52.33,53.76,46.54,70.49,69.84,73.64,72.18,71.36,76.14,27.6,28.46,23.41,68.84,68.13,72.29
Uttar Pradesh,Mathura,48.87,54.52,40.22,85.79,83.67,90.27,86.92,84.66,91.7,12.9,15.27,7.87,84.29,82.19,88.74
Uttar Pradesh,Mau,68.45,70.33,61.99,83.21,82.24,86.69,86.04,85.1,89.38,13.26,14.18,9.98,82.7,81.74,86.15
Uttar Pradesh,Meerut,37.77,40.98,33.02,84.99,84.57,85.61,86.68,86.32,87.2,13.24,13.64,12.65,82.09,81.8,82.51
Uttar Pradesh,Mirzapur,65.77,66.22,62.37,78.64,78.25,82.31,80.55,80.06,85.03,18.93,19.43,14.29,75.71,74.92,82.99
Uttar Pradesh,Moradabad,41.27,43.74,36.38,86.25,85.37,88.42,89.5,88.46,92.08,9.78,10.96,6.86,84.37,82.67,88.56
Uttar Pradesh,Muzaffarnagar,37.62,37.18,38.83,84.08,84.13,83.93,85.86,85.84,85.94,13.94,13.94,13.91,84.66,84.36,85.56
Uttar Pradesh,Pilibhit,34.38,37.99,20.1,71.47,69.34,84.59,73.84,71.99,85.27,25.76,27.61,14.38,68.74,66.38,83.16
Uttar Pradesh,Pratapgarh,63.08,63.76,51.94,88.13,88.01,90.7,89.87,89.78,91.86,9.56,9.62,8.14,87.05,86.94,89.41
Uttar Pradesh,Rae Bareli,58.57,60.05,38.93,72.54,72.29,76.51,74.19,73.97,77.71,23.18,23.47,18.67,75.46,75.26,78.79
Uttar Pradesh,Rampur,49.87,50.93,46.78,75.74,75.29,77.36,77.54,77.12,79.03,22.28,22.73,20.67,75.21,74.1,79.16
Uttar Pradesh,Saharanpur,40.41,42.92,31.94,87.3,87.3,87.31,89.27,89.58,88.08,10.54,10.18,11.92,85.65,86.18,83.59
Uttar Pradesh,Sant Kabir Nagar,83.64,84.24,NA,90.46,90.38,NA,91.36,91.29,NA,8.44,8.5,NA,88.97,88.79,NA
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),75.41,75.91,69.84,83.6,84.25,77.82,85.01,85.66,79.38,14.38,13.85,19.07,83.67,84.33,77.87
Uttar Pradesh,Shahjahanpur,45.64,49.37,27.34,73.31,73.08,74.84,74.83,74.54,76.81,24.75,25.05,22.76,71.33,71.23,71.96
Uttar Pradesh,Shrawasti,66.12,66.1,NA,95.44,95.56,NA,95.9,96.02,NA,3.89,3.76,NA,93.11,93.24,NA
Uttar Pradesh,Siddharthnagar,71.7,71.68,NA,79.63,79.75,NA,81.85,82,NA,17.04,16.89,NA,79.36,79.21,NA
Uttar Pradesh,Sitapur,48.54,49.83,31.13,68.4,67.61,76.67,72.18,71.43,80,25.89,26.61,18.33,67.68,68.07,63.98
Uttar Pradesh,Sonbhadra,61.7,64.91,43.96,56.98,55.18,77.62,59.77,58.15,78.32,38.97,40.48,21.68,53.26,51.48,73.76
Uttar Pradesh,Sultanpur,64.6,65.87,NA,79.23,79.26,NA,83.68,83.09,NA,14.18,14.66,NA,72.75,72.12,NA
Uttar Pradesh,Unnao,49.87,50.99,43.65,63.55,61.95,73.08,66.3,65,74.04,31.12,32.27,24.28,64.05,62.11,75.79
Uttar Pradesh,Varanasi,54.66,63.47,42.94,91.6,91.29,92.02,91.97,91.59,92.47,7.7,8.17,7.08,91.96,91.72,92.29
Uttarakhand,Almora,37.21,38.31,26.03,53.91,52.28,83.33,55.94,54.32,85.23,42.31,44.02,11.36,54.16,52.59,82.44
Uttarakhand,Bageshwar,41.81,41.25,51.35,49.8,48.9,73.83,51.52,50.61,75.7,46.24,47.06,24.3,50.53,49.57,75.7
Uttarakhand,Chamoli,30.92,31.22,29.75,48.09,43.55,79.78,50.92,46.57,81.32,39.7,43.16,15.49,47.58,43.13,78.65
Uttarakhand,Champawat,63.89,63.6,65.6,68.61,66.88,79.53,70.44,68.91,80.12,26.93,28.41,17.54,71.02,68.95,84.12
Uttarakhand,Dehradun,31.26,36.16,27.52,79.75,73.81,85.13,82.46,78,86.5,16.32,20.22,12.8,77.9,72.59,82.71
Uttarakhand,Haridwar,29.47,30.18,28.55,66.32,58.13,84.55,70.76,63.16,87.66,27.7,35.23,10.94,62.34,53.67,81.41
Uttarakhand,Nainital,21.76,22.94,20.02,70.6,68.76,73.66,73.54,70.38,78.81,24.93,27.72,20.26,69.42,67.18,73.19
Uttarakhand,Pauri Garhwal,39.03,40.28,32.97,64.66,61.23,87.52,67.81,64.7,88.57,29.08,31.79,11.04,62.82,59.8,83.02
Uttarakhand,Pithoragarh,41.12,43.77,31.08,64.53,59.89,91.67,65.68,61.03,92.81,32.65,37.06,6.86,65.15,60.46,92.31
Uttarakhand,Rudraprayag,21.76,21.78,NA,52.1,51.93,NA,53.8,53.64,NA,38.84,38.97,NA,51.62,51.46,NA
Uttarakhand,Tehri Garhwal,41.09,43.75,30.54,48.73,44.16,83.97,54.82,50.78,85.95,41.89,45.7,12.54,47.34,42.65,83.37
Uttarakhand,Udham Singh Nagar,33.5,36.1,28.05,70.72,66.06,82.33,72.62,68.26,83.45,25.15,28.98,15.61,70.29,65.85,81.37
Uttarakhand,Uttarkashi,30.69,30.68,30.73,57.57,54.78,81.85,62.66,60.24,83.78,34.73,36.9,15.83,54.18,51.07,81.25
