State_Name,State_District_Name,ZZ_Crude_Birth_Rate_Total_Lower_Limit,ZZ_Crude_Birth_Rate_Total_Upper_Limit,ZZ_Crude_Birth_Rate_Rural_Lower_Limit,ZZ_Crude_Birth_Rate_Rural_Upper_Limit,ZZ_Crude_Birth_Rate_Urban_Lower_Limit,ZZ_Crude_Birth_Rate_Urban_Upper_Limit,ZZ_Crude_Death_Rate_Total_Lower_Limit,ZZ_Crude_Death_Rate_Total_Upper_Limit,ZZ_Crude_Death_Rate_Rural_Lower_Limit,ZZ_Crude_Death_Rate_Rural_Upper_Limit,ZZ_Crude_Death_Rate_Urban_Lower_Limit,ZZ_Crude_Death_Rate_Urban_Upper_Limit,ZZ_Infant_Mortality_Rate_Total_Lower_Limit,ZZ_Infant_Mortality_Rate_Total_Upper_Limit,ZZ_Infant_Mortality_Rate_Rural_Lower_Limit,ZZ_Infant_Mortality_Rate_Rural_Upper_Limit,ZZ_Infant_Mortality_Rate_Urban_Lower_Limit,ZZ_Infant_Mortality_Rate_Urban_Upper_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Total_Lower_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Total_Upper_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Rural_Lower_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Rural_Upper_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Urban_Lower_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Urban_Upper_Limit,ZZ_Sex_Ratio_At_Birth_Total_Lower_Limit,ZZ_Sex_Ratio_At_Birth_Total_Upper_Limit,ZZ_Sex_Ratio_At_Birth_Rural_Lower_Limit,ZZ_Sex_Ratio_At_Birth_Rural_Upper_Limit,ZZ_Sex_Ratio_At_Birth_Urban_Lower_Limit,ZZ_Sex_Ratio_At_Birth_Urban_Upper_Limit
Assam,Barpeta,19,21.9,19.6,22.7,12.2,16.9,5.9,7.4,5.9,7.5,4.1,8.2,34,51,36,54,NA,NA,51,66,54,70,NA,NA,871,985,851,965,908,1611
Assam,Bongaigaon,18.2,20.3,19.4,21.6,9.2,13.5,5.6,6.6,5.7,6.9,3.9,6.2,40,55,42,59,NA,NA,54,68,58,73,NA,NA,897,1005,911,1026,621,956
Assam,Cachar,24.3,26.3,25.1,27.2,19.2,24,6.8,7.7,6.9,8,5.7,7.4,47,58,50,62,25,49,64,74,68,80,31,57,891,966,871,949,905,1168
Assam,Darrang,18.4,22.5,18.7,22.9,8.7,13,6.9,9.2,6.9,9.3,5.6,8.2,51,89,52,91,NA,NA,78,105,79,107,NA,NA,913,1102,908,1097,NA,NA
Assam,Dhemaji,21.8,23.4,22,23.8,18.3,21.4,4.1,4.9,4.1,4.9,3.6,4.9,30,43,31,45,9,33,39,51,40,53,11,38,935,1045,938,1054,772,1083
Assam,Dhubri,20.5,23.1,21.5,24.3,13.7,15.4,6.2,7.8,6.4,8.1,3.3,7.5,58,80,59,82,NA,NA,77,97,79,100,NA,NA,868,998,864,998,716,1260
Assam,Dibrugarh,18.5,19.9,19.6,21.1,14.2,17.4,7,7.8,7.5,8.4,5.1,6.6,45,57,46,59,28,61,59,72,62,77,37,64,875,972,871,977,813,1046
Assam,Goalpara,20.2,23.1,20.4,23.5,15.7,20.7,6.3,7,6.3,7.1,4.1,7.7,44,62,46,64,NA,NA,63,78,66,81,NA,NA,871,976,862,969,834,1319
Assam,Golaghat,20.6,22.4,20.6,22.5,17.9,24.5,7.3,8.7,7.6,8.9,3.7,8.3,46,66,48,70,NA,NA,63,78,67,83,NA,NA,893,1004,902,1020,713,1032
Assam,Hailakandi,26.6,34.7,27.7,37.4,14.2,24.3,5.7,7.9,5.9,7.9,NA,NA,35,69,36,73,NA,NA,72,103,75,109,NA,NA,735,918,743,938,466,1018
Assam,Jorhat,18.7,19.9,19.3,20.6,16.1,18.8,7.6,8.3,7.8,8.7,6.6,7.7,45,56,46,58,34,55,57,67,61,72,39,58,943,1020,950,1037,860,1030
Assam,Kamrup,17,18.5,19.7,22,14.1,15.8,5.1,6,6.7,8.1,3.3,4.5,34,45,49,65,11,21,44,53,68,81,14,24,960,1043,941,1041,944,1091
Assam,Karbi Anglong,19.7,21.8,20.5,22.9,15.6,19.8,6.6,7.7,6.7,8,5.5,7.2,48,72,50,78,31,60,69,86,75,94,36,68,872,987,849,973,873,1165
Assam,Karimganj,22.8,28.5,23.2,29.2,9.6,24.9,5.8,8.1,5.9,8.3,NA,NA,55,74,57,75,NA,NA,66,88,68,90,NA,NA,852,1003,848,1001,NA,NA
Assam,Kokrajhar,20.4,24.6,20.7,25.2,11.1,24.7,6.4,8.7,6.5,9.1,4.5,6.2,50,99,52,104,NA,NA,84,117,89,125,NA,NA,798,996,791,997,623,1403
Assam,Lakhimpur,21.3,25.4,21.5,26,13.5,26.1,5.8,7.7,6,8.1,2,6.6,38,59,39,61,NA,NA,48,69,49,72,NA,NA,900,1075,891,1077,793,1333
Assam,Marigaon,22.1,23.8,22.4,24.1,13.1,19.8,7.4,8.6,7.5,8.7,4.1,7.9,56,70,57,72,11,30,73,84,75,86,4,42,877,952,877,954,698,1154
Assam,Nagaon,22.4,25.1,23.6,26.6,14.1,21.6,7.3,8.6,7.5,9,5.9,7.8,55,69,57,72,29,61,72,85,77,92,30,65,912,1007,904,1003,847,1172
Assam,Nalbari,17.1,20,17.2,20.2,9.3,15,6.6,8,6.7,8.1,2.5,5.2,37,78,38,80,NA,NA,66,97,67,99,NA,NA,889,1110,888,1115,NA,NA
Assam,North Cachar Hills,17.1,19.6,16.9,21.8,16.3,18.4,5.1,6.1,6.1,8,4,4.8,44,63,46,77,35,57,55,75,65,97,38,62,827,972,782,994,818,1017
Assam,Sibsagar,18.1,19.9,18.3,20.1,12.2,21.3,7.5,8.6,7.6,8.8,5.3,7.8,46,68,47,70,NA,NA,64,81,65,83,NA,NA,869,997,871,1003,658,1168
Assam,Sonitpur,17.9,19.9,18,20.2,14.1,20,5.9,6.9,6,7.1,4.3,6.7,51,71,53,75,24,46,67,79,71,83,24,54,916,1000,910,998,859,1164
Assam,Tinsukia,19.8,21.3,21,22.5,13.6,17.3,7,8,7.1,8.3,5.8,7.4,46,55,46,57,31,52,60,71,63,75,37,63,914,996,921,1009,799,1013
Bihar,Araria,28.5,32.7,28.7,33.2,21.2,32.4,6.9,8,7,8.1,3.5,9.5,46,59,47,60,NA,NA,70,82,72,84,NA,NA,868,953,868,955,706,1139
Bihar,Aurangabad,23.8,25.6,24,25.9,19.8,25.6,5.2,6.1,5.1,6.2,4.4,6.5,34,46,34,46,NA,NA,44,57,44,57,NA,NA,929,1045,921,1041,837,1306
Bihar,Banka,24.3,26,24.3,26,20.8,28.6,5.3,5.9,5.3,5.9,3.6,7.4,37,50,37,50,NA,NA,52,63,51,63,NA,NA,940,1040,944,1046,659,1159
Bihar,Begusarai,24.7,26.9,25.1,27.3,16.1,26.2,5.5,6.4,5.6,6.5,4,5.8,35,45,35,45,NA,NA,56,67,57,68,NA,NA,924,1016,935,1031,601,1055
Bihar,Bhagalpur,23.8,27.3,24.6,27.5,16.6,30.1,4.3,5.2,4.2,5.2,3.6,6.1,43,56,43,58,31,56,57,70,60,74,32,68,910,1010,911,1017,799,1105
Bihar,Bhojpur,22.6,24.5,23.3,25.2,16.9,21.7,5.1,5.8,5.1,5.9,4.1,6,36,47,36,47,19,66,49,60,51,62,27,64,893,981,891,983,783,1111
Bihar,Buxar,23,25.3,23.4,25.4,15.3,28,5.9,6.6,5.9,6.6,4.8,6.8,43,53,44,53,22,67,64,76,66,78,26,74,951,1045,945,1040,855,1330
Bihar,Darbhanga,25,27.3,25.3,27.8,18.6,22.5,8,9,7.9,9,6.8,10.7,38,50,37,49,28,98,70,83,71,84,36,115,835,923,830,918,725,1315
Bihar,Gaya,22.9,25,24.2,26.4,17.9,21.1,6.2,7.4,6.2,7.7,4.9,7.5,42,57,42,59,28,61,54,70,56,73,33,74,905,1033,886,1021,868,1244
Bihar,Gopalganj,23.9,26.1,23.9,26.2,20.5,27.3,5.6,6.7,5.7,6.8,3.8,6.3,39,53,39,54,22,51,53,64,55,66,18,62,859,945,864,952,655,1034
Bihar,Jamui,24.7,26.7,24.9,27,19.6,24.9,5.5,6.5,5.5,6.5,3.4,8,41,60,40,61,NA,NA,61,77,62,78,NA,NA,916,1041,921,1050,649,1177
Bihar,Jehanabad,23.1,24.7,23.3,25,19.7,24.9,5,5.6,5,5.6,4.2,6.6,42,52,43,54,18,54,55,66,57,68,25,63,912,994,909,993,806,1165
Bihar,Kaimur (Bhabua),23.5,25,23.8,25.3,12.1,23.7,4.9,5.7,4.9,5.7,2.7,7.4,41,54,41,54,NA,NA,57,72,58,72,NA,NA,836,941,840,947,482,1046
Bihar,Katihar,26.6,29.6,27.1,30.3,16.6,24.2,5.7,6.9,5.7,6.9,4.4,9,45,59,45,60,22,69,73,85,74,87,27,89,892,978,887,974,787,1343
Bihar,Khagaria,29,31.6,29.5,32.1,17.2,28.2,8.6,9.6,8.7,9.8,5,8.2,54,64,55,65,NA,NA,89,100,92,103,NA,NA,894,961,898,967,658,1042
Bihar,Kishanganj,27.8,33.1,28.6,34.4,18.5,27.4,5.7,6.9,5.9,7.1,3.6,6.1,47,66,48,68,NA,NA,77,91,81,96,NA,NA,916,1021,925,1034,687,1078
Bihar,Lakhisarai,22.4,24,23,24.6,17.5,21.8,5.7,6.2,5.6,6.2,5.4,6.8,40,50,41,51,NA,NA,57,67,58,70,NA,NA,900,982,890,974,850,1206
Bihar,Madhepura,27.9,30.9,28.2,31.3,13.7,26.8,6.5,7.6,6.4,7.5,5.4,11,57,71,58,72,NA,NA,86,98,87,100,NA,NA,900,980,898,978,730,1408
Bihar,Madhubani,23.1,25.3,23.1,25.4,18,25,6.7,7.4,6.7,7.4,6.2,10.6,43,54,43,54,NA,NA,61,71,60,71,NA,NA,868,944,865,941,NA,NA
Bihar,Munger,23.3,25.3,23.9,26.3,20.6,24.2,5.9,6.6,5.9,6.7,5.4,7,38,48,39,49,27,53,52,63,55,68,34,59,897,985,897,995,826,1041
Bihar,Muzaffarpur,23.9,26,24.6,26.8,14.4,19.1,8,8.9,8.3,9.2,3.9,6.2,49,62,51,65,NA,NA,78,90,82,95,NA,NA,857,936,864,945,592,1007
Bihar,Nalanda,24.6,26.3,25.1,27,21.2,24,6.9,8.1,7,8.2,5.4,8.4,41,52,41,53,23,65,66,80,68,82,42,84,894,987,908,1007,708,997
Bihar,Nawada,23.3,24.9,23.7,25.2,17.6,23.7,5.3,6.1,5.4,6.2,3.3,6.2,39,54,39,54,NA,NA,47,60,47,60,NA,NA,876,978,871,976,751,1227
Bihar,Pashchim Champaran,25.6,30.4,26.1,31.2,16,25,8,9.2,7.8,9,7.8,14,38,58,36,56,NA,NA,64,80,63,79,NA,NA,921,1042,912,1035,810,1542
Bihar,Patna,20.1,22.2,24,25.9,15.5,18.2,4.3,5.1,4.5,5.2,3.8,5.3,27,35,31,40,18,32,41,50,52,64,23,36,885,960,871,958,864,1014
Bihar,Purba Champaran,27.5,30.9,27.9,31.7,20.4,26.4,7.1,8.1,7.1,8.1,6.1,9,41,55,39,53,NA,NA,59,70,56,67,NA,NA,856,937,858,941,687,1069
Bihar,Purnia,25.5,29.1,26.5,30.6,16.2,26.3,6.3,7.7,6.5,7.8,4,8,45,61,44,61,NA,NA,82,100,84,103,NA,NA,832,945,830,946,697,1139
Bihar,Rohtas,24.2,26.4,24.6,26.8,18.8,25.7,6,6.8,6,6.9,5,7.2,40,49,40,49,26,67,52,65,53,67,29,68,870,968,872,976,733,1054
Bihar,Saharsa,28,34.4,29.8,35.3,13,32.2,6.7,8.2,7.3,8.5,2.9,6.5,48,62,47,63,NA,NA,75,88,76,89,NA,NA,875,966,877,971,732,1081
Bihar,Samastipur,27.1,29.5,27.5,30.1,16,20.6,6.2,7,6.3,7.1,2.6,5.8,44,55,45,56,NA,NA,65,77,67,79,NA,NA,840,924,839,923,635,1319
Bihar,Saran,22.5,25.3,22.5,25.6,20.3,26.2,6.8,7.8,6.9,7.9,5.3,7.7,42,56,41,55,35,73,57,70,56,70,42,90,874,970,885,986,682,1015
Bihar,Sheikhpura,27,29.1,28.2,30.1,18,25.3,7.2,8.1,7.2,8.2,6.6,7.9,46,57,46,56,24,79,65,79,67,81,38,86,849,943,850,947,720,1068
Bihar,Sheohar,29.3,32.1,29.2,32.1,28.8,36.2,7,7.9,7,8,6.3,6.7,38,48,39,49,NA,NA,72,85,74,87,NA,NA,883,975,873,966,846,1456
Bihar,Sitamarhi,26.1,29.1,26.4,29.6,18.8,29,8.5,9.9,8.8,10.1,3.9,8.6,51,70,53,72,NA,NA,90,105,94,110,NA,NA,824,915,822,915,698,1111
Bihar,Siwan,24.6,26.4,25.2,27.1,18.7,23,6.9,7.7,7,7.9,5.1,7.5,39,47,40,49,NA,NA,62,71,65,75,NA,NA,914,985,916,990,786,1066
Bihar,Supaul,26.5,28.9,26.6,29.2,20.9,29.7,5.9,6.6,6.1,6.7,3.3,5.9,51,65,53,67,NA,NA,76,88,78,91,NA,NA,908,995,909,997,714,1221
Bihar,Vaishali,25.2,27.7,25.7,28.3,14.2,21.9,7,7.9,7,8,4.8,7.9,35,46,34,44,52,98,55,66,53,64,50,141,845,926,844,926,670,1216
Chhattisgarh,Bastar,19.44,22.48,19.43,22.72,16.85,22.63,6.52,8.24,6.44,8.31,6.19,8.73,31.08,48.05,31.8,49.92,NA,NA,45,58,47,61,NA,NA,876,988,886,1005,652,958
Chhattisgarh,Bilaspur,24.56,26.61,25.92,28.35,20.79,24.14,6.46,7.46,6.63,7.95,5.67,6.91,33.45,43.33,30.89,43.05,33.23,50.46,45,55,46,58,38,55,884,965,886,986,830,972
Chhattisgarh,Dantewada,21.38,26.46,21.17,26.83,19.41,27.28,7.61,9.42,7.46,9.39,6.59,11.78,34.92,53.06,36.71,57.29,8.51,33.42,54,68,58,73,14,39,867,972,881,996,671,920
Chhattisgarh,Dhamtari,20.55,22.03,20.84,22.48,16.6,20.27,7.03,7.92,6.98,7.92,6.21,9.02,40.62,53.78,41.75,56.15,18.56,43.67,50,62,52,64,21,49,948,1044,941,1042,887,1203
Chhattisgarh,Durg,19.52,21.14,20.21,22.5,17.44,19.52,5.8,6.55,6.3,7.34,4.48,5.5,29.58,40.28,35.13,50.51,13.7,23.11,38,47,46,59,17,28,951,1043,947,1063,907,1059
Chhattisgarh,Janjgir-Champa,19.78,21.7,20.04,22.02,15.15,21.33,6.91,7.72,7.12,7.9,3.92,7.24,39.52,52.75,41.03,54.87,NA,NA,52,64,54,67,NA,NA,848,940,837,932,837,1195
Chhattisgarh,Jashpur,21.18,24.02,21.35,24.32,13.78,19.45,8.34,9.86,8.49,10.08,3.67,5.46,45.32,67.02,46.18,68.53,NA,NA,75,93,77,96,NA,NA,919,1046,921,1051,607,1239
Chhattisgarh,Kanker,19.56,21.98,19.63,22.15,14.27,21.37,5.1,6.26,5.14,6.35,3.44,4.73,36.12,55.33,36.22,55.98,NA,NA,54,71,54,71,NA,NA,842,970,843,976,604,1072
Chhattisgarh,Kawardha,27.42,31.44,28.43,32.94,16.66,25.97,7.62,9.34,7.79,9.67,4.73,9.04,44.94,69.57,44.95,71.09,NA,NA,62,83,62,85,NA,NA,915,1080,909,1087,796,1240
Chhattisgarh,Korba,21.77,23.31,24.06,26.21,17.56,19.64,5.96,6.67,6.96,7.99,4.14,4.97,41.51,54.77,46.49,65.15,25.92,38.92,52,62,60,73,31,46,962,1054,955,1069,925,1080
Chhattisgarh,Koriya,19.51,21.7,21.45,24.17,13.71,16.67,5.85,6.98,5.89,7.37,5.11,6.66,44.01,59.63,48.03,66.21,17.93,46.68,58,77,64,86,26,56,820,950,813,962,751,1021
Chhattisgarh,Mahasamund,21.78,24.04,21.98,24.37,17.17,23.98,7.89,9.01,7.93,9.15,6.21,9.09,47.09,67.4,47.6,69.67,25.78,61.4,60,76,62,79,28,70,882,1004,871,999,843,1263
Chhattisgarh,Raigarh,20.45,22.5,20.54,22.88,18.4,21.66,7.27,8.22,7.56,8.53,4.54,7.27,46.25,63.76,45.46,63.45,28.69,88.64,60,74,61,76,43,77,939,1052,947,1072,787,1048
Chhattisgarh,Raipur,24.17,26.15,25.26,27.79,20.47,23.33,6.42,7.2,6.63,7.64,5.5,6.55,39.7,50.25,39.91,52.54,31.92,50.82,51,60,53,64,39,56,935,1016,929,1024,898,1053
Chhattisgarh,Rajnandgaon,22.97,25.03,24.2,26.37,15,20.19,6.96,8.17,7.11,8.39,4.97,8.36,40.89,56.67,42.04,59.61,20.22,48.04,50,64,52,68,23,54,957,1086,964,1105,792,1100
Chhattisgarh,Surguja,24.84,27.53,25.66,28.52,12.92,17.85,8.04,9.17,8.34,9.55,3.47,5.81,43.14,57.77,44.2,59.35,NA,NA,82,97,85,101,NA,NA,857,952,857,955,681,1111
Jharkhand,Bokaro,22.1,23.7,25.5,27.6,18.5,20.6,5.1,5.8,5.9,6.8,4.2,5.1,24,32,30,41,13,25,33,42,44,56,18,31,846,926,864,965,786,921
Jharkhand,Chatra,22.4,24.7,22.4,24.8,20.3,26.5,4.2,4.8,4.3,4.8,2.8,5.1,35,50,35,51,NA,NA,46,59,47,61,NA,NA,897,1007,891,1005,806,1203
Jharkhand,Deoghar,20.3,23.1,21.1,23.7,13.1,24,3.8,4.9,3.8,5.1,2.7,4.8,23,39,22,40,16,45,34,47,34,49,19,51,887,1021,883,1027,783,1144
Jharkhand,Dhanbad,22.6,24.7,26.2,29.9,19.6,21.9,4.9,5.5,5.8,6.9,4.1,4.8,22,30,28,42,14,23,33,41,46,58,20,31,859,935,858,959,829,948
Jharkhand,Dumka,24.1,26.7,24.6,27.3,13.9,23.5,6.2,7.2,6.2,7.3,4.2,7.8,37,53,37,54,NA,NA,48,62,48,63,NA,NA,870,987,877,999,601,1009
Jharkhand,Garhwa,22.1,24.5,22.3,24.9,16.6,22.4,4.2,4.9,4.2,4.9,3.1,5.3,28,38,28,38,NA,NA,42,51,42,52,NA,NA,935,1026,934,1028,777,1221
Jharkhand,Giridih,20.8,22.4,21,22.6,14.5,22.5,3.8,4.4,3.8,4.4,2.5,6,23,34,23,35,NA,NA,33,41,33,43,NA,NA,949,1041,938,1031,971,1504
Jharkhand,Godda,22.1,24.3,22.3,24.6,13.8,24.5,6.3,7.1,6.4,7.2,4,5.4,46,63,46,64,NA,NA,69,84,70,86,NA,NA,898,1009,896,1009,737,1302
Jharkhand,Gumla,24.5,25.8,24.9,26.3,16.1,21.8,8.6,9.3,8.7,9.4,5.6,7.6,41,49,42,51,11,38,65,74,67,76,20,51,912,978,908,976,847,1189
Jharkhand,Hazaribagh,19,20.7,19.9,21.6,14.2,19.4,4.2,4.6,4.2,4.7,3.7,4.8,25,34,26,35,15,37,31,40,32,41,19,41,855,939,863,954,745,965
Jharkhand,Kodarma,21.6,23.7,22,24.2,17.7,23.6,4.1,4.8,4.1,4.9,3.6,5.4,22,32,22,32,NA,NA,28,38,28,39,NA,NA,924,1037,934,1055,772,1081
Jharkhand,Lohardaga,26.3,27.6,27.2,28.6,18.8,21.9,7.8,8.5,8,8.7,5.7,8,47,59,49,62,17,42,65,75,68,79,20,46,882,957,885,963,751,1017
Jharkhand,Pakaur,27.4,31,28.1,31.6,11.2,25.2,5.8,7.5,5.9,7.6,2.5,7,39,64,39,65,NA,NA,68,88,70,90,NA,NA,848,986,860,1003,391,844
Jharkhand,Palamu,20.9,22.9,21,23.1,17,22.9,4.8,5.3,4.8,5.3,4.2,6.3,34,45,35,46,11,40,47,57,49,59,13,46,924,1006,934,1019,647,969
Jharkhand,Pashchimi Singhbhum,24.4,26.4,25.4,27.7,18,21.9,7.5,8.6,8.1,9.3,3.9,6,47,58,50,63,16,40,81,93,89,103,26,51,935,1022,938,1031,827,1067
Jharkhand,Purbi Singhbhum,19.6,20.7,22.8,24.1,17,18.6,5.2,5.7,6,6.7,4.5,5.1,22,28,26,36,15,23,30,37,40,51,20,29,848,917,821,917,846,945
Jharkhand,Ranchi,21.9,23.6,23.8,25.8,18.2,20.7,5.8,6.7,5.9,6.9,5.1,6.7,26,35,29,40,14,28,39,48,44,55,25,39,869,945,882,973,801,940
Jharkhand,Sahibganj,23,24.1,23.7,24.9,16.7,18.9,6.3,6.7,6.5,6.8,4.3,5.8,48,55,50,57,20,46,72,80,76,84,28,51,909,964,912,969,797,1004
Madhya Pradesh,Balaghat,21.5,23.5,22,24.3,16.9,21.6,8.1,9.2,8.1,9.3,6.3,9.8,49,68.56,48.93,70.6,32.01,73.26,62,77,64,79,39,76,915,1025,921,1040,771,1064
Madhya Pradesh,Barwani,28.6,33.7,28.2,34,25.8,37.2,10.2,12.2,9.7,11.7,10,16.8,56.77,74.56,54.59,74.47,50.22,90.69,81,97,77,94,84,126,909,1016,883,997,925,1224
Madhya Pradesh,Betul,22.5,24.8,23.5,26.3,16.3,20.4,8,9,8.3,9.5,5.8,7.5,52.06,69.53,53.3,73.14,32.5,60.53,63,77,67,83,32,61,815,913,804,911,786,1044
Madhya Pradesh,Bhind,21.6,23.5,22.5,24.9,19.2,22.2,6.1,7.1,6.7,7.8,4.7,6.1,46.64,61.63,52.33,71.44,29.41,48.72,61,73,69,84,38,57,839,922,812,909,844,1003
Madhya Pradesh,Bhopal,17.4,19.9,21.6,26.7,16.3,18.9,5.1,6.1,6,8.7,4.7,5.8,39.41,55.72,40.82,80.52,35.21,53.29,53,68,68,107,47,62,862,975,717,954,878,1007
Madhya Pradesh,Chhatarpur,27.9,30.9,30.6,34.3,17.1,23.1,7,8.2,7.4,8.9,5.3,6.7,47.52,78.8,48.99,85.34,20.65,65.85,70,88,76,96,33,69,842,960,848,979,710,993
Madhya Pradesh,Chhindwara,21.4,24,21.9,25.2,18.8,22.5,7.6,8.8,8,9.4,5.7,7.8,53.91,84.13,57.4,92.52,22.35,81.41,67,87,71,95,42,75,846,976,866,1022,713,948
Madhya Pradesh,Damoh,27,30.6,27.8,32.4,21.3,27.4,9.7,11.3,10.5,12,6.3,9.6,57.38,83.78,62.19,92.98,26.26,56.27,95,116,104,129,45,80,874,1004,874,1024,775,1040
Madhya Pradesh,Datia,17.3,20.4,18.5,22,13,18.7,5.8,7.4,5.7,7.5,5.2,8.4,58.14,88.37,58.35,94.26,35.81,94.39,80,107,81,114,61,107,765,924,738,926,744,1042
Madhya Pradesh,Dewas,19.7,22.6,20.4,24.2,16.5,21.3,5,6.1,5.1,6.5,4.1,5.8,44.83,66.43,46.36,73.73,28.88,62.29,68,84,73,93,49,74,856,965,878,1015,749,926
Madhya Pradesh,Dhar,22.5,25.9,22.1,26.1,21.9,27.3,5.5,6.8,5.4,6.7,4.7,8.4,43.83,64.36,42.24,66.3,35.21,71.69,57,75,56,77,43,83,874,1018,923,1096,620,871
Madhya Pradesh,Dindori,27.6,30.8,27.9,31.3,18.5,22.5,9.6,10.9,9.7,11.1,5.5,8,55.95,76.42,55.79,76.52,NA,NA,84,106,84,107,NA,NA,931,1081,931,1085,702,1289
Madhya Pradesh,East Nimar,21.5,24.8,22.6,26.6,16.8,21.5,7.1,8.3,7.2,8.6,6.2,8.4,56.47,76.91,54.64,74.98,44.56,101.78,85,103,89,111,62,99,841,959,822,954,822,1081
Madhya Pradesh,Guna,26.4,29.8,28.3,32.5,18.7,25.2,7.3,9.2,7.2,9.7,7,8.7,59.11,90.83,61,100.55,38.97,68.28,82,105,89,118,42,79,788,930,797,967,664,915
Madhya Pradesh,Gwalior,16.3,19.3,18.2,23.8,14.7,18.3,5.3,6.4,5.7,7.6,4.9,6.3,37.71,58.95,39.57,76.29,30.41,56.25,55,72,62,92,47,67,750,862,675,851,759,905
Madhya Pradesh,Harda,23.5,25.4,24,26.4,20.9,22.7,6.4,7.5,6.6,7.8,5,7.1,51.67,73.56,52.25,78.24,36.42,66.29,69,84,72,90,44,73,872,977,856,975,857,1086
Madhya Pradesh,Hoshangabad,20.8,22.8,23.3,25.9,15.6,18.5,6.9,7.9,7.5,8.9,5.5,6.7,49.11,68.62,56.22,81.49,23.89,45.2,61,75,73,91,28,47,854,953,862,986,777,940
Madhya Pradesh,Indore,17.9,21.1,22.6,26.2,16.2,19.9,4.6,5.8,5.9,7.9,4.1,5.3,32.9,41.76,42.88,60.74,26.69,36.52,41,51,56,78,33,44,830,914,834,996,808,906
Madhya Pradesh,Jabalpur,20.3,22.5,24.2,28.5,16.8,19.6,5.3,6.2,5.3,6.7,5,6.1,38.31,57.29,36.46,69.65,33.26,52.5,47,60,49,69,41,57,777,867,746,886,772,889
Madhya Pradesh,Jhabua,21.8,24.7,22.3,25.4,15.9,19.8,5.1,6.3,5.2,6.4,3,6.4,51.18,76.45,53.86,80.43,NA,NA,76,95,80,101,NA,NA,871,1004,872,1012,688,1122
Madhya Pradesh,Katni,25,28.2,27,30.6,18.3,23.5,8.7,10.6,9.3,11.6,6.2,8.8,49.74,79.6,53.63,89.66,19.34,58.89,74,92,82,104,34,65,903,1036,908,1060,791,1064
Madhya Pradesh,Mandla,23.9,26.2,24.7,27.3,15.9,18.8,7.7,9,8.1,9.5,4.1,6.2,54.29,81.42,56.15,85.44,14.19,51.03,74,94,78,99,18,56,926,1062,930,1076,731,1097
Madhya Pradesh,Mandsaur,17.6,19.7,17.7,20.2,15.6,19.7,6,7.2,6.2,7.5,4.5,6.9,50.2,70.37,52.76,77.47,30.09,58.26,68,85,73,93,39,70,845,964,854,992,734,969
Madhya Pradesh,Morena,21.9,25.3,23.6,27.6,16,22.8,7,8.3,6.9,8.4,6.5,8.8,47.53,70.84,46.18,65.85,34.59,100.91,68,86,68,89,58,97,799,915,803,935,713,957
Madhya Pradesh,Narsimhapur,25.1,27.9,25.7,28.7,19.2,26.2,6.7,7.7,6.8,8,4.9,7.5,52.05,71.72,55.74,77.96,20.92,40.68,60,77,63,82,26,62,819,934,838,966,612,873
Madhya Pradesh,Neemuch,20.7,22.6,20,22.6,21,23.7,5.3,6.4,5.3,6.7,4.7,6.3,44.58,65.37,45.82,76.52,34.84,54.2,61,78,70,93,38,60,876,998,849,1002,861,1063
Madhya Pradesh,Panna,29.2,33.4,30.4,35.3,18.7,27.3,10.4,12.2,10.6,12.7,8.1,10.7,72.39,97.17,73.18,100.35,46.85,92.56,114,140,118,146,64,123,885,1040,867,1031,868,1326
Madhya Pradesh,Raisen,24.8,28.9,26.1,31.6,18.5,22.9,7.1,8.6,7.6,9.5,4.8,6.6,52.68,85.34,53.96,92.49,24.49,77.14,76,100,81,109,40,82,871,1034,881,1071,715,1024
Madhya Pradesh,Rajgarh,23.5,27.3,24.1,28.5,18.4,23,6.7,8.3,6.9,8.7,4.4,7.2,47.33,72.97,47.66,76.93,24.23,67.51,68,88,70,92,35,78,830,967,806,952,861,1251
Madhya Pradesh,Ratlam,24.4,28.3,29.1,33.9,18.3,23.1,6.8,8.2,8.4,10.3,4.6,6.4,51.34,78.14,56.63,97.27,32.5,55.73,83,102,106,134,41,65,829,948,798,949,823,1018
Madhya Pradesh,Rewa,24.4,27.8,25.2,29.2,17.7,24.3,7.2,8.7,7.4,9.2,5.1,7.9,56.46,79.6,59.27,84.22,NA,NA,88,112,94,121,NA,NA,888,1031,895,1054,728,1052
Madhya Pradesh,Sagar,26,29.4,28.3,32.9,19.8,24.5,8.2,9.6,8.9,10.6,6.2,8.4,55.98,82.76,60.11,91.22,30.24,75.45,83,102,93,118,48,79,839,961,829,974,790,1015
Madhya Pradesh,Satna,26.8,29.6,28.6,31.8,20.4,25.6,9.4,11,10.7,12.6,5.7,6.9,70.64,96.1,76.67,107.22,38.19,70.06,113,130,127,149,56,85,848,947,845,957,788,997
