State_Name,State_District_Name,ZZ_Crude_Birth_Rate_Total_Lower_Limit,ZZ_Crude_Birth_Rate_Total_Upper_Limit,ZZ_Crude_Birth_Rate_Rural_Lower_Limit,ZZ_Crude_Birth_Rate_Rural_Upper_Limit,ZZ_Crude_Birth_Rate_Urban_Lower_Limit,ZZ_Crude_Birth_Rate_Urban_Upper_Limit,ZZ_Crude_Death_Rate_Total_Lower_Limit,ZZ_Crude_Death_Rate_Total_Upper_Limit,ZZ_Crude_Death_Rate_Rural_Lower_Limit,ZZ_Crude_Death_Rate_Rural_Upper_Limit,ZZ_Crude_Death_Rate_Urban_Lower_Limit,ZZ_Crude_Death_Rate_Urban_Upper_Limit,ZZ_Infant_Mortality_Rate_Total_Lower_Limit,ZZ_Infant_Mortality_Rate_Total_Upper_Limit,ZZ_Infant_Mortality_Rate_Rural_Lower_Limit,ZZ_Infant_Mortality_Rate_Rural_Upper_Limit,ZZ_Infant_Mortality_Rate_Urban_Lower_Limit,ZZ_Infant_Mortality_Rate_Urban_Upper_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Total_Lower_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Total_Upper_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Rural_Lower_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Rural_Upper_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Urban_Lower_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Urban_Upper_Limit,ZZ_Sex_Ratio_At_Birth_Total_Lower_Limit,ZZ_Sex_Ratio_At_Birth_Total_Upper_Limit,ZZ_Sex_Ratio_At_Birth_Rural_Lower_Limit,ZZ_Sex_Ratio_At_Birth_Rural_Upper_Limit,ZZ_Sex_Ratio_At_Birth_Urban_Lower_Limit,ZZ_Sex_Ratio_At_Birth_Urban_Upper_Limit
Uttar Pradesh,Budaun,28.96,32.06,29.62,32.3,22.56,34.38,8.34,10.26,8.71,10.63,4.85,10.45,71.68,96.88,73.76,95.9,NA,NA,99,117,101,120,NA,NA,782,877,801,907,613,835
Uttar Pradesh,Bulandshahar,24.69,27.4,25.87,28.09,21.06,27.35,8.27,9.54,9.35,10.73,5.86,7.51,59.1,76.64,56.71,76.13,52.66,89.43,81,98,83,102,68,100,931,1042,895,1018,940,1184
Uttar Pradesh,Chandauli,24.63,27.58,25.16,28.26,16.12,25.62,8.84,9.99,8.89,10.06,6.49,11.27,67.87,86.2,67.18,83.94,38.58,148.14,91,105,90,105,76,131,898,991,892,989,820,1179
Uttar Pradesh,Chitrakoot,23.31,25.87,24.18,26.95,13.39,18.53,8.1,9.17,8.33,9.42,4.42,8.66,59.86,74.79,59.56,74.95,38.19,98.45,111,127,115,131,51,111,888,981,887,982,752,1172
Uttar Pradesh,Deoria,24.41,27.05,25.17,27.72,15.17,26.18,9.63,10.75,9.73,10.88,7.39,11.37,61.57,77.96,63.86,81.21,23.88,65.58,75,91,78,94,31,83,954,1072,930,1049,1000,1576
Uttar Pradesh,Etah,25.95,29.27,26.64,30.43,20.37,24.08,7.33,8.53,7.39,8.67,5.65,9.12,57.49,75.61,59.48,79.02,25.48,67.16,78,95,82,100,30,76,865,975,875,992,668,1017
Uttar Pradesh,Etawah,21.82,23.46,23.01,24.73,16.69,20.19,7.68,8.84,7.94,9.29,6.1,7.97,47.56,64.29,47.04,64.74,33.15,79.07,78,93,82,99,51,86,825,921,813,916,794,1052
Uttar Pradesh,Faizabad,22.4,26.17,23.07,27.34,15.83,20.27,9.84,11.24,10.12,11.56,6.7,10.26,78.87,97.65,82.04,101.76,27.25,80.69,106,125,110,131,43,100,826,930,808,915,842,1300
Uttar Pradesh,Farrukhabad,24.4,27.6,27.16,29.67,16.69,22.43,6.92,8.17,7.24,8.62,5.31,7.7,68.88,86.34,73.08,90.55,38.22,84.42,89,107,97,116,46,94,833,939,825,935,750,1103
Uttar Pradesh,Fatehpur,21.79,23.94,22.2,24.39,15.34,23.59,6.62,7.66,6.78,7.91,4.17,6.87,45.98,63.88,47.15,66.64,17.64,54.96,73,90,77,95,18,62,841,953,838,954,716,1143
