State_Name,State_District_Name,QQ_Institutional_Delivery_Total,QQ_Institutional_Delivery_Rural,QQ_Institutional_Delivery_Urban,QQ_Delivery_At_Government_Institution_Total,QQ_Delivery_At_Government_Institution_Rural,QQ_Delivery_At_Government_Institution_Urban,QQ_Delivery_At_Private_Institution_Total,QQ_Delivery_At_Private_Institution_Rural,QQ_Delivery_At_Private_Institution_Urban,QQ_Delivery_At_Home_Total,QQ_Delivery_At_Home_Rural,QQ_Delivery_At_Home_Urban,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Total,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Rural,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Urban,QQ_Safe_Delivery_Total,QQ_Safe_Delivery_Rural,QQ_Safe_Delivery_Urban,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Total,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Rural,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Urban,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Total,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Rural,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Urban
Bihar,Vaishali,65.1,64.6,76,45.5,45.8,38.4,19.5,18.7,36,34.1,35.1,12.8,26,26.1,18.8,69.6,69.2,78.4,3.2,3.2,4.2,18.4,17.9,24.4
Chhattisgarh,Bastar,67.1,66.38,74.9,60.51,61.04,54.75,6.5,5.29,19.77,32.8,33.54,24.71,50.95,51.59,41.54,79.28,79.27,79.47,4.1,4.04,4.86,29.21,29.99,26.92
Chhattisgarh,Bilaspur,28.19,24.08,39.8,20.25,18.49,25.19,7.73,5.38,14.35,69.41,75.77,51.49,63.69,63.41,64.84,44.94,37.1,67.04,10.52,9.38,12.88,65.86,76.36,54.76
Chhattisgarh,Dantewada,49.65,46.17,72.13,37.74,39.64,25.43,11.63,6.35,45.72,50.22,53.68,27.87,25.29,23.09,52.63,56.66,52.83,81.42,7.21,6.97,9.62,21.88,17.07,26.2
Chhattisgarh,Dhamtari,52.17,50.4,66.52,38.66,39.17,34.56,11.59,9.51,28.51,47.73,49.52,33.26,64.45,66.19,43.51,76.75,76.6,77.97,5.11,4.85,7.5,46.04,45.41,47.73
Chhattisgarh,Durg,39.86,31.1,57.92,22.93,25.06,18.53,16.61,5.79,38.9,55.41,61.9,42.02,57.79,54.87,66.67,62.6,54.54,79.2,14.61,13.58,17.49,35.78,41.7,33.96
Chhattisgarh,Janjgir-Champa,27.11,25.71,41.69,20.91,19.92,31.19,5.71,5.24,10.51,72.69,74.17,57.29,63.53,64.03,56.8,47.33,45.91,62.03,11.3,11.69,8.7,32.06,32.64,29.03
Chhattisgarh,Jashpur,37.8,36.98,NA,30.71,30.31,NA,6.79,6.37,NA,62.14,62.95,NA,36.51,36.12,NA,52.36,51.52,NA,13.6,13.54,NA,27.57,27.22,NA
Chhattisgarh,Kanker,68.37,67.46,NA,60.34,60.42,NA,7.73,6.74,NA,31.58,32.47,NA,57.89,58.08,NA,80.86,80.32,NA,5.16,5.3,NA,39.94,38.27,NA
Chhattisgarh,Kawardha,23.81,22.64,NA,19.76,19.31,NA,3.9,3.22,NA,75.92,77.11,NA,82.36,82.22,NA,66.82,65.85,NA,3.6,3.56,NA,59.68,59.56,NA
Chhattisgarh,Korba,42.6,33.86,59.49,28.63,28.48,28.91,12.96,4.71,28.91,55.45,66.1,34.85,40.7,34.65,62.9,57.76,48.66,75.36,10.58,10.09,11.52,28.49,29.37,28.21
Chhattisgarh,Koriya,40.13,34.12,64.57,31.4,29.45,39.35,8.5,4.6,24.35,59.78,65.88,35,39.65,39.47,40.99,58.3,54.61,73.26,12.7,10.15,20.44,34.53,39.97,30.36
