State_Name,State_District_Name,QQ_Institutional_Delivery_Total,QQ_Institutional_Delivery_Rural,QQ_Institutional_Delivery_Urban,QQ_Delivery_At_Government_Institution_Total,QQ_Delivery_At_Government_Institution_Rural,QQ_Delivery_At_Government_Institution_Urban,QQ_Delivery_At_Private_Institution_Total,QQ_Delivery_At_Private_Institution_Rural,QQ_Delivery_At_Private_Institution_Urban,QQ_Delivery_At_Home_Total,QQ_Delivery_At_Home_Rural,QQ_Delivery_At_Home_Urban,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Total,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Rural,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Urban,QQ_Safe_Delivery_Total,QQ_Safe_Delivery_Rural,QQ_Safe_Delivery_Urban,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Total,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Rural,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Urban,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Total,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Rural,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Urban
Madhya Pradesh,Sagar,72.1,65.2,90.5,59.2,54.9,70.5,12.6,10.1,19.3,27.7,34.5,9.5,25.7,26.9,14,77.3,72,91.2,5.1,5.1,5.2,22.7,19.3,27.6
Madhya Pradesh,Satna,76.6,74.7,82.4,68.5,67.1,72.7,8.1,7.6,9.7,23.2,25,17.3,20.4,16.8,36.5,80.8,78.5,87.9,3.2,3.1,3.3,27.9,24.6,35.9
Madhya Pradesh,Sehore,92.4,90.9,98.1,81.7,83.9,73.4,10.7,7,24.7,7.4,8.8,1.9,68,68.7,57.1,97.4,97,99.2,4.3,3.3,8.6,37.8,31.8,44.4
Madhya Pradesh,Seoni,85.8,85.2,93.2,73.5,74.2,65.5,12.1,10.6,27.7,14.2,14.8,6.8,27.4,26.1,58.3,88.4,87.6,96.6,4.9,4.9,6,38.2,41.5,24.5
Madhya Pradesh,Shahdol,59.5,58.2,63.9,55.3,56.1,52.4,3.2,0.8,11.2,40.5,41.8,36.1,28.4,24.3,44.2,68,64.9,78.6,3.3,2.5,6.1,42.9,43.2,42.9
Madhya Pradesh,Shajapur,93.8,94,93.3,85.4,87.9,78.6,8.4,6.1,14.7,6.1,5.9,6.7,46.9,48.7,42.6,96.7,96.8,96.1,4.6,3.9,6.9,42.1,44.1,39.8
Madhya Pradesh,Sheopur,71.8,69.2,87.8,68.4,67,77.5,3.4,2.2,10.4,28.1,30.7,12.2,37.3,35.8,59.6,82.3,80.2,95.1,4.5,4.4,5,38.5,31.5,47.5
Madhya Pradesh,Shivpuri,88.8,88.1,93.2,84.9,85.1,84.1,3.7,2.8,9.1,10.8,11.5,6.8,42.5,43,37,93.4,93,95.7,4.9,5.2,3,27.8,24.9,33.3
Madhya Pradesh,Sidhi,57.2,56.8,60.9,53.2,53.3,52.7,3.6,3.1,8.2,42.7,43.1,38.6,30.9,28.6,53.5,68,66.9,77.7,3.6,3.5,4.1,38.9,42.5,26.7
Madhya Pradesh,Tikamgarh,81.5,79.8,89.3,71.7,70.1,79.2,9.7,9.6,10.1,18.4,20,10.7,18.3,16.6,33.3,83.9,82.1,92.6,2.8,2.5,3.8,36.9,31.5,62.2
Madhya Pradesh,Ujjain,84.7,82.4,88.5,71.5,73.8,67.5,13,8.6,20.5,15.2,17.4,11.5,36.4,34.4,41.4,90.2,88.3,93.3,3,1.4,6.1,31.7,18,41.3
Madhya Pradesh,Umaria,83.8,82.7,91.1,77,77,77.2,6.3,5.2,13.1,16.1,17.3,8.9,37.7,35.9,60,88.8,87.8,95.1,3.4,3,6,52,58.7,35.6
Madhya Pradesh,Vidisha,88.1,84.9,96.8,80,79.3,81.9,7.6,4.9,14.9,11.5,14.6,3,47.4,47.4,47.1,90.5,87.9,97.5,2.1,1.9,2.6,19.9,18.3,21.4
Madhya Pradesh,West Nimar,82.8,81.4,91.2,77,76.5,79.9,5.7,4.8,11.2,17.1,18.5,8.7,41,40,53.4,89.8,88.8,95.8,4.7,4.6,5.2,35.8,36.1,35.1
Odisha,Anugul,84.57,85.11,81.73,70.01,74.4,46.76,14.36,10.46,34.97,15.03,14.53,17.68,14.94,13.77,20,85.82,86.22,83.69,8.42,8.07,11.34,42.99,39.97,47.75
Odisha,Balangir,80.15,79.4,89.81,76.24,76.36,74.76,3.84,3.01,14.56,19.64,20.37,10.19,36.79,37.29,23.81,86.44,85.99,92.23,9.49,8.98,16.23,48.51,50.46,43.33
Odisha,Baleshwar,86.31,85.51,93.31,79.41,80.23,72.24,6.85,5.23,21.07,13.55,14.33,6.69,24.72,24.97,20,88.97,88.4,93.98,9.1,8.33,16.67,52.78,53.69,50.79
Odisha,Bargarh,86.47,85.76,94.2,77.64,78.38,69.62,8.65,7.22,24.23,13.12,13.82,5.46,40.73,40.39,50,90.96,90.5,95.9,14.59,14.3,18.14,35.23,35.24,35.21
Odisha,Baudh,67.59,67.06,NA,64.54,64.31,NA,2.9,2.64,NA,32.19,32.71,NA,15.04,15.05,NA,71.96,71.5,NA,7.39,7.13,NA,44.89,43.17,NA
Odisha,Bhadrak,81.92,82.48,77.98,70.36,71.83,60,11.46,10.53,17.98,17.75,17.17,21.8,25.91,25.56,27.84,84.92,85.39,81.57,6.08,5.87,7.87,62.21,61.84,63.75
Odisha,Cuttack,91.35,92,89.29,70.49,78.47,45.57,19.57,12.85,40.57,8.58,7.89,10.71,34.09,32.69,37.33,92.63,93.24,90.71,11.66,10.09,20.06,47.78,51.58,44.01
Odisha,Debagarh,78.34,77.7,85.98,74.94,74.88,75.61,3.36,2.82,9.76,21.18,21.84,13.41,13.76,13.29,22.73,80.07,79.46,87.2,11.16,10.46,19.35,49.85,51.64,43.75
Odisha,Dhenkanal,84.07,83.86,86.7,76.32,76.6,72.87,7.71,7.21,13.83,15.41,15.67,12.23,17.91,17.67,21.74,85.79,85.54,88.83,9.97,9.5,16.06,50.12,48.94,57.69
Odisha,Gajapati,66.14,64.07,84.11,53.1,54.18,43.71,12.83,9.79,39.07,33.5,35.54,15.89,27.58,26.85,41.67,71.74,69.69,89.4,9.89,9.54,13.64,32.6,35.13,27.12
Odisha,Ganjam,87.59,86.44,94.76,73.05,75.08,60.48,12.73,9.84,30.65,11.81,12.87,5.24,19.36,19.11,23.08,88.92,87.85,95.56,8.29,7.63,13.33,43.36,39.37,51.32
Odisha,Jagatsinghapur,95.88,96.57,88.82,79.37,80.76,65.13,15.37,14.94,19.74,3.95,3.24,11.18,30.38,16.85,70.59,96.18,96.9,88.82,8.87,8.94,8.08,58.69,60.24,46.67
Odisha,Jajapur,88.62,88.52,NA,78.33,78.84,NA,10.23,9.61,NA,10.99,11.07,NA,14.24,14.11,NA,89.82,89.7,NA,7.38,7.47,NA,55.01,55.38,NA
Odisha,Jharsuguda,85.82,86.88,84.17,66.07,75.36,51.52,18.7,10.8,31.07,11.96,12.02,11.86,45.02,40.42,52.32,89.87,90.58,88.76,10.48,9.36,13.04,36.98,35.87,37.59
Odisha,Kalahandi,67.05,65.28,84.67,59.26,58.1,70.8,6.96,6.27,13.87,32.8,34.55,15.33,21.85,21.12,38.1,73.1,71.5,89.05,9.64,8.93,15.46,35.78,32.04,52.63
Odisha,Kandhamal,80.35,79.3,94.17,78.42,77.61,89.17,1.83,1.59,5,19.31,20.34,5.83,18.04,18.12,14.29,81.89,80.95,94.17,7.52,7.12,12.15,53.69,50.6,66.67
Odisha,Kendrapara,81.77,81.26,90.85,70.64,70.56,71.95,11.13,10.7,18.9,15.41,15.87,7.45,41.06,41.04,41.67,85.37,85.03,91.46,8.6,8.41,11.86,54.26,54.52,51.61
Odisha,Kendujhar,71.29,72.58,64.6,64.88,68.46,46.44,6.34,4.05,18.15,28.5,27.19,35.25,22.24,20.6,28.76,75.66,76.6,70.8,6.88,5.86,14.66,30.54,29.56,31.67
Odisha,Khordha,92.86,93.95,91.07,68.58,79.38,50.84,23.66,14.15,39.27,7.08,6.01,8.84,26.15,17.15,36.22,93.82,94.53,92.64,10.45,8.84,14.57,47.44,45.79,48.42
Odisha,Koraput,53.43,49.7,73.01,50.99,47.89,67.26,2.44,1.8,5.75,46.57,50.3,26.99,33.14,33.51,29.51,57.92,54.37,76.55,7.44,4.84,17.11,22.3,17.15,30.77
Odisha,Malkangiri,52.64,51.64,67.95,50.61,49.85,62.18,2.03,1.79,5.77,47.27,48.27,32.05,18.11,17.42,34,56.92,55.9,72.44,5.74,5.12,13.4,75.52,82.1,44.44
Odisha,Mayurbhanj,79.7,78.93,93.21,78,77.73,82.72,1.7,1.2,10.49,19.83,20.61,6.17,24.31,24.21,30,82.38,81.77,93.21,5.78,5.63,8.21,41.22,29.57,64.71
Odisha,Nabarangapur,53.6,52.38,NA,50.79,49.83,NA,2.59,2.39,NA,41.23,42.44,NA,13.8,13.74,NA,57.02,55.86,NA,6.74,6.39,NA,60.84,60.94,NA
Odisha,Nayagarh,89.1,88.98,NA,78.47,78.79,NA,10.15,9.73,NA,10.85,10.97,NA,9.52,9.72,NA,89.64,89.53,NA,6.11,5.95,NA,52.23,50.09,NA
Odisha,Nuapada,70.45,69.7,NA,63.33,63.11,NA,6.52,6.21,NA,29.55,30.3,NA,24.73,24.15,NA,76.86,76.2,NA,5.39,5.35,NA,56.91,55.68,NA
Odisha,Puri,95.47,95.48,95.36,81.1,83.89,64.09,14.05,11.33,30.65,4.35,4.31,4.64,14.27,13.26,20,95.85,95.87,95.67,11.22,10.5,16.91,55.66,53.92,59.6
Odisha,Rayagada,62.28,58.1,89.53,53.67,51.62,67.02,6.52,4.38,20.42,37.72,41.9,10.47,12.51,11.26,45,64.82,60.39,93.72,7.01,6.85,7.81,40.52,40.16,41.03
Odisha,Sambalpur,83.15,79.88,88.69,71.39,72.84,68.93,11.57,6.8,19.64,16.61,20.03,10.83,25.78,24.53,29.67,86.13,83.35,90.83,11.95,10.32,14.85,44.98,31.75,52.73
Odisha,Sonapur,83.37,82.75,93.1,79.24,79.15,80.69,3.92,3.37,12.41,16.38,17.03,6.21,24.05,23.57,44.44,86.82,86.28,95.17,11.13,11.19,10.26,49.38,51.85,38.89
Odisha,Sundargarh,80.85,77.9,88.17,68.61,72.81,58.21,12.11,5.01,29.7,18.86,21.91,11.3,29.65,28.56,34.88,84.53,82.27,90.14,7.58,6.24,11.74,39.04,31.86,42.04
Rajasthan,Ajmer,75.5,71.6,83.2,50.1,51.8,46.7,24.4,18.4,36,23.7,27.4,16.7,39.1,37.5,43.9,80.7,77.2,87.4,11.7,7.2,21.3,23.6,16,31.2
Rajasthan,Alwar,83.8,83.4,86.9,65.7,67.2,52.6,18,16.1,34.3,16.1,16.5,12.8,51.1,50.8,54.3,88.6,88.3,90.9,5.2,4.7,10.4,23.3,23.3,23.4
Rajasthan,Banswara,83.5,83,NA,73.9,74.2,NA,9.5,8.7,NA,15.7,16.2,NA,29.4,29.3,NA,87.1,86.6,NA,3.4,2.7,NA,14.5,12.7,NA
Rajasthan,Baran,93.2,93,94.5,84.2,85.4,77.5,8.8,7.5,16.9,5.9,6.1,4.9,44.4,44.1,46.7,93.9,93.7,94.8,5.3,4.7,9.2,35.9,34.2,40.4
Rajasthan,Barmer,46.6,44.7,71.9,38.5,38.2,42.5,8,6.5,29.4,53.2,55.1,28.1,42.2,41.2,68.8,64.9,63.3,86.8,3.8,3.8,3.1,27.8,23,42.4
Rajasthan,Bharatpur,76.2,73.9,86.8,62,61.7,63.6,14.1,12.1,23.2,23.7,26,13,43.1,43.6,37.7,81.9,80.3,89.7,5.3,4.6,8.8,30,27.6,35.8
Rajasthan,Bhilwara,71.6,68.1,88.4,57.4,55.1,68.5,14,12.7,19.9,27.9,31.3,11.6,34.5,32.8,56,79.4,76.4,94,3.7,2.7,7.4,25.3,28.2,16.3
Rajasthan,Bikaner,65.7,55.6,83.8,51.1,48.5,55.7,14.7,7.2,28.1,34.1,44.1,16.2,44.9,41.8,60.3,76.2,67.9,91,9.3,5.1,15.8,30.4,32.2,29.7
Rajasthan,Bundi,87.1,84.9,95.8,77.6,78,75.9,9.4,6.8,19.7,12.3,14.5,3.7,43.5,42.9,53.3,89.8,88.1,96.5,6.1,4.2,13.6,35,28.6,43.7
Rajasthan,Chittaurgarh,84,82.7,90.8,75.6,75.2,77.4,8.3,7.4,13,15.6,16.9,8.4,36.8,33.6,70,87.8,86.3,95.4,6.4,4.6,15.7,19.5,17.4,25.8
Rajasthan,Churu,70,69,73.2,56.5,57.9,52.2,13.5,11,21,29.8,30.8,26.8,54.7,56.5,48.6,80,80,80.1,3.6,4.5,0.7,23.8,29.2,15.5
Rajasthan,Dausa,86.4,85.7,94.5,57,57.3,53.4,29.2,28.2,41.1,13,13.7,5.5,44.6,44,62.5,89.5,89,95.9,3.9,3.2,12.8,9.2,9.3,8.3
Rajasthan,Dhaulpur,82,79.2,93,70.2,71.2,66.4,11.7,7.9,26.3,17.3,20.1,6.7,30.5,27.7,62.5,84.3,81.3,96.1,2.5,2.4,3,27,26.4,27.7
Rajasthan,Dungarpur,73.7,72.2,98.2,63.2,62.8,70.8,10.5,9.5,27.4,25.3,26.8,1.8,30.2,30.2,33.3,79.1,77.8,98.8,4.2,3.7,12.6,33.9,31,50
Rajasthan,Ganganagar,85.6,84.2,89,56.9,63.6,40.5,28.7,20.6,48.4,14.3,15.7,11,72.2,72.3,71.9,89.1,87.9,92.1,5.5,5,7.7,20.9,22.1,19.6
Rajasthan,Hanumangarh,70,70,70,43,45.5,35,27,24.5,35,29.9,29.9,30,69.6,71.4,63.9,82.3,82.2,82.5,5.3,5.5,4.8,22.9,19.2,31
Rajasthan,Jaipur,92.3,92.1,92.4,55.4,64,47.7,36.7,28,44.6,7.5,7.6,7.4,48.9,35.6,61.3,94.8,93.9,95.6,11.8,6,18.8,26,18.7,30.2
Rajasthan,Jaisalmer,44.2,37.8,83.1,38.6,34.2,65.2,5.6,3.6,17.9,55.6,62,16.4,57.6,57.7,54.5,60.8,56.3,88.6,6.9,4.8,13.7,42.3,40.6,44.4
Rajasthan,Jalor,60.8,59.3,80.9,37.6,37.7,36,22.3,21,41,38.7,40.2,18.5,46.9,46.3,63.6,76.2,75.1,90.4,2.9,2.8,4.7,14.2,14.3,13.7
Rajasthan,Jhalawar,84.1,83,90.5,73.3,74.1,67.8,10.3,8.3,22.6,15,16.1,8.8,38.6,36.7,60,87.3,86.4,92.6,5.7,4.9,10.9,31.5,24.7,46.9
Rajasthan,Jhunjhunun,89.5,89.6,89.1,44.6,48.1,32.4,44.7,41.1,56.7,10.4,10.3,10.5,48.1,44.7,59.6,93.2,92.9,94.2,3.1,3.1,3.1,13.2,13.6,12.1
Rajasthan,Jodhpur,68.3,59.1,86.7,51.3,46.9,60,17,12.2,26.7,31.1,40.4,12.4,41.2,39.3,53.8,77.5,71.1,90.5,10.1,6.1,16.3,40.5,41.8,39.3
Rajasthan,Karauli,86.6,85.2,93.7,71.7,72.3,68.9,14.8,12.8,24.8,12.5,14.1,4.9,40.1,37.3,80,89,87.7,95.6,2.5,2.6,2.1,14.8,13.7,17.6
Rajasthan,Kota,84.1,80.5,87.3,53.1,65.4,42.3,30.3,14.9,43.7,14.6,18.3,11.5,59.4,45.5,78.6,86.8,82.8,90.3,10,6.2,15,30.2,32.1,29.6
Rajasthan,Nagaur,83.4,82.6,87.8,68.1,69.7,60.2,15.4,12.9,27.6,16.3,17.1,12.2,44.8,43.1,56.7,88.7,88.2,91.5,4.2,3.4,8.8,19.3,20.7,16.2
Rajasthan,Pali,72.8,70.8,80.6,60.4,60.3,60.6,12.4,10.4,20,26.9,28.9,19.4,46.1,43.4,61.6,79.8,78.5,85.1,6.7,5.5,11.5,29.8,23.8,41.6
Rajasthan,Rajsamand,77.8,76.1,91.5,66.4,66.9,62.8,10.9,8.8,27.6,20.9,22.6,8,37,35.5,68.8,82.4,80.7,96,4.8,4,11.2,23.2,18.6,34.5
Rajasthan,Sawai Madhopur,82.6,82.1,84.5,62.3,66.8,46,20.3,15.2,38.5,16,16.5,14.3,37.8,36.2,44.7,84.6,84.1,86.4,4.2,4.2,4.1,12.9,13,12.7
Rajasthan,Sikar,87.1,84.7,94.4,44,48.9,29.7,41.8,34.8,62.5,12.5,14.9,5.6,52.2,50.6,65,92,90.2,97.5,6.6,5.6,11.3,14.1,15.9,11.2
Rajasthan,Sirohi,83.2,81.9,93.6,57,57.4,54,26.3,24.5,39.6,16.2,17.6,5.9,31.3,30.1,58.3,86.8,85.8,95.1,4.3,4,6.4,16.3,14.5,25
Rajasthan,Tonk,82.9,80.5,90.4,66.6,65.8,69.1,16.3,14.7,21.3,16.2,18.5,9.1,36.1,33.7,51.1,86.5,84.1,93.9,6.7,5.9,8.8,15.4,10.5,25.7
Rajasthan,Udaipur,70.9,65.3,96.4,62.6,58.8,79.9,7.8,6,15.8,28.5,34.1,3.2,27.1,27.2,22.2,74.3,69.4,96.8,8.1,4.6,19.7,26.3,17.8,40.9
Uttar Pradesh,Agra,71.58,68.07,75.34,32.58,36.92,27.94,38.98,31.13,47.4,28.08,31.57,24.33,27.25,21.18,35.69,75.92,71.72,80.42,7.12,4.27,11.14,23.44,21.62,24.72
Uttar Pradesh,Aligarh,59.62,55.95,68.91,34.86,34.42,35.96,24.73,21.48,32.95,39.9,43.68,30.37,33.18,28.94,48.58,68.97,65.25,78.37,5.93,3.77,11.16,29.99,28.66,32.17
Uttar Pradesh,Allahabad,57.37,55.7,67.32,38.21,39.93,28.05,19.02,15.72,38.54,41.1,42.68,31.71,30.29,29.75,34.62,67.24,65.63,76.83,13.94,10.65,41.74,31.36,26.01,44.3
Uttar Pradesh,Ambedkar Nagar,64.56,65.23,NA,47.27,49.62,NA,17.26,15.57,NA,33.82,33.02,NA,28.62,29.8,NA,71.37,72.06,NA,7.92,7.95,NA,17.82,17.45,NA
Uttar Pradesh,Auraiya,50.57,50.76,49.48,39.18,40.77,30.23,10.76,9.32,18.86,47.04,47.04,47.03,42.32,41.59,46.43,70.47,70.32,71.32,10.53,9.66,17.09,19.99,17.57,26.71
Uttar Pradesh,Azamgarh,68.72,67.75,80.98,42.22,43.59,24.85,26.35,24.02,55.83,29.87,30.73,19.02,33.14,33.5,25.81,76.27,75.63,84.36,8.95,8.52,18.52,15.58,15.01,18.68
Uttar Pradesh,Baghpat,67.72,68.41,65.14,32.88,34.06,28.48,34.82,34.32,36.66,32.15,31.46,34.7,33.9,32.76,37.74,71.35,71.8,69.72,5.05,4.89,5.75,18.27,18.9,16.07
Uttar Pradesh,Bahraich,32.44,32.17,38.83,26.63,26.91,19.74,5.77,5.23,19.09,65.9,66.09,61.17,26.7,25.79,50.79,50.03,49.22,69.9,4.18,3.91,13.11,20.19,17.9,35.59
Uttar Pradesh,Ballia,57.45,56.33,69.74,38.07,38.61,32.1,19.23,17.61,36.9,41.22,42.36,28.78,29.04,28.61,35.9,66.53,65.52,77.49,11.29,11.28,11.49,21.91,20.36,30
Uttar Pradesh,Balrampur,29.79,29.26,NA,23.84,23.72,NA,5.69,5.26,NA,68.2,68.7,NA,17.01,16.43,NA,39.06,38.32,NA,17.95,18.09,NA,25.42,21.71,NA
Uttar Pradesh,Banda,73.2,72.71,75.93,65.89,66.92,60.17,7.21,5.67,15.77,26.68,27.22,23.65,46.72,42.78,71.93,85.67,84.36,92.95,7.16,7.65,4.14,58.67,68.26,39.47
Uttar Pradesh,Barabanki,59.91,59.48,65.93,49.92,50.46,42.31,9.96,8.99,23.63,39.88,40.29,34.07,38.83,38.35,46.77,75.39,74.93,81.87,6.5,6.35,9.09,21.04,19.32,30.23
Uttar Pradesh,Bareilly,47.45,43.19,57.66,24.18,25.29,21.52,23.2,17.91,35.87,52.06,56.15,42.26,15.06,12.05,24.64,50.86,46.05,62.38,4.84,4.1,6.91,29.82,27.43,32.68
Uttar Pradesh,Basti,55.21,54.54,NA,47.07,47.44,NA,8.15,7.1,NA,44.01,44.65,NA,18.46,18.5,NA,60.99,60.33,NA,9.46,9.17,NA,38.12,35.49,NA
Uttar Pradesh,Bijnor,57.92,57.74,58.57,26.17,27.78,20.32,31.74,29.96,38.25,41.83,42.1,40.84,21.67,19.52,29.76,62.4,61.64,65.14,6.24,5.72,8.82,24.56,25.68,21.35
Uttar Pradesh,Budaun,49.88,49.11,53.65,35.62,37.07,28.54,14.26,12.04,25.11,49.26,50.03,45.49,11.03,9.05,21.7,52.82,51.29,60.3,4.08,4.01,4.51,18.34,17.78,19.66
Uttar Pradesh,Bulandshahar,53.76,49.91,61.87,26.55,29.16,21.03,27.21,20.75,40.84,45.84,49.55,38.01,46.4,41.68,59.42,61.96,56.86,72.73,6.28,5.82,7.6,25.17,22.17,28.4
Uttar Pradesh,Chandauli,61.03,60.84,63.22,41.69,42.43,33.33,19.22,18.27,29.89,37.79,37.95,35.92,29.08,27.61,46.4,68.22,68.03,70.4,9.98,9.36,18.97,37.04,35.99,44.23
Uttar Pradesh,Chitrakoot,65.11,64.44,74.32,57.65,57.74,56.42,6.66,6.06,14.79,34.1,34.77,24.9,36.25,35.77,45.31,77.47,76.87,85.6,5.39,5.28,6.9,15.04,14.91,15.79
Uttar Pradesh,Deoria,63.9,64.47,58.77,48.83,50.88,30.26,14.97,13.52,28.07,34.32,33.9,38.16,34.72,33.61,43.68,72.5,73.05,67.54,7.53,7.36,10.14,30.99,30.22,34.38
Uttar Pradesh,Etah,56.15,54.12,70.03,40,39.73,41.81,15.83,14.07,27.87,43.17,45.1,29.97,21.73,18.98,50,61.72,58.88,81.18,5.13,4.64,8.33,22.94,20.53,31.25
Uttar Pradesh,Etawah,61.23,59.21,69.89,49.21,49.95,46.05,11.89,9.11,23.83,37.73,39.85,28.66,40.65,37.48,59.55,76.57,74.15,86.96,13.7,13.41,15.03,20.2,17.27,25
Uttar Pradesh,Faizabad,66.27,65.61,72.93,54,54.94,44.54,12.08,10.45,28.38,32.37,33.03,25.76,27.38,27.27,28.81,73.14,72.55,79.04,11.67,10.63,24.51,31.18,28.79,40
Uttar Pradesh,Farrukhabad,39.74,36.02,53.71,26.67,27.93,21.96,12.95,8.02,31.45,57.43,60.55,45.7,49.65,48.4,55.84,68.25,65.33,79.23,12.13,10.99,17.57,24.73,20.01,29.25
Uttar Pradesh,Fatehpur,57.87,57.56,60.64,47.23,47.76,42.57,10.56,9.71,18.07,40.05,40.36,37.35,30.46,29.16,43.01,70.08,69.33,76.71,8.67,8.69,8.49,21.47,21.78,20
Uttar Pradesh,Firozabad,64.47,63.88,66.67,45.16,47.13,37.93,19.31,16.75,28.74,35.38,35.97,33.17,25.23,19.77,47.03,68.13,66.69,73.4,4.47,3.36,9.52,33.28,31.22,37.71
Uttar Pradesh,Gautam Buddha Nagar,56.69,54.15,63.12,18.39,15.38,26.03,38.26,38.77,36.98,43.13,45.68,36.68,37.94,33.55,51.78,63.22,60.05,71.26,6.21,5.98,6.56,25.69,24.31,29.35
Uttar Pradesh,Ghaziabad,62.64,59.79,64.72,24.01,23.92,24.08,38.63,35.87,40.64,37.27,40.05,35.24,45.89,38.71,51.86,68.31,65.12,70.65,11.1,9.33,12.39,30.77,26.86,33.3
Uttar Pradesh,Ghazipur,62.93,62.77,65.41,49.52,49.84,44.86,13.3,12.81,20.54,35.4,35.49,34.05,28.34,28.54,25.4,70.3,70.37,69.19,8.24,8.23,8.43,28.63,28.3,31.58
Uttar Pradesh,Gonda,50.69,49.72,72.93,39.64,38.97,54.7,11.06,10.74,18.23,48.59,49.53,27.07,26.81,26.42,42.86,63.72,62.8,84.53,6.53,6.19,12.12,18.78,18.37,24.24
Uttar Pradesh,Gorakhpur,54.56,53.58,57.56,37.46,40.79,27.31,17,12.74,29.98,43.85,44.69,41.28,26.33,22.69,38.36,63.34,61.56,68.77,12.93,9.83,27.04,39.55,33.66,47.18
Uttar Pradesh,Hamirpur,66.17,65.34,70.21,59.11,59.23,58.51,7.04,6.08,11.7,29.74,30.34,26.86,41.09,39.74,48.51,78.4,77.4,83.24,7.63,7.15,10,28.02,22.9,40.91
Uttar Pradesh,Hardoi,51.57,50.21,61.44,42.3,42.59,40.2,9.22,7.56,21.24,45.82,47,37.25,32.4,30.76,47.37,66.42,64.67,79.08,6.29,5.52,12.2,24.54,20.92,33.85
Uttar Pradesh,Hathras,61.68,61.19,63.62,43.23,44.86,36.82,18.41,16.27,26.8,37.83,38.2,36.38,29.51,26.79,40.72,69.04,67.81,73.86,5.05,4.25,8.88,27.6,26.22,30.89
Uttar Pradesh,Jalaun,62.37,62.15,63.07,54.63,56.42,48.7,7.69,5.74,14.17,34.16,34.66,32.53,43.51,39.84,56.44,77.23,75.96,81.44,8.52,8.92,6.97,32.23,25.8,40.85
Uttar Pradesh,Jaunpur,56.75,56.91,NA,36.95,37.86,NA,19.68,18.91,NA,40.39,40.09,NA,27.37,27.45,NA,65.14,65.44,NA,13.24,13.13,NA,25.39,24.86,NA
Uttar Pradesh,Jhansi,76.77,72.98,81.75,58.64,62.03,54.2,18.03,10.85,27.46,23.07,26.74,18.25,60.74,54.91,71.93,90.78,87.66,94.88,17.24,12.68,24.08,31.84,19.58,38.19
Uttar Pradesh,Jyotiba Phule Nagar,57.5,56.21,62.09,32.12,32.95,29.18,25.26,23.12,32.92,42.42,43.68,37.91,20.68,18.51,29.61,61.46,59.61,68.08,2.79,2.42,4.27,19.87,18.73,22.73
Uttar Pradesh,Kannauj,58.4,59.15,55.19,42.97,47.18,24.88,15.44,11.98,30.31,41.24,40.43,44.73,15.1,13.44,21.55,62.3,62.44,61.7,4.11,3.56,8.61,25.46,26.21,24.18
Uttar Pradesh,Kanpur Dehat,55.88,54.99,NA,45.51,46.04,NA,10.19,8.76,NA,42.81,43.73,NA,36.69,36.32,NA,71.59,70.87,NA,11.56,11.77,NA,26.21,24.65,NA
Uttar Pradesh,Kanpur Nagar,61.58,65.25,60.1,33.78,54.85,25.32,26.96,10.2,33.7,37.78,33.59,39.47,56.28,50.73,58.18,82.84,82.29,83.06,17.2,8.69,24.6,32.38,31.76,32.46
Uttar Pradesh,Kaushambi,60.21,60.31,58.88,52.52,52.81,48.6,7.64,7.44,10.28,38.67,38.56,40.19,24.28,23.48,34.88,67.61,67.71,66.36,7.78,7.79,7.69,27.48,26.58,36.36
Uttar Pradesh,Kheri,54.31,53.35,73.25,46.16,46.56,38.22,7.91,6.53,35.03,43.27,44.15,26.11,29.48,28.76,53.66,67.07,66.04,87.26,6.27,5.84,16.67,37.22,33.98,49.09
Uttar Pradesh,Kushinagar,54.85,54.55,NA,44.16,44.01,NA,10.47,10.36,NA,43.41,43.71,NA,25.92,25.82,NA,64.04,63.74,NA,10.5,10.65,NA,28.82,29.01,NA
Uttar Pradesh,Lalitpur,75.54,74.71,83.71,67.3,67.64,64.04,8.24,7.08,19.66,23.47,24.38,14.61,38.06,37.57,46.15,84.48,83.87,90.45,10.63,10.64,10.53,14.23,10.97,25.71
Uttar Pradesh,Lucknow,76.26,69.59,82.98,47.33,49.48,45.16,28.61,19.64,37.63,22.25,27.86,16.6,46.31,36.88,62.25,86.56,79.86,93.31,19.9,15.7,24.53,36.89,26.3,42.47
Uttar Pradesh,Maharajganj,50.88,49.95,NA,39.2,39.67,NA,11.6,10.19,NA,47.65,48.61,NA,25.54,24.96,NA,60.63,59.61,NA,9.3,9.62,NA,30.26,29.26,NA
