State_Name,State_District_Name,AA_Sample_Units_Total,AA_Sample_Units_Rural,AA_Sample_Units_Urban,AA_Households_Total,AA_Households_Rural,AA_Households_Urban,AA_Population_Total,AA_Population_Rural,AA_Population_Urban,AA_Ever_Married_Women_Aged_15_49_Years_Total,AA_Ever_Married_Women_Aged_15_49_Years_Rural,AA_Ever_Married_Women_Aged_15_49_Years_Urban,AA_Currently_Married_Women_Aged_15_49_Years_Total,AA_Currently_Married_Women_Aged_15_49_Years_Rural,AA_Currently_Married_Women_Aged_15_49_Years_Urban,AA_Children_12_23_Months_Total,AA_Children_12_23_Months_Rural,AA_Children_12_23_Months_Urban
Bihar,Purba Champaran,47,42,5,16381,15515,866,90990,86127,4863,16330,15428,902,16108,15220,888,3802,3622,180
Bihar,Purnia,36,31,5,10344,9421,923,48915,44326,4589,8697,7861,836,8458,7659,799,2093,1935,158
Bihar,Rohtas,59,47,12,12288,11044,1244,72643,65401,7242,13549,12291,1258,13130,11931,1199,3373,3092,281
Bihar,Saharsa,43,37,6,14545,13201,1344,72565,65945,6620,13043,11807,1236,12712,11500,1212,3140,2945,195
Bihar,Samastipur,65,61,4,17185,16734,451,86613,84410,2203,16003,15579,424,15694,15282,412,3037,2969,68
Bihar,Saran,65,56,9,14459,13370,1089,79081,73074,6007,13847,12821,1026,13498,12505,993,3172,2962,210
Bihar,Sheikhpura,63,49,14,12180,11109,1071,67490,61398,6092,13112,11971,1141,12683,11586,1097,3359,3157,202
Bihar,Sheohar,41,38,3,14986,14537,449,71690,69401,2289,12576,12153,423,12323,11916,407,3709,3520,189
Bihar,Sitamarhi,49,44,5,15302,14372,930,71440,67274,4166,12834,12074,760,12505,11773,732,3002,2809,193
Bihar,Siwan,101,92,9,25888,23838,2050,148425,137164,11261,24853,22856,1997,24313,22391,1922,4584,4201,383
Bihar,Supaul,64,59,5,19597,18936,661,95947,92714,3233,17982,17399,583,17668,17098,570,4229,4122,107
Bihar,Vaishali,68,61,7,18948,18353,595,94831,91759,3072,17818,17235,583,17379,16831,548,3126,3058,68
Chhattisgarh,Bastar,70,59,11,15806,14306,1500,71531,64521,7010,13396,12049,1347,12331,11088,1243,2255,2044,211
Chhattisgarh,Bilaspur,90,60,30,25088,16995,8093,106626,69602,37024,21042,13790,7252,19553,12853,6700,3430,2468,962
Chhattisgarh,Dantewada,81,72,9,15125,12951,2174,68561,59583,8978,13204,11258,1946,12027,10277,1750,2266,1920,346
Chhattisgarh,Dhamtari,97,78,19,23223,20373,2850,106459,94023,12436,21814,19315,2499,20156,17922,2234,3884,3464,420
Chhattisgarh,Durg,119,61,58,25646,15496,10150,120957,74687,46270,24660,15106,9554,23077,14157,8920,4328,2769,1559
Chhattisgarh,Janjgir-Champa,77,64,13,22495,20254,2241,96586,87836,8750,18061,16406,1655,16952,15426,1526,3059,2828,231
Chhattisgarh,Jashpur,54,50,4,12120,11508,612,56239,53556,2683,10863,10312,551,10082,9575,507,1896,1839,57
Chhattisgarh,Kanker,61,56,5,11799,11049,750,51645,48397,3248,10568,9910,658,9511,8934,577,1478,1391,87
Chhattisgarh,Kawardha,31,27,4,6639,5359,1280,28592,23342,5250,5780,4724,1056,5416,4432,984,1063,851,212
Chhattisgarh,Korba,117,62,55,28153,16965,11188,117747,68935,48812,24064,13887,10177,22278,12790,9488,4277,2794,1483
Chhattisgarh,Koriya,61,37,24,11402,8093,3309,48871,33664,15207,10148,7167,2981,9432,6697,2735,2153,1676,477
Chhattisgarh,Mahasamund,62,52,10,13895,12304,1591,56921,50427,6494,11557,10248,1309,10701,9533,1168,1680,1505,175
Chhattisgarh,Raigarh,91,73,18,19317,16505,2812,77735,64938,12797,15535,13005,2530,14406,12093,2313,2881,2478,403
Chhattisgarh,Raipur,115,69,46,27085,19007,8078,124335,86636,37699,24665,17053,7612,22933,15916,7017,3421,2399,1022
Chhattisgarh,Rajnandgaon,63,47,16,12470,9853,2617,58000,46595,11405,11824,9550,2274,10902,8831,2071,1900,1585,315
Chhattisgarh,Surguja,66,59,7,16822,15536,1286,73504,67674,5830,14762,13555,1207,13806,12691,1115,3451,3273,178
Jharkhand,Bokaro,106,47,59,21645,13042,8603,109548,65779,43769,21646,13218,8428,20497,12471,8026,4644,3046,1598
Jharkhand,Chatra,72,66,6,12282,11282,1000,69267,63510,5757,12987,12013,974,12476,11550,926,2398,2206,192
Jharkhand,Deoghar,67,54,13,10177,8261,1916,54269,44608,9661,11067,9159,1908,10598,8760,1838,1815,1569,246
Jharkhand,Dhanbad,121,45,76,22724,11849,10875,118510,61300,57210,22763,12085,10678,21277,11314,9963,4769,2939,1830
Jharkhand,Dumka,83,75,8,11265,10339,926,55026,50636,4390,11408,10492,916,10648,9798,850,2734,2600,134
Jharkhand,Garhwa,79,74,5,20717,19654,1063,106313,100822,5491,19725,18659,1066,19177,18156,1021,3129,2968,161
Jharkhand,Giridih,112,101,11,20259,19266,993,117241,111633,5608,23850,22803,1047,22975,21992,983,4090,3941,149
Jharkhand,Godda,60,56,4,13249,12550,699,67445,63911,3534,12790,12108,682,12224,11569,655,2704,2601,103
Jharkhand,Gumla,154,141,13,33467,31471,1996,166488,156732,9756,29190,27485,1705,26940,25386,1554,7514,7174,340
Jharkhand,Hazaribagh,98,67,31,22829,19252,3577,124592,105798,18794,24930,21400,3530,23816,20481,3335,4328,3831,497
Jharkhand,Kodarma,72,54,18,12349,10701,1648,72466,63071,9395,14701,12869,1832,14026,12290,1736,2589,2299,290
Jharkhand,Lohardaga,107,87,20,22851,20510,2341,118200,106222,11978,20995,18815,2180,19514,17456,2058,5394,4964,430
Jharkhand,Pakaur,33,30,3,6472,6007,465,31934,29825,2109,6344,5909,435,5902,5486,416,1652,1597,55
Jharkhand,Palamu,131,119,12,25256,24045,1211,134018,127246,6772,24457,23300,1157,23587,22486,1101,4188,3996,192
Jharkhand,Pashchimi Singhbhum,126,96,30,21904,18551,3353,104482,88412,16070,18686,15546,3140,17333,14386,2947,4816,4254,562
Jharkhand,Purbi Singhbhum,279,97,182,37470,16513,20957,174472,75210,99262,35135,15307,19828,32951,14287,18664,5993,2974,3019
Jharkhand,Ranchi,137,75,62,26129,17666,8463,133247,90577,42670,24887,16779,8108,23089,15461,7628,5203,3776,1427
Jharkhand,Sahibganj,271,229,42,51689,47183,4506,261780,238744,23036,49915,45721,4194,46814,42876,3938,11814,11071,743
Madhya Pradesh,Balaghat,69,56,13,17292,14958,2334,73641,63229,10412,14732,12675,2057,13893,11976,1917,3271,2880,391
Madhya Pradesh,Barwani,55,43,12,10787,8860,1927,53874,45002,8872,10991,9116,1875,10539,8785,1754,2781,2284,497
Madhya Pradesh,Betul,80,59,21,15615,12333,3282,70327,56024,14303,13355,10533,2822,12599,9960,2639,2865,2370,495
Madhya Pradesh,Bhind,93,63,30,22756,15478,7278,106513,71772,34741,19869,13117,6752,19102,12620,6482,3521,2541,980
Madhya Pradesh,Bhopal,111,16,95,16609,2443,14166,76043,11722,64321,15194,2178,13016,14449,2084,12365,2614,525,2089
Madhya Pradesh,Chhatarpur,46,32,14,9252,7197,2055,43340,33494,9846,7907,6074,1833,7704,5930,1774,1927,1570,357
Madhya Pradesh,Chhindwara,59,39,20,9442,6589,2853,42742,30060,12682,8233,5791,2442,7743,5470,2273,1860,1390,470
Madhya Pradesh,Damoh,42,31,11,10028,7713,2315,41400,31221,10179,8141,6219,1922,7817,5996,1821,1821,1413,408
Madhya Pradesh,Datia,40,28,12,7202,4648,2554,33458,21526,11932,6528,4265,2263,6317,4113,2204,1189,804,385
Madhya Pradesh,Dewas,74,47,27,13798,8913,4885,70575,45950,24625,14586,9532,5054,14088,9215,4873,2512,1671,841
Madhya Pradesh,Dhar,41,31,10,7495,5888,1607,38985,30856,8129,7892,6230,1662,7526,5955,1571,1381,1032,349
Madhya Pradesh,Dindori,45,41,4,8284,7623,661,34474,31730,2744,7201,6629,572,6664,6161,503,1689,1556,133
Madhya Pradesh,East Nimar,58,37,21,11371,8584,2787,56169,41485,14684,10478,7896,2582,10019,7580,2439,2359,1824,535
Madhya Pradesh,Guna,33,23,10,5679,3721,1958,29399,19421,9978,5700,3751,1949,5548,3655,1893,1165,863,302
Madhya Pradesh,Gwalior,65,20,45,12799,4150,8649,63269,20355,42914,12146,3947,8199,11648,3821,7827,2007,699,1308
Madhya Pradesh,Harda,75,53,22,14547,10890,3657,68116,51287,16829,13234,9963,3271,12812,9682,3130,2622,1984,638
