State_Name,State_District_Name,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Person_Total,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Person_Rural,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Person_Urban,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Male_Total,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Male_Rural,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Male_Urban,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Female_Total,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Female_Rural,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Female_Urban
Uttar Pradesh,Varanasi,1165.16,1258.4,1058.87,1437.82,1524.15,1343.88,869.47,982.97,733.4
Uttarakhand,Almora,1280.82,1445.12,959.86,1406.87,1749.68,1170.74,898.26,1129.44,732.95
Uttarakhand,Bageshwar,1206.32,1308.53,930.35,1484.06,1534.84,901.34,1108.16,1118.9,959.65
Uttarakhand,Chamoli,1738.96,1846.62,1125.68,1959.15,2128.03,1078.46,1530.59,1587.28,1177.64
Uttarakhand,Champawat,1631.71,1693.82,1783.26,2023.62,2027.62,1452.78,1425.63,1422.18,2215.19
Uttarakhand,Dehradun,1159.92,1200.99,1317.03,1429.92,1425.04,1522.53,1006.03,1001.93,1098.9
Uttarakhand,Haridwar,1743.34,1879.23,1506.25,2106.32,2292.64,1775.25,1331.96,1404.02,1208.78
Uttarakhand,Nainital,1186.54,1288.18,1012.54,1321.22,1443.57,1115.93,1041.84,1123.78,898.48
Uttarakhand,Pauri Garhwal,1483.22,1643.99,619.56,1703.47,1954.77,606.88,1233.59,1360.86,632.07
Uttarakhand,Pithoragarh,1459.28,1559.75,1037.5,1853.46,1975.53,1200.81,1159.57,1204.99,873.19
Uttarakhand,Rudraprayag,1694.31,1710.9,NA,2012.06,2152.62,NA,1309.42,1366.6,NA
Uttarakhand,Tehri Garhwal,1624.84,1678.46,1363.19,2021.68,2045.43,1895.52,1252.76,1330.14,771.21
Uttarakhand,Udham Singh Nagar,1748.17,1935.69,1296.04,1982.23,2213.51,1434.79,1488.89,1631.44,1138.03
Uttarakhand,Uttarkashi,1705.93,1801.4,1085.08,1993.1,2108.36,1298.1,1420.6,1502.63,842.99
