State_Name,State_District_Name,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Total,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Rural,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Urban,MM_Women_Who_Received_Any_Anc_Before_Abortion_Total,MM_Women_Who_Received_Any_Anc_Before_Abortion_Rural,MM_Women_Who_Received_Any_Anc_Before_Abortion_Urban,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Total,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Rural,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Urban,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Total,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Rural,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Urban,MM_Abortion_Performed_By_Skilled_Health_Personnel_Total,MM_Abortion_Performed_By_Skilled_Health_Personnel_Rural,MM_Abortion_Performed_By_Skilled_Health_Personnel_Urban,MM_Abortion_Taking_Place_In_Institution_Total,MM_Abortion_Taking_Place_In_Institution_Rural,MM_Abortion_Taking_Place_In_Institution_Urban
Chhattisgarh,Korba,1.85,1.7,2.15,60.36,46.19,82.22,37.86,30.71,48.89,3.31,3.33,3.27,39.85,32.54,51.11,35.47,26.77,48.89
Chhattisgarh,Koriya,2.32,2.32,2.33,67.52,69.74,58.33,37.14,38.07,33.33,3.1,3.21,2.67,45.9,44.91,50,38.96,34.28,58.33
Chhattisgarh,Mahasamund,1.21,1.1,2.21,75.57,73.95,83.33,23.22,21.1,33.33,3.59,3.46,4.17,41.28,39.45,50,46.82,46.15,50
Chhattisgarh,Raigarh,1.22,1.22,1.19,77.66,76.55,85.71,32.68,27.39,71.43,3.65,3.82,2.43,32.22,24.9,85.71,34.59,27.6,85.71
Chhattisgarh,Raipur,1.34,1.04,2.29,68.99,61.56,79.41,33.39,25.74,44.12,3.34,3.53,3.09,51.83,36.35,73.53,40.94,26.09,61.76
Chhattisgarh,Rajnandgaon,2.38,1.85,5.87,75.15,71.74,82.14,29.87,27.02,35.71,3.32,3.28,3.39,47.27,38.98,64.29,40.63,34.33,53.57
Chhattisgarh,Surguja,1.23,1.17,2.22,61.33,63.65,40,34.84,34.28,40,3.4,3.4,3.4,37.64,37.38,40,26.93,25.5,40
Jharkhand,Bokaro,4.6,4.1,5.3,59.4,46.3,71.8,31.9,17,46.2,2.9,3.2,2.6,66.1,56.6,75.2,56,47.5,64.1
Jharkhand,Chatra,1.8,1.7,3,44.5,43.4,50,22.3,24.2,12.5,3.2,3.3,2.5,44.6,41,62.5,38.1,33.2,62.5
Jharkhand,Deoghar,3.6,3.9,1.4,36,36.5,25,12.4,12.9,0,3.2,3.2,3.8,58.3,57.6,75,51.2,50.2,75
Jharkhand,Dhanbad,9.2,7.6,10.5,56.5,52.4,59.2,19,18.4,19.4,2.6,2.8,2.4,70.4,66.3,73,67.2,63.2,69.7
Jharkhand,Dumka,6.6,6.8,2.8,49.8,49.4,66.7,7.8,6.8,50,3,3,2.5,48.6,48.6,50.3,44.7,44.6,50.3
Jharkhand,Garhwa,4.2,4.4,NA,40.9,39.8,NA,29,28.4,NA,2.7,2.7,NA,60.3,59.1,NA,57.4,56.1,NA
Jharkhand,Giridih,3.9,3.8,4.7,42.1,44.1,10,24,23.6,30,3.2,3.3,2.4,63.5,62.5,80,56.6,55.8,70
Jharkhand,Godda,1.5,1.4,NA,31.3,30.4,NA,17.6,17.4,NA,2.5,2.4,NA,46.9,43.3,NA,40.1,35.8,NA
Jharkhand,Gumla,5.2,5,7.6,32.6,31.5,44.7,9.6,9.1,15.8,2.8,2.8,2.3,28.6,27.4,42.1,25.8,24.9,36.8
Jharkhand,Hazaribagh,4.9,5.2,3.3,50.1,48.6,61.9,27.4,27.2,28.6,2.9,2.9,2.9,59.4,57.3,76.2,56.9,55.1,71.4
Jharkhand,Kodarma,3.8,4.1,1.9,57.5,56.4,71.4,24.8,23.4,42.9,3,3.1,2.6,56.4,55.2,71.4,47.2,45.3,71.4
Jharkhand,Lohardaga,8.8,8.5,11.2,39.3,36.2,60,14.3,12.2,28,2.8,2.8,2.7,39.5,36.1,62.8,36.2,33.1,57.2
Jharkhand,Pakaur,2.1,2.1,NA,46.6,49.3,NA,2.8,3,NA,3.1,3.1,NA,46,44.8,NA,30.5,28.4,NA
Jharkhand,Palamu,4.9,4.9,4.7,47,47.8,33.3,24.8,26.2,0,2.6,2.6,3,57.8,57.8,58.3,46.5,46.1,54.5
Jharkhand,Pashchimi Singhbhum,5.2,4.9,7.9,39.1,37.1,47.1,11.5,8.3,24.3,3.1,3.1,2.8,30.4,23.7,57.1,24.7,19.1,47.1
Jharkhand,Purbi Singhbhum,5.2,2.3,7.9,52.1,48.1,53.1,25.9,15.7,28.7,2.9,2.9,2.8,47.1,33,50.9,46,28.8,50.6
Jharkhand,Ranchi,6.9,6.9,7.1,49.4,45.1,57.7,17.5,14.9,22.5,2.7,2.8,2.4,43,34.3,59.9,40.4,31.7,57
Jharkhand,Sahibganj,2.2,2.1,3.3,45.7,44.4,54.8,16.4,15,25.8,3.2,3.3,2.9,46.6,43.2,70,34.1,29.9,63.3
Madhya Pradesh,Balaghat,2.4,2.1,4.2,52.7,58.7,35,19.1,17.1,25,3.3,3.3,3,44.5,40.9,55,43.2,39.2,55
Madhya Pradesh,Barwani,2.5,2.3,3.4,63,56.5,80.8,21.6,15.4,38.5,3.1,3,3.2,58.7,56.2,65.4,59.1,56.8,65.4
Madhya Pradesh,Betul,1.6,1.4,2.3,68.8,68,71.4,21.7,24,14.3,3.3,3.5,2.7,44.5,40.6,57.1,37.9,32,57.1
Madhya Pradesh,Bhind,3.9,3.3,4.9,85,81.1,90.2,33.7,23.8,46.7,3.6,3.6,3.6,87.8,85.9,90.2,86.6,83.1,91.3
Madhya Pradesh,Bhopal,5.2,2.9,5.7,71.4,82.9,70.1,39.1,25.6,40.7,3.4,3.6,3.4,79.7,94.3,78,76.6,88.5,75.1
Madhya Pradesh,Chhatarpur,3.1,3,3.6,31.4,31.4,31.3,14.2,14.7,12.5,3.2,3.2,2.9,47.6,45.1,56.3,35.8,33.5,43.8
Madhya Pradesh,Chhindwara,1.7,1.7,1.6,41.4,40.4,44.4,16.6,14.9,22.2,3.6,3.5,4,36.5,34.1,44.4,39.2,34.1,55.6
Madhya Pradesh,Damoh,2.8,2.7,3.1,29.9,26.2,43.8,8.1,3.6,25,3.5,3.6,3.1,25.4,23.8,31.3,22.3,13.1,56.3
Madhya Pradesh,Datia,4.4,1.1,12.5,66.4,74.4,64.6,65.1,74.4,63.1,3.6,3.2,3.7,61.5,68.4,60,62.8,68.4,61.5
Madhya Pradesh,Dewas,2.9,3,2.6,43.9,46.4,37.5,21.8,18.1,31.3,3.3,3.3,3.5,50,47.6,56.3,45.1,42,53.1
Madhya Pradesh,Dhar,5,4.9,5.3,75.1,84.1,42.9,60.9,61.9,57.1,3.6,3.7,3.3,64.4,61.5,75,54.6,57.9,42.9
Madhya Pradesh,Dindori,2.1,2.1,NA,27.4,28.3,NA,2.3,2.4,NA,3.2,3.2,NA,28.7,29.8,NA,18.5,19.2,NA
Madhya Pradesh,East Nimar,2.5,2.6,2.4,57.3,60.7,44.4,35.5,36,33.3,3.9,4,3.2,71.4,78.8,44.4,70.3,78.8,38.9
Madhya Pradesh,Guna,1.2,1,2.3,54.7,52.5,58.3,27.4,23.8,33.3,3.5,3.6,3.4,82.2,76.2,91.7,82.2,76.2,91.7
Madhya Pradesh,Gwalior,6.5,9.2,5,27.1,24.4,29.8,51,30.8,71.3,3.5,3.6,3.4,81.6,76,87.2,80.7,75.2,86.2
Madhya Pradesh,Harda,1.8,1.5,3.2,48.2,39.9,65.2,20.5,13.5,34.8,3.4,3.5,3,61.5,61.8,60.9,56.7,58.9,52.2
Madhya Pradesh,Hoshangabad,1.9,1.8,2.1,59.1,55.8,65.4,16.1,14.5,19.2,3.1,3.3,2.7,42.4,38.5,50,42.7,36.9,53.8
Madhya Pradesh,Indore,8.8,3.9,10.5,50,68.1,47.6,46.9,55.8,45.8,3.5,3.8,3.4,62.4,52.5,63.7,61.2,50.6,62.6
Madhya Pradesh,Jabalpur,3,2.5,3.3,44.4,32.9,51.4,13.1,8.7,15.7,2.6,2.7,2.5,57.4,36.9,70,49.7,28.2,62.9
Madhya Pradesh,Jhabua,2.2,1.8,7,63.2,61.8,66.7,35.7,21,72.2,3.9,4,3.4,87.8,87.4,88.9,89,89.1,88.9
Madhya Pradesh,Katni,2.3,2,3.6,47.6,46.4,50,4.9,2.2,10,3.4,3.5,3.2,29.9,27.1,35,27,22.7,35
Madhya Pradesh,Mandla,2,1.7,4.4,31.5,26.9,50,16.7,14.6,25,3.2,3.3,2.6,34.5,32.1,43.8,25,18.7,50
Madhya Pradesh,Mandsaur,3.1,2.3,5.3,43.1,46.1,39,48.7,55.9,39,3.7,3.7,3.8,55.6,69.7,36.6,57,68.5,41.5
