State_Name,State_District_Name,BB_Average_Household_Size_Sc_Total,BB_Average_Household_Size_Sc_Rural,BB_Average_Household_Size_Sc_Urban,BB_Average_Household_Size_St_Total,BB_Average_Household_Size_St_Rural,BB_Average_Household_Size_St_Urban,BB_Average_Household_Size_All_Total,BB_Average_Household_Size_All_Rural,BB_Average_Household_Size_All_Urban,BB_Population_Below_Age_15_Years_Total,BB_Population_Below_Age_15_Years_Rural,BB_Population_Below_Age_15_Years_Urban,BB_Dependency_Ratio_Total,BB_Dependency_Ratio_Rural,BB_Dependency_Ratio_Urban,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Total,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Rural,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Urban
Chhattisgarh,Bilaspur,4.3,4.19,4.73,3.86,3.79,4.48,4.22,4.06,4.57,30.8,32.92,26.52,61.5,66.45,52.41,34.85,44.1,15.9
Chhattisgarh,Dantewada,4.45,4.62,4.07,4.53,4.56,4.09,4.53,4.59,4.13,33.17,34.04,26.71,58.35,60.34,44.92,71.96,79.04,22.96
Chhattisgarh,Dhamtari,4.24,4.26,4.08,4.32,4.34,3.95,4.59,4.62,4.36,28.91,29.2,26.61,58.44,59.09,53.51,21.89,22.57,16.29
Chhattisgarh,Durg,4.49,4.5,4.48,4.69,4.78,4.38,4.73,4.82,4.56,27.98,29.31,25.57,57.19,61.64,49.73,21.55,25.46,14.44
Chhattisgarh,Janjgir-Champa,4.27,4.31,3.52,4.33,4.34,4.06,4.27,4.32,3.9,30.39,30.84,26.45,65.08,66.48,53.89,38.17,40.42,19.39
Chhattisgarh,Jashpur,4.24,4.22,4.63,4.71,4.73,4,4.65,4.66,4.38,30.96,31.13,26.57,64.04,64.78,47.42,45.06,46.3,12.76
Chhattisgarh,Kanker,4.17,4.18,3.52,4.35,4.36,3.93,4.38,4.38,4.33,26.6,26.68,24.75,50.74,51.09,42.96,25.12,25.93,5.86
Chhattisgarh,Kawardha,4.15,4.14,4.19,4.19,4.21,3.87,4.34,4.38,4.1,34.55,35.41,29.01,70.55,73.27,54.91,46.91,51.64,16.02
Chhattisgarh,Korba,4.14,4.04,4.32,4.05,4.01,4.24,4.16,4.04,4.36,29.92,31.5,27.51,56.27,61.96,48.37,34.67,46.95,16.89
Chhattisgarh,Koriya,4.45,4.26,4.84,4.09,4.07,4.23,4.25,4.12,4.6,29.33,31.44,24.15,55.79,61.55,43.27,36.41,43.66,16.22
Chhattisgarh,Mahasamund,3.88,3.87,3.98,4.08,4.09,4.01,4.08,4.08,4.08,29.45,29.7,27.21,61.5,62.51,53.23,36.38,37.88,22.46
Chhattisgarh,Raigarh,3.78,3.72,4.41,4.06,4.05,4.2,4.02,3.95,4.55,28.52,28.85,26.47,61.42,63.3,50.77,36.75,38.72,23.63
Chhattisgarh,Raipur,4.34,4.31,4.47,4.35,4.33,4.49,4.57,4.53,4.67,31.3,32.54,28.32,62.49,66.16,54.35,35.61,42.45,18.91
Chhattisgarh,Rajnandgaon,4.45,4.54,4.22,4.85,4.9,4.09,4.7,4.78,4.36,29.85,30.92,24.51,59.95,62.15,49.85,24.89,28.08,8.55
Chhattisgarh,Surguja,4.32,4.23,5.09,4.4,4.4,4.2,4.36,4.35,4.53,33.67,34.31,26.07,69.63,71.86,47,50.96,54.04,14.74
Jharkhand,Bokaro,5,5,5.1,4.8,4.9,4.8,5.1,5,5.1,30.4,33.3,27.7,60,68.2,53.3,38.5,53.8,24
Jharkhand,Chatra,5.4,5.4,5.4,5.8,5.8,5.5,5.6,5.6,5.8,37.6,38.1,33.3,79.4,81.2,63.8,52.3,55.1,21.6
Jharkhand,Deoghar,5,5,5,5.1,5.1,5.2,5.3,5.3,5,35.8,37.2,28.7,73.5,77.4,56.9,51.3,57.1,20.5
Jharkhand,Dhanbad,5.2,5,5.3,5.2,5.2,5,5.2,5.2,5.3,31.2,33.5,29.6,58.8,66.1,54.4,37.9,49.9,29.6
Jharkhand,Dumka,4.5,4.5,4.5,4.7,4.7,4.7,4.9,4.9,4.7,33.9,34.4,27.8,71.2,72.6,55.2,56.4,58.7,28.3
Jharkhand,Garhwa,5.1,5.1,5,5.1,5.1,5.4,5.2,5.2,5.2,37,37.4,31.8,81,82.5,63.2,61.4,64.3,26.7
Jharkhand,Giridih,5.4,5.4,5.4,5.6,5.6,5.3,5.9,5.9,5.7,37.9,38.4,30.4,80.9,82.8,56.5,55.8,58,17.7
Jharkhand,Godda,5.1,5.1,5.3,4.5,4.5,4.3,5.1,5.1,5.1,37.1,37.5,28.7,81.8,83.1,59.4,60.6,62.9,17.5
Jharkhand,Gumla,4.8,4.8,4.8,5,5,4.6,5,5,4.9,35,35.3,30.8,76.7,78.2,57.8,49.6,51.8,18.9
Jharkhand,Hazaribagh,5.2,5.3,5.1,5.2,5.2,4.9,5.4,5.5,5.3,33.3,34.6,28.6,66.4,71,52,40.1,45.4,19.3
Jharkhand,Kodarma,5.5,5.5,5.3,5.1,5.4,4.7,5.9,6,5.7,36.5,37.5,32.2,77.9,81.3,64,44.6,48.3,25.8
Jharkhand,Lohardaga,4.9,4.9,4.8,5.3,5.3,4.7,5.2,5.2,5.1,36.1,36.9,29.8,77.2,80.4,57.9,47.5,52.5,14
Jharkhand,Pakaur,5,5,5.1,4.7,4.7,4.1,4.9,4.9,4.5,37.6,38.3,24.9,76.6,78.6,48.4,64.1,67.6,10
Jharkhand,Palamu,5.2,5.2,5.2,5.5,5.5,5.2,5.3,5.3,5.6,37,37.4,31.8,80.6,81.7,64.9,56.6,58.6,25.3
Jharkhand,Pashchimi Singhbhum,4.6,4.6,5,4.9,4.9,4.5,4.8,4.8,4.8,33.6,35.1,26.6,69.8,73.8,52.7,54.3,62,21.3
Jharkhand,Purbi Singhbhum,4.6,4.4,4.8,4.6,4.7,4.4,4.7,4.6,4.7,27.4,29.8,25.6,55.5,62.5,50.8,32.8,52,19.1
Jharkhand,Ranchi,4.8,4.7,4.8,5,5.1,4.7,5.1,5.1,5,31.7,34.1,28,63.2,69.6,54,31,44.2,11.3
Jharkhand,Sahibganj,4.9,4.9,5,4.6,4.6,5,5,5,5.1,36.8,37.5,31.6,76.3,78.1,63.9,61.5,65.3,31.1
Madhya Pradesh,Balaghat,4.3,4.2,4.6,4.2,4.3,4.2,4.3,4.2,4.5,27.4,27.8,25,54.4,55.5,48.8,18.5,20.1,10
Madhya Pradesh,Barwani,4.7,4.7,4.8,5.1,5.1,4.5,5,5.1,4.6,36.9,38.8,28.6,74.2,78.3,58.6,69.4,78.1,31.8
Madhya Pradesh,Betul,4.3,4.2,4.5,4.7,4.7,4.2,4.5,4.6,4.4,28,29,23.4,57.4,60.4,45.5,22.6,26.5,6.8
Madhya Pradesh,Bhind,4.7,4.6,4.9,4.7,4.7,4.6,4.7,4.7,4.8,31.1,31.9,29.7,63.6,67.7,57.2,41.8,46.5,34.1
Madhya Pradesh,Bhopal,4.6,4.7,4.6,4.6,5.1,4.5,4.6,4.8,4.5,27,34.8,25.5,52.1,74.2,48.6,13.6,45.8,7.9
Madhya Pradesh,Chhatarpur,4.7,4.6,5.1,4.7,4.8,3.9,4.7,4.7,4.8,34.7,36.3,29.6,79.4,86.9,59.6,42.4,48.9,23.1
Madhya Pradesh,Chhindwara,4.5,4.5,4.4,4.6,4.7,4.4,4.5,4.6,4.4,26.4,27.8,22.9,53.5,56.5,46.4,28.3,34.6,11.9
Madhya Pradesh,Damoh,4.1,4,4.5,4.1,4.1,4.6,4.1,4,4.4,32.2,33.1,28.9,65.8,68.1,58.5,36.3,42.8,13.2
Madhya Pradesh,Datia,4.5,4.4,4.7,4.7,4.8,3.7,4.7,4.7,4.7,29.6,30.9,26.8,60.7,64.7,52.9,40.2,49.1,20.7
Madhya Pradesh,Dewas,4.9,4.8,5,5.2,5.1,5.4,5.1,5.2,5,31,32.1,28.8,65,69.4,57.1,40.1,49.7,20.7
Madhya Pradesh,Dhar,4.8,4.5,5.2,5.3,5.3,4.9,5.2,5.3,5.1,33.4,34.5,29.3,66.3,69.2,56,57,64.5,26.9
Madhya Pradesh,Dindori,4.1,4.1,4.3,4.2,4.2,4,4.2,4.2,4.2,32,32.3,26.3,63.9,64.9,45.3,39,40.4,4.4
Madhya Pradesh,East Nimar,4.6,4.5,4.8,5,5.1,4.3,4.9,4.8,5.3,32.7,33.6,30.3,69.3,71.2,64.4,47.8,57.7,18.1
Madhya Pradesh,Guna,5,5,5.1,5,5,5.2,5.2,5.2,5.1,34,35.4,30.1,71.1,75.4,60.7,54.3,65.1,24.5
Madhya Pradesh,Gwalior,5.1,4.6,5.2,5.1,4.6,5.7,4.9,4.9,5,27.2,32.4,25.1,54.6,65,50.8,25.8,53.9,14
Madhya Pradesh,Harda,4.7,4.6,4.8,5.2,5.2,4.7,4.7,4.7,4.6,30.2,31,27.2,62.3,64.6,54.4,26.3,30.5,9
Madhya Pradesh,Hoshangabad,4.6,4.6,4.6,4.7,4.8,4.2,4.5,4.6,4.4,27.8,29.6,24.6,56.5,61.8,48.3,26.2,33.6,12.6
Madhya Pradesh,Indore,5,5,5,4.8,4.8,4.8,5,5.2,4.9,26.1,31.4,24.6,53.6,65.1,50.5,15.2,40.8,7.3
Madhya Pradesh,Jabalpur,4.3,4.3,4.3,4.4,4.4,4.4,4.4,4.3,4.4,26,30.1,23.4,52.1,59.7,47.6,17.6,32.1,8
Madhya Pradesh,Jhabua,5.3,5.4,5.2,5.8,5.8,5.2,5.6,5.7,5,40.3,41.2,32.1,82.1,84.4,63.8,78.5,84.5,29.6
Madhya Pradesh,Katni,4.3,4.3,4.3,4.1,4.1,3.8,4.1,4.1,4.2,30.6,32.2,26.2,62.2,66.9,51,36.5,44.9,15.1
Madhya Pradesh,Mandla,4.6,4.7,4.4,4.3,4.3,3.9,4.3,4.3,4.4,29.6,30.3,23.4,58.7,60.4,46.4,37,40.5,7.1
Madhya Pradesh,Mandsaur,4.6,4.5,5,4.6,4.6,4.5,4.7,4.7,4.9,28.5,29.4,25.7,59.7,62,52.7,42.2,51,14.1
Madhya Pradesh,Morena,4.9,4.8,5.2,4.8,4.4,5.1,5,4.9,5.2,33.1,34.6,30,65.9,71.1,56.2,48.9,58.4,29.1
Madhya Pradesh,Narsimhapur,4.3,4.3,4.6,4.2,4.2,4.1,4.3,4.3,4.5,28.4,28.9,26,59.3,61,50.9,24.6,26.6,13.7
Madhya Pradesh,Neemuch,4.3,4.2,4.6,4.3,4.2,4.9,4.5,4.3,4.8,27.4,28.2,26.7,58,60.2,56,38.5,51,14.7
Madhya Pradesh,Panna,4.2,4.2,4.6,4.9,4.9,5,4.4,4.3,4.6,35.1,35.9,30.9,76.1,79,62.2,44.2,47.3,28.2
Madhya Pradesh,Raisen,4.8,4.9,4.8,5.1,5.1,4.6,4.8,4.9,4.6,33.2,34.5,29.2,68.4,72.5,56.9,33.8,41.5,9.7
Madhya Pradesh,Rajgarh,4.2,4.2,4.4,4.5,4.3,5.4,4.3,4.3,4.7,30.9,31.6,27.7,66.1,68,56.9,56.3,62.3,24
Madhya Pradesh,Ratlam,4.5,4.3,4.9,4.6,4.5,5,4.7,4.5,4.9,30.5,34.7,25.8,64,74.3,54,40.7,61.7,15.7
Madhya Pradesh,Rewa,4.2,4.2,4.5,3.8,3.7,4.2,4,4,4.2,32.4,33.6,27.1,74.3,78.6,56.7,35.5,39.3,16.5
Madhya Pradesh,Sagar,4.4,4.2,4.7,4.5,4.6,4,4.4,4.4,4.6,30.9,32.4,28.1,63.7,68.5,55.3,24.5,32.2,8.8
Madhya Pradesh,Satna,4.2,4.1,4.4,4.2,4.2,4.1,4.2,4.2,4.3,32,32.8,29.9,68.9,73.8,57.5,36.7,41.4,24.8
Madhya Pradesh,Sehore,5,5,4.9,5.9,5.9,5.2,5.4,5.4,5.2,32.8,33.6,29.8,68.8,71.1,60.1,43.6,49.4,19.9
Madhya Pradesh,Seoni,4.5,4.4,4.8,4.2,4.2,4.4,4.4,4.3,4.6,29.9,30.3,26,58.4,59.4,50.3,29,31.8,2.6
Madhya Pradesh,Shahdol,4,3.8,4.3,3.9,3.9,4.1,4,3.9,4.3,29.5,31.5,24.7,57.1,63.9,42.1,39.3,46.4,19
Madhya Pradesh,Shajapur,4.6,4.5,5.1,4.5,4.5,4.3,4.7,4.6,5.1,31.2,31.1,31.4,69.4,71.3,63.9,44.3,52,19.9
Madhya Pradesh,Sheopur,4.2,4.1,4.8,4.3,4.3,4.7,4.4,4.3,4.7,35.9,36.9,31,71.9,74.7,59.6,72.9,79.8,37
Madhya Pradesh,Shivpuri,4.7,4.6,4.9,4.8,4.8,5.2,4.8,4.8,5,36.8,37.7,31.7,79.8,83.7,61.2,54.5,60.2,23.9
Madhya Pradesh,Sidhi,4.5,4.6,4.1,4.4,4.4,4.9,4.5,4.6,4.5,35.2,36,30.2,70.8,73.8,54.6,50.2,54.3,24.2
Madhya Pradesh,Tikamgarh,4.4,4.4,4.6,4.4,4.4,4.8,4.5,4.4,4.6,33.3,34.7,27.8,70.9,75.7,54.5,46.7,52.7,22.1
Madhya Pradesh,Ujjain,4.7,4.8,4.6,4.8,4.8,4.8,4.9,4.9,4.8,28.9,32,24.6,63.4,72.4,52.6,40,57.8,12.6
Madhya Pradesh,Umaria,4.1,4.1,4.1,4,4,4,4.1,4,4.2,32.1,33.3,27.3,62.8,66.4,50.1,42.1,47.8,18.7
Madhya Pradesh,Vidisha,4.9,5,4.5,5,5,4.5,4.8,4.9,4.4,33.6,35.7,28.4,71.8,79.1,56,30.6,37.1,14.2
Madhya Pradesh,West Nimar,4.4,4.3,4.8,4.8,4.8,4.5,4.7,4.7,4.7,31.5,32.3,27.2,62.3,64.5,52.4,48.2,54,18.2
Odisha,Anugul,4.21,4.16,4.73,4.22,4.25,4.04,4.24,4.22,4.37,26.04,26.36,24.46,54.58,56.52,45.57,22.02,23.67,13.81
Odisha,Balangir,4.14,4.11,4.62,4.02,4.01,4.23,4.05,4.02,4.45,27.08,27.29,24.69,60.59,61.37,52.48,32.87,34.9,10.66
Odisha,Baleshwar,4.34,4.34,4.41,4.66,4.65,4.72,4.25,4.24,4.33,27.7,28.29,23.4,61.27,62.95,49.88,12.85,13.76,5.92
Odisha,Bargarh,4.02,3.98,4.54,4.12,4.11,4.51,4.13,4.1,4.51,22.94,22.9,23.42,50.71,50.86,49.12,21.61,22.69,9.62
Odisha,Baudh,4.12,4.09,4.73,3.61,3.6,3.87,4.15,4.14,4.34,29.71,30.06,23.22,62.92,63.76,48.78,31.4,32.36,12.27
Odisha,Bhadrak,4.76,4.75,4.97,4.87,4.92,4.3,4.8,4.74,5.29,28.91,28.94,28.75,63.26,63.71,60.08,17.98,18.37,14.9
Odisha,Cuttack,4.34,4.24,4.96,4.14,4.12,4.47,4.27,4.22,4.43,24.11,24.55,22.9,55.97,58.8,48.64,11.86,13.87,5.9
Odisha,Debagarh,3.83,3.8,4.03,4.15,4.15,4.14,3.86,3.84,4.05,27.56,27.69,26.32,58.75,59.46,52.28,23.61,24.4,15.37
Odisha,Dhenkanal,4.28,4.24,4.56,4.47,4.47,5.8,4.23,4.2,4.5,26.16,26.44,23.31,61.5,62.44,52.78,19.4,20.08,12.36
Odisha,Gajapati,3.6,3.62,3.45,3.71,3.75,1.9,3.74,3.75,3.64,28.34,29.27,20.53,58.02,59.79,44.52,52.88,57.03,21.77
Odisha,Ganjam,4.3,4.23,4.76,4.08,4.07,4.33,4.33,4.31,4.41,26.79,27.77,21.63,60.48,63.35,46.98,34.07,38.52,10
Odisha,Jagatsinghapur,3.98,3.98,4.06,3.25,3.39,2.85,3.92,3.97,3.59,21.65,21.49,22.91,52.17,54.08,38.84,9.8,9.88,9.19
Odisha,Jajapur,4.33,4.31,5.03,4.84,4.87,4.1,4.51,4.51,4.5,25.76,25.96,21.92,57.37,57.9,47.69,21.53,21.99,11.72
Odisha,Jharsuguda,4.11,3.99,4.33,4.23,4.21,4.32,4.21,4.11,4.37,24.48,23.75,25.69,50.51,51.97,48.15,19.77,22.37,15.65
Odisha,Kalahandi,3.65,3.62,4.1,3.63,3.63,3.71,3.67,3.63,3.93,27.67,28.24,23.09,57.61,59.49,43.93,45.99,49.98,14.85
Odisha,Kandhamal,3.79,3.77,4.27,3.88,3.87,4.26,3.81,3.77,4.26,29.03,29.34,25.87,62.44,63.61,51.35,38.77,41.7,10
Odisha,Kendrapara,4.48,4.45,4.96,4.31,4.41,3.55,4.37,4.36,4.51,25.94,26.22,21.68,64.74,65.59,52.74,17.9,18.39,10.24
Odisha,Kendujhar,4.33,4.31,4.45,4.64,4.65,4.54,4.46,4.45,4.52,28.58,28.88,27.17,59.19,60.74,52.37,27.25,28.94,19.49
Odisha,Khordha,4.48,4.61,4.19,4.25,4.42,4.01,4.26,4.5,4.01,24.14,25.47,22.54,51.59,57.5,45.02,9.46,11.51,7.09
Odisha,Koraput,3.94,3.9,4.13,3.91,3.94,3.56,3.94,3.93,3.99,31.98,33.24,25.98,64.51,67.93,50.01,68.06,76.24,30.83
Odisha,Malkangiri,4.15,4.15,4.16,4.23,4.23,4.11,4.19,4.21,4.01,33.65,33.95,30.32,67.95,69.08,56.18,68.81,71.96,33.03
Odisha,Mayurbhanj,4.09,4.1,4,4.39,4.39,4.17,4.19,4.19,4.27,29.12,29.57,23.18,61.74,62.72,49.86,44.2,46.1,19.13
Odisha,Nabarangapur,3.99,3.98,4.09,4.16,4.16,3.45,4.04,4.05,3.86,33.36,33.82,24.19,67.89,69.23,44.9,70.57,73.34,15.78
Odisha,Nayagarh,3.66,3.67,3.31,3.36,3.39,2.42,3.6,3.61,3.52,25.56,25.69,22.03,63.28,63.79,51.01,11.99,12.28,4.33
Odisha,Nuapada,3.99,3.99,4.33,4.03,4.04,3.54,4,4,4,30.21,30.42,25.08,67.86,68.69,50.35,53.82,55.23,21.74
Odisha,Puri,4.31,4.31,4.26,4.29,4.21,4.8,4.37,4.38,4.31,22.84,22.83,22.86,51.1,51.83,47.43,13.72,13.74,13.66
Odisha,Rayagada,3.69,3.63,4.19,3.94,3.94,3.87,3.77,3.75,3.86,29.1,29.97,24.78,58.68,61.27,47.06,57.48,65.66,20.38
Odisha,Sambalpur,4.19,3.96,4.51,4.2,4.17,4.34,4.21,4.09,4.4,25.28,25.57,24.81,53.38,55,50.82,22.69,27.25,15.52
Odisha,Sonapur,4.1,4.1,4.17,4.06,4.07,3.48,4.01,4.01,3.95,25.39,25.5,23.53,57.82,58.21,51.67,22.06,22.7,11.74
Odisha,Sundargarh,4.19,4.05,4.55,4.48,4.53,4.19,4.36,4.39,4.3,26.49,27.14,25.14,54.18,57.62,47.44,24.09,31.18,10.65
Rajasthan,Ajmer,4.7,4.7,4.8,4.8,4.9,4.5,4.9,5,4.7,31.3,34.2,27,64.6,72,54.8,24.6,31.1,15.2
Rajasthan,Alwar,4.9,5,4.6,5,5.1,5,5,5.1,4.5,31.9,32.5,26.3,65.4,67.2,51.3,46.7,49.2,25.3
Rajasthan,Banswara,4.8,4.8,5.9,5.2,5.2,5,5.1,5.1,4.6,37.2,37.7,27.2,79.7,81.2,57.5,69,72.2,20.7
Rajasthan,Baran,4.8,4.8,4.8,4.7,4.7,4.5,4.9,4.9,4.8,30.8,31.2,28.4,66.9,68.6,58.5,49.9,55,20.9
Rajasthan,Barmer,5.7,5.7,5.6,5.6,5.7,5.3,5.7,5.7,5.9,40.7,41.6,30.6,94.4,97.8,62.1,69.2,73,26.9
Rajasthan,Bharatpur,5.1,5.1,5.2,5.1,5.1,5.2,5.3,5.4,5.1,34.7,35.4,31.8,72.3,74.3,64.5,43.8,47.1,30.1
Rajasthan,Bhilwara,4.6,4.6,5,4.7,4.6,4.9,4.8,4.7,5.3,31.8,32.6,28.3,68.5,70.6,60.5,62.7,69.7,34.5
Rajasthan,Bikaner,5.4,5.4,5.3,4.9,5.1,4.5,5.2,5.4,4.9,34.1,38.2,27.8,69.2,79.3,55.9,50,63.7,30.8
Rajasthan,Bundi,4.7,4.6,4.7,4.6,4.6,4.7,4.8,4.8,4.8,30.8,32.1,26.3,62,65.3,51.7,48.8,58.3,15.7
Rajasthan,Chittaurgarh,4.4,4.4,4.5,4.8,4.8,4.4,4.6,4.6,4.7,29.5,30.3,26,63.3,65.6,54.2,56.5,64.6,21
Rajasthan,Churu,5.5,5.6,5.5,4.9,4.8,5.2,5.4,5.4,5.4,34.3,35,32.4,71.7,74.2,65.2,49.5,53.4,38.8
Rajasthan,Dausa,4.8,4.8,5.1,5,5,4.5,4.9,4.9,5,34.8,35.2,31.1,73.4,74.4,64.2,45.3,47.4,23.5
Rajasthan,Dhaulpur,5.7,5.6,5.8,5.6,5.6,5.4,5.8,5.7,6.1,37.8,38.9,34.6,78.7,82.5,68.5,64.9,69.6,50.9
Rajasthan,Dungarpur,4.7,4.6,5.2,5.2,5.2,5,5,5,4.8,35.2,35.9,27.5,75.6,77.5,55.4,64.6,68.5,24
Rajasthan,Ganganagar,4.7,4.6,4.7,4.4,4.3,4.6,4.6,4.7,4.5,27.3,28.6,24.2,55.7,58.2,49.8,38.1,44.9,21.1
Rajasthan,Hanumangarh,5,5,5.1,4.7,4.6,4.9,5,5,4.8,29.5,29.7,28.7,59.3,59.7,58,46.9,48.9,39
Rajasthan,Jaipur,4.8,4.9,4.6,5.2,5.3,4.9,4.9,5.3,4.6,30.7,33.1,28.4,60.9,67.1,55.5,31.7,48.1,15.9
Rajasthan,Jaisalmer,5.5,5.6,5,5.5,5.6,4.9,5.3,5.5,4.8,37.8,39.7,28.1,80.4,86.3,55.1,50.5,59,14.7
Rajasthan,Jalor,5.3,5.4,5,5.2,5.2,5.2,5.2,5.2,5.2,37,37.4,32.7,83.9,85.8,64.7,72.9,75.2,47.2
Rajasthan,Jhalawar,4.6,4.6,4.6,4.7,4.7,4.2,4.8,4.8,4.9,30.6,31.3,26.9,67.3,69.5,56.3,61.6,69.2,19
Rajasthan,Jhunjhunun,4.9,4.8,5.1,4.8,4.7,5,4.8,4.7,5,30.3,29.8,31.7,63.5,64.2,61.6,26.8,26.7,27.2
Rajasthan,Jodhpur,5.2,5.3,5.1,5,5.3,4.6,5.1,5.3,4.8,34.4,37.3,29.4,69.3,78.7,55.3,52.6,69.8,25.9
Rajasthan,Karauli,5.3,5.3,5.1,5.1,5.1,5,5.2,5.2,5.3,36.3,37.2,32.4,78.1,81.6,65.4,67.8,75,40.2
Rajasthan,Kota,4.8,4.8,4.9,4.6,4.7,4.6,4.8,4.9,4.7,28.1,30.9,25.8,57.7,66.4,51.2,36,53.1,22.3
Rajasthan,Nagaur,5.4,5.3,5.8,5.5,5.5,5.8,5.5,5.4,5.7,31.5,31.5,31.9,64.1,64.5,61.9,48.2,52,28.3
Rajasthan,Pali,4.9,4.9,5,4.7,4.7,4.4,4.8,4.7,5,32,32.8,29.1,73.1,78,57.8,56.8,61.8,41.1
Rajasthan,Rajsamand,4.8,4.7,5.3,4.8,4.8,4.8,4.7,4.6,4.8,31.8,32.5,27.2,72.5,75.6,55.8,45.1,50.3,16
Rajasthan,Sawai Madhopur,5.2,5.1,5.4,5,5,4.7,5.1,5.1,5.3,33,34,29.8,69,72.5,59.1,61.4,69.5,37.2
Rajasthan,Sikar,5.3,5.3,5.4,4.9,5,4.3,5.3,5.3,5.3,31.3,31.5,30.6,63.6,65.2,59,27.5,31.5,15.3
Rajasthan,Sirohi,4.9,4.9,5.1,5.3,5.4,4.6,4.9,4.9,4.9,33.4,34.5,27.5,70.9,74.3,54.5,66,71.5,36.3
Rajasthan,Tonk,5.1,5,5.9,4.8,4.8,5.2,5.1,5,5.6,31.6,32.1,30.1,65,66.8,59.7,53,58.7,34.5
Rajasthan,Udaipur,4.6,4.7,4.6,5.1,5.1,4.8,4.9,4.9,4.8,34.1,36.9,25.4,74.4,82.6,53.2,55.3,71.3,10.9
Uttar Pradesh,Agra,6.08,6.01,6.13,5.59,6.26,4.97,5.97,6.11,5.85,34.44,38.02,31.04,67.76,78.77,58.51,33.71,44.56,23.02
Uttar Pradesh,Aligarh,5.68,5.57,6.08,6.31,5.84,6.87,5.96,5.78,6.39,34.83,36.32,31.74,73.61,78.91,63.55,43.16,47.59,33.13
Uttar Pradesh,Allahabad,4.92,4.92,4.94,4.93,4.9,5.33,5.27,5.35,5.01,34.45,37.04,25.84,76.34,84.84,52.97,47.05,55.06,15.97
Uttar Pradesh,Ambedkar Nagar,5.29,5.29,4.92,5.84,5.77,6.8,5.62,5.62,5.63,35.44,35.56,34,84.25,85.74,68.64,48.52,49.75,33.4
Uttar Pradesh,Auraiya,5.22,5.14,5.88,4.84,4.84,5,4.99,4.98,5.02,31.94,32.93,27.26,71.71,74.38,60.25,32.03,35.91,13.91
Uttar Pradesh,Azamgarh,5.69,5.7,5.53,5.64,5.49,7,6.1,6.11,6,35.18,35.38,33.08,81.39,82.82,67.27,44.65,46.84,19.52
