State_Name,State_District_Name,BB_Average_Household_Size_Sc_Total,BB_Average_Household_Size_Sc_Rural,BB_Average_Household_Size_Sc_Urban,BB_Average_Household_Size_St_Total,BB_Average_Household_Size_St_Rural,BB_Average_Household_Size_St_Urban,BB_Average_Household_Size_All_Total,BB_Average_Household_Size_All_Rural,BB_Average_Household_Size_All_Urban,BB_Population_Below_Age_15_Years_Total,BB_Population_Below_Age_15_Years_Rural,BB_Population_Below_Age_15_Years_Urban,BB_Dependency_Ratio_Total,BB_Dependency_Ratio_Rural,BB_Dependency_Ratio_Urban,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Total,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Rural,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Urban
Uttar Pradesh,Jyotiba Phule Nagar,5.56,5.57,5.55,5.89,5.82,6.08,5.79,5.76,5.89,36.32,37.07,33.82,75.68,78.97,65.54,54.7,60.03,37.19
Uttar Pradesh,Kannauj,5.42,5.37,5.72,5.04,4.86,7.47,5.71,5.63,6.01,35.27,35.79,33.24,75.36,78.05,65.66,39.3,41.33,31.48
Uttar Pradesh,Kanpur Dehat,4.86,4.85,5.29,4.76,4.7,6.5,4.81,4.8,4.94,30.8,31.26,25.81,69.62,71.27,53.58,35.92,37.24,21.93
Uttar Pradesh,Kanpur Nagar,4.96,4.9,4.99,4.51,4.75,4.45,4.89,4.8,4.92,26.54,30.29,25.36,53.74,69.07,49.46,21.44,34.25,17.84
Uttar Pradesh,Kaushambi,4.82,4.79,5.09,4.52,4.29,5.42,5.12,5.11,5.22,36.9,36.86,37.32,87.11,87.61,82.44,64.75,65.88,53.79
Uttar Pradesh,Kheri,4.85,4.85,4.93,6.75,6.76,6,5.08,5.11,4.79,36.39,37.4,25.76,78.03,81.03,51.63,57.83,61.96,15.72
Uttar Pradesh,Kushinagar,5.23,5.23,5.67,4.9,4.91,3,5.61,5.6,6.18,37.97,38.09,31.61,86.93,87.46,62.26,53.38,53.77,29.5
Uttar Pradesh,Lalitpur,4.69,4.63,5.11,4.62,4.63,2,4.87,4.86,4.94,36.15,37.32,28.41,79.88,83.14,60.81,58.09,63.83,17.32
Uttar Pradesh,Lucknow,4.93,4.79,5.2,4.62,4.52,4.75,4.98,5.04,4.93,28.31,33.5,24.62,57.77,73.72,48.1,31.11,51.3,17.92
Uttar Pradesh,Maharajganj,5.06,5.04,5.48,5.04,4.9,8,5.29,5.25,5.75,37.32,37.77,32.03,85.29,87.38,63.45,57.55,59.85,26.08
Uttar Pradesh,Mahoba,4.65,4.6,4.75,4.45,4.62,4.13,4.75,4.71,4.82,32.98,33.84,31.16,76.07,81.87,64.92,50.08,58.05,32.77
Uttar Pradesh,Mainpuri,5.62,5.57,5.99,6.42,6.5,6.32,5.69,5.67,5.8,35.27,35.83,32.73,76.69,79.69,64.3,30.4,31.62,24.64
Uttar Pradesh,Mathura,5.63,5.52,5.89,5.77,5.62,7.75,5.77,5.77,5.77,35.13,37.47,30.77,72.47,78.8,61.79,39.64,46.13,27.03
Uttar Pradesh,Mau,5.63,5.69,5.39,5.5,5.55,5.31,5.95,5.96,5.9,35.83,35.97,35.34,81.17,83.11,75.01,44.35,46.85,35.18
Uttar Pradesh,Meerut,5.62,5.57,5.67,6.13,5.73,7.18,6.01,6.09,5.91,34.51,35.98,32.65,69.17,75.07,62.28,38.14,42.94,31.81
Uttar Pradesh,Mirzapur,5.24,5.24,5.2,6.09,6.06,7.11,5.72,5.74,5.62,35.62,36.45,29.71,79.95,82.89,61.5,48.5,51.38,28.31
Uttar Pradesh,Moradabad,5.73,5.69,5.85,5.35,5.29,5.69,6.01,6.06,5.9,37.09,39.21,32.8,74.04,81.25,61.05,56.16,66.2,34.69
Uttar Pradesh,Muzaffarnagar,5.52,5.54,5.46,7.08,7.34,6.78,5.89,5.94,5.78,33.82,34.81,31.26,70.26,73.53,62.31,44.26,48.94,32.09
Uttar Pradesh,Pilibhit,5.23,5.25,5.08,5.96,5.89,7,5.54,5.53,5.59,35.43,36.51,29.96,73.17,76.72,57.16,58.77,62.26,39.69
Uttar Pradesh,Pratapgarh,5.12,5.12,5.2,4.76,4.77,4.67,5.54,5.52,5.96,35.1,35.32,30.43,81.67,82.56,64.56,51.21,52.45,23.63
Uttar Pradesh,Rae Bareli,5.02,5.01,5.16,4.48,4.5,4.2,5.17,5.18,5.07,31.61,31.92,27.99,72.86,74.6,54.95,49.84,51.76,27.18
