State_Name,State_District_Name,GG_Children_Aged_5_14_Years_Engaged_In_Work_Person_Total,GG_Children_Aged_5_14_Years_Engaged_In_Work_Person_Rural,GG_Children_Aged_5_14_Years_Engaged_In_Work_Person_Urban,GG_Children_Aged_5_14_Years_Engaged_In_Work_Male_Total,GG_Children_Aged_5_14_Years_Engaged_In_Work_Male_Rural,GG_Children_Aged_5_14_Years_Engaged_In_Work_Male_Urban,GG_Children_Aged_5_14_Years_Engaged_In_Work_Female_Total,GG_Children_Aged_5_14_Years_Engaged_In_Work_Female_Rural,GG_Children_Aged_5_14_Years_Engaged_In_Work_Female_Urban,GG_Work_Participation_Rate_15_Years_And_Above_Person_Total,GG_Work_Participation_Rate_15_Years_And_Above_Person_Rural,GG_Work_Participation_Rate_15_Years_And_Above_Person_Urban,GG_Work_Participation_Rate_15_Years_And_Above_Male_Total,GG_Work_Participation_Rate_15_Years_And_Above_Male_Rural,GG_Work_Participation_Rate_15_Years_And_Above_Male_Urban,GG_Work_Participation_Rate_15_Years_And_Above_Female_Total,GG_Work_Participation_Rate_15_Years_And_Above_Female_Rural,GG_Work_Participation_Rate_15_Years_And_Above_Female_Urban
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),2.32,2.11,NA,2.48,2.23,NA,2.12,1.96,NA,37.6,36.28,45.33,67.84,66.02,77.38,11.53,11.47,11.88
Uttar Pradesh,Shahjahanpur,3.18,3.32,2.32,4.7,4.93,3.33,1.38,1.43,1.11,45.5,46.44,41.47,79.91,81.45,73.03,5.63,5.3,6.96
Uttar Pradesh,Shrawasti,4.13,4.08,5.87,5.19,5.14,7.11,2.9,2.87,4.17,41.65,41.63,NA,79.27,79.46,NA,8.87,8.85,NA
Uttar Pradesh,Siddharthnagar,3.64,3.66,NA,4.55,4.53,NA,2.71,2.76,NA,37.36,37.04,NA,72.59,72.37,NA,12.78,12.78,NA
Uttar Pradesh,Sitapur,4.13,4.29,NA,5.86,6.08,NA,2.11,2.23,NA,45.13,45.45,42.4,80.48,81.01,75.74,4.36,4.13,6.24
Uttar Pradesh,Sonbhadra,3.25,3.47,1.61,3.5,3.71,2.04,2.98,3.22,1.05,50.26,51.49,44.47,77.59,78.44,73.93,23.32,25.79,10.34
Uttar Pradesh,Sultanpur,4.23,4.33,2.13,5.57,5.72,2.77,2.75,2.82,1.36,37.92,37.68,NA,74.08,74.04,NA,4.15,3.89,NA
Uttar Pradesh,Unnao,2.83,2.72,NA,3.97,3.85,NA,1.58,1.47,NA,43.63,44.11,41.51,75.9,77.15,70.35,7.49,7.16,8.96
Uttar Pradesh,Varanasi,3,1.82,4.66,3.63,2.11,5.75,2.23,1.48,3.31,42.2,39.48,45.04,72.18,69.24,75.03,11.16,10.75,11.62
Uttarakhand,Almora,0.3,0.3,0.28,0.34,0.33,0.51,0.25,0.26,0,30.74,29.8,41.57,62.23,61.7,67.58,6.63,5.83,16.85
Uttarakhand,Bageshwar,0.31,0.29,0.63,0.35,0.32,1.09,0.26,0.27,0,29.97,29.37,41.83,60.52,59.92,71.12,5.45,5.09,13.28
Uttarakhand,Chamoli,0.22,0.23,0.16,0.34,0.35,0.25,0.1,0.11,0.05,31.87,30.48,39.66,62.01,60.78,68.24,5.27,4.5,10
Uttarakhand,Champawat,0.44,0.24,1.61,0.61,0.28,2.39,0.23,0.19,0.49,31.86,30.49,39.62,64.38,62.67,73.17,3.42,3.11,5.36
Uttarakhand,Dehradun,2.96,2.94,2.97,3.45,3.37,3.52,2.37,2.46,2.31,41.71,40.13,42.76,69.05,68.88,69.16,13.66,11.34,15.23
Uttarakhand,Haridwar,3.13,3.37,2.34,4.2,4.55,2.99,1.88,1.96,1.63,45.08,43.76,46.89,75.58,75.01,76.36,10.98,8.6,14.22
Uttarakhand,Nainital,0.89,0.66,1.29,1.2,0.68,2.1,0.53,0.63,0.34,42.26,40.31,45.57,73.49,70.99,77.66,9.62,8.87,10.94
Uttarakhand,Pauri Garhwal,2.71,2.59,3.56,2.78,2.57,4.16,2.64,2.61,2.86,33.16,31.76,40.66,59.09,57.36,67.33,12.58,12.18,14.94
Uttarakhand,Pithoragarh,0.27,0.29,0.21,0.34,0.35,0.27,0.19,0.21,0.11,31.65,31.3,33.26,62.65,63.03,60.9,5.95,5.05,10.12
Uttarakhand,Rudraprayag,0.09,0.09,NA,0.08,0.08,NA,0.11,0.11,NA,27.32,27.15,NA,58.56,58.37,NA,5.07,5,NA
Uttarakhand,Tehri Garhwal,2.07,2.14,1.62,2.06,2.07,1.95,2.09,2.2,1.2,31.85,30.47,39.99,62.49,61.4,67.58,10.39,10.1,12.42
Uttarakhand,Udham Singh Nagar,1.8,1.97,1.35,2.59,2.92,1.73,0.91,0.91,0.9,43.6,43.02,44.92,74.2,73.76,75.21,10.04,9.62,11.05
Uttarakhand,Uttarkashi,1.76,1.89,0.81,1.92,2.07,0.95,1.57,1.7,0.62,40.26,39.96,42.14,65.86,65.94,65.44,16.38,16.24,17.33
