Source,Product,Quantity(mts)
China,Urea,12500
Jordan,D.A.P.,12500
"MMTC, India",Urea,12500
"MMTC, India",Urea,7500
"MMTC, India",Urea,12500
"MMTC, India",D.A.P.,          7500
"MMTC, India",M.O.P.,5000
"MMTC, India",D.A.P,7500
,Total,77500
,,
,,
