State,LandCategory,Region,Region or State,Year,Acre Value
Nevada,Farm Real Estate,Mountain,State,2013,1040
New Mexico,Farm Real Estate,Mountain,State,2013,500
Utah,Farm Real Estate,Mountain,State,2013,1900
Wyoming,Farm Real Estate,Mountain,State,2013,600
Pacific,Farm Real Estate,Pacific,Region,2013,4290
California,Farm Real Estate,Pacific,State,2013,6900
Oregon,Farm Real Estate,Pacific,State,2013,1970
Washington,Farm Real Estate,Pacific,State,2013,2300
United States,Farm Real Estate,Continental U.S.,Region,2013,2730
Northeast,Farm Real Estate,Northeast,Region,2014,4930
Connecticut,Farm Real Estate,Northeast,State,2014,11200
Delaware,Farm Real Estate,Northeast,State,2014,8180
Maine,Farm Real Estate,Northeast,State,2014,2080
Maryland,Farm Real Estate,Northeast,State,2014,6900
Massachusetts,Farm Real Estate,Northeast,State,2014,10400
New Hampshire,Farm Real Estate,Northeast,State,2014,4280
New Jersey,Farm Real Estate,Northeast,State,2014,12800
New York,Farm Real Estate,Northeast,State,2014,2700
Pennsylvania,Farm Real Estate,Northeast,State,2014,5600
Rhode Island,Farm Real Estate,Northeast,State,2014,13700
Vermont,Farm Real Estate,Northeast,State,2014,3260
Lake,Farm Real Estate,Lake States,Region,2014,4640
Michigan,Farm Real Estate,Lake States,State,2014,4700
Minnesota,Farm Real Estate,Lake States,State,2014,4750
Wisconsin,Farm Real Estate,Lake States,State,2014,4400
Corn Belt,Farm Real Estate,Corn Belt,Region,2014,6370
Illinois,Farm Real Estate,Corn Belt,State,2014,7520
Indiana,Farm Real Estate,Corn Belt,State,2014,6950
Iowa,Farm Real Estate,Corn Belt,State,2014,8500
Missouri,Farm Real Estate,Corn Belt,State,2014,3100
Ohio,Farm Real Estate,Corn Belt,State,2014,5550
Northern Plains,Farm Real Estate,Northern Plains,Region,2014,2280
Kansas,Farm Real Estate,Northern Plains,State,2014,2050
Nebraska,Farm Real Estate,Northern Plains,State,2014,3120
North Dakota,Farm Real Estate,Northern Plains,State,2014,1820
South Dakota,Farm Real Estate,Northern Plains,State,2014,2070
Appalachian,Farm Real Estate,Appalachian,Region,2014,3690
Kentucky,Farm Real Estate,Appalachian,State,2014,3150
North Carolina,Farm Real Estate,Appalachian,State,2014,4510
Tennessee,Farm Real Estate,Appalachian,State,2014,3600
Virginia,Farm Real Estate,Appalachian,State,2014,4320
West Virginia,Farm Real Estate,Appalachian,State,2014,2560
Southeast,Farm Real Estate,Southeast,Region,2014,3630
Alabama,Farm Real Estate,Southeast,State,2014,2600
Florida,Farm Real Estate,Southeast,State,2014,5250
Georgia,Farm Real Estate,Southeast,State,2014,3300
South Carolina,Farm Real Estate,Southeast,State,2014,3010
Delta,Farm Real Estate,Delta States,Region,2014,2640
Arkansas,Farm Real Estate,Delta States,State,2014,2850
Louisiana,Farm Real Estate,Delta States,State,2014,2670
Mississippi,Farm Real Estate,Delta States,State,2014,2340
Southern Plains,Farm Real Estate,Southern Plains,Region,2014,1790
Oklahoma,Farm Real Estate,Southern Plains,State,2014,1580
Texas,Farm Real Estate,Southern Plains,State,2014,1850
Mountain,Farm Real Estate,Mountain,Region,2014,1070
Arizona,Farm Real Estate,Mountain,State,2014,3740
Colorado,Farm Real Estate,Mountain,State,2014,1350
Idaho,Farm Real Estate,Mountain,State,2014,2360
Montana,Farm Real Estate,Mountain,State,2014,860
Nevada,Farm Real Estate,Mountain,State,2014,1080
New Mexico,Farm Real Estate,Mountain,State,2014,520
Utah,Farm Real Estate,Mountain,State,2014,2030
Wyoming,Farm Real Estate,Mountain,State,2014,630
Pacific,Farm Real Estate,Pacific,Region,2014,4520
California,Farm Real Estate,Pacific,State,2014,7300
Oregon,Farm Real Estate,Pacific,State,2014,2050
Washington,Farm Real Estate,Pacific,State,2014,2500
United States,Farm Real Estate,Continental U.S.,Region,2014,2950
Northeast,Farm Real Estate,Northeast,Region,2015,5020
Connecticut,Farm Real Estate,Northeast,State,2015,11300
Delaware,Farm Real Estate,Northeast,State,2015,8180
Maine,Farm Real Estate,Northeast,State,2015,2090
Maryland,Farm Real Estate,Northeast,State,2015,7000
Massachusetts,Farm Real Estate,Northeast,State,2015,10400
New Hampshire,Farm Real Estate,Northeast,State,2015,4280
New Jersey,Farm Real Estate,Northeast,State,2015,13000
New York,Farm Real Estate,Northeast,State,2015,3000
Pennsylvania,Farm Real Estate,Northeast,State,2015,5500
Rhode Island,Farm Real Estate,Northeast,State,2015,13800
Vermont,Farm Real Estate,Northeast,State,2015,3300
Lake,Farm Real Estate,Lake States,Region,2015,4740
Michigan,Farm Real Estate,Lake States,State,2015,4900
Minnesota,Farm Real Estate,Lake States,State,2015,4700
Wisconsin,Farm Real Estate,Lake States,State,2015,4700
Corn Belt,Farm Real Estate,Corn Belt,Region,2015,6350
Illinois,Farm Real Estate,Corn Belt,State,2015,7500
Indiana,Farm Real Estate,Corn Belt,State,2015,7150
Iowa,Farm Real Estate,Corn Belt,State,2015,8000
Missouri,Farm Real Estate,Corn Belt,State,2015,3350
Ohio,Farm Real Estate,Corn Belt,State,2015,5750
Northern Plains,Farm Real Estate,Northern Plains,Region,2015,2340
Kansas,Farm Real Estate,Northern Plains,State,2015,2030
Nebraska,Farm Real Estate,Northern Plains,State,2015,3050
North Dakota,Farm Real Estate,Northern Plains,State,2015,1920
South Dakota,Farm Real Estate,Northern Plains,State,2015,2320
Appalachian,Farm Real Estate,Appalachian,Region,2015,3730
Kentucky,Farm Real Estate,Appalachian,State,2015,3250
North Carolina,Farm Real Estate,Appalachian,State,2015,4500
Tennessee,Farm Real Estate,Appalachian,State,2015,3650
Virginia,Farm Real Estate,Appalachian,State,2015,4320
West Virginia,Farm Real Estate,Appalachian,State,2015,2600
Southeast,Farm Real Estate,Southeast,Region,2015,3670
Alabama,Farm Real Estate,Southeast,State,2015,2630
Florida,Farm Real Estate,Southeast,State,2015,5400
Georgia,Farm Real Estate,Southeast,State,2015,3270
South Carolina,Farm Real Estate,Southeast,State,2015,3010
Delta,Farm Real Estate,Delta States,Region,2015,2780
Arkansas,Farm Real Estate,Delta States,State,2015,3050
Louisiana,Farm Real Estate,Delta States,State,2015,2800
Mississippi,Farm Real Estate,Delta States,State,2015,2420
Southern Plains,Farm Real Estate,Southern Plains,Region,2015,1890
Oklahoma,Farm Real Estate,Southern Plains,State,2015,1700
Texas,Farm Real Estate,Southern Plains,State,2015,1940
Mountain,Farm Real Estate,Mountain,Region,2015,1100
Arizona,Farm Real Estate,Mountain,State,2015,3780
Colorado,Farm Real Estate,Mountain,State,2015,1440
Idaho,Farm Real Estate,Mountain,State,2015,2470
Montana,Farm Real Estate,Mountain,State,2015,890
Nevada,Farm Real Estate,Mountain,State,2015,1130
New Mexico,Farm Real Estate,Mountain,State,2015,510
Utah,Farm Real Estate,Mountain,State,2015,2050
Wyoming,Farm Real Estate,Mountain,State,2015,660
Pacific,Farm Real Estate,Pacific,Region,2015,4780
California,Farm Real Estate,Pacific,State,2015,7700
Oregon,Farm Real Estate,Pacific,State,2015,2120
Washington,Farm Real Estate,Pacific,State,2015,2700
United States,Farm Real Estate,Continental U.S.,Region,2015,3020
Northeast,Farm Real Estate,Northeast,Region,2016,5010
Connecticut,Farm Real Estate,Northeast,State,2016,11200
Delaware,Farm Real Estate,Northeast,State,2016,8400
Maine,Farm Real Estate,Northeast,State,2016,2090
Maryland,Farm Real Estate,Northeast,State,2016,7060
Massachusetts,Farm Real Estate,Northeast,State,2016,10400
New Hampshire,Farm Real Estate,Northeast,State,2016,4350
New Jersey,Farm Real Estate,Northeast,State,2016,12800
New York,Farm Real Estate,Northeast,State,2016,2980
Pennsylvania,Farm Real Estate,Northeast,State,2016,5500
Rhode Island,Farm Real Estate,Northeast,State,2016,13800
Vermont,Farm Real Estate,Northeast,State,2016,3320
Lake,Farm Real Estate,Lake States,Region,2016,4730
Michigan,Farm Real Estate,Lake States,State,2016,4800
Minnesota,Farm Real Estate,Lake States,State,2016,4700
Wisconsin,Farm Real Estate,Lake States,State,2016,4750
Corn Belt,Farm Real Estate,Corn Belt,Region,2016,6290
Illinois,Farm Real Estate,Corn Belt,State,2016,7400
Indiana,Farm Real Estate,Corn Belt,State,2016,7150
Iowa,Farm Real Estate,Corn Belt,State,2016,7850
Missouri,Farm Real Estate,Corn Belt,State,2016,3400
Ohio,Farm Real Estate,Corn Belt,State,2016,5700
Northern Plains,Farm Real Estate,Northern Plains,Region,2016,2240
Kansas,Farm Real Estate,Northern Plains,State,2016,1880
Nebraska,Farm Real Estate,Northern Plains,State,2016,2950
North Dakota,Farm Real Estate,Northern Plains,State,2016,1830
South Dakota,Farm Real Estate,Northern Plains,State,2016,2250
Appalachian,Farm Real Estate,Appalachian,Region,2016,3760
Kentucky,Farm Real Estate,Appalachian,State,2016,3350
North Carolina,Farm Real Estate,Appalachian,State,2016,4450
Tennessee,Farm Real Estate,Appalachian,State,2016,3700
Virginia,Farm Real Estate,Appalachian,State,2016,4300
West Virginia,Farm Real Estate,Appalachian,State,2016,2570
Southeast,Farm Real Estate,Southeast,Region,2016,3730
Alabama,Farm Real Estate,Southeast,State,2016,2700
Florida,Farm Real Estate,Southeast,State,2016,5400
Georgia,Farm Real Estate,Southeast,State,2016,3400
South Carolina,Farm Real Estate,Southeast,State,2016,3000
Delta,Farm Real Estate,Delta States,Region,2016,2820
Arkansas,Farm Real Estate,Delta States,State,2016,3050
Louisiana,Farm Real Estate,Delta States,State,2016,2900
Mississippi,Farm Real Estate,Delta States,State,2016,2470
Southern Plains,Farm Real Estate,Southern Plains,Region,2016,1930
Oklahoma,Farm Real Estate,Southern Plains,State,2016,1800
Texas,Farm Real Estate,Southern Plains,State,2016,1960
Mountain,Farm Real Estate,Mountain,Region,2016,1110
Arizona,Farm Real Estate,Mountain,State,2016,3800
Colorado,Farm Real Estate,Mountain,State,2016,1420
Idaho,Farm Real Estate,Mountain,State,2016,2500
Montana,Farm Real Estate,Mountain,State,2016,900
Nevada,Farm Real Estate,Mountain,State,2016,1110
New Mexico,Farm Real Estate,Mountain,State,2016,520
Utah,Farm Real Estate,Mountain,State,2016,2040
Wyoming,Farm Real Estate,Mountain,State,2016,660
Pacific,Farm Real Estate,Pacific,Region,2016,4940
California,Farm Real Estate,Pacific,State,2016,7900
Oregon,Farm Real Estate,Pacific,State,2016,2200
Washington,Farm Real Estate,Pacific,State,2016,2850
United States,Farm Real Estate,Continental U.S.,Region,2016,3010
Northeast,Farm Real Estate,Northeast,Region,2017,5050
Connecticut,Farm Real Estate,Northeast,State,2017,11200
Delaware,Farm Real Estate,Northeast,State,2017,8400
Maine,Farm Real Estate,Northeast,State,2017,2200
Maryland,Farm Real Estate,Northeast,State,2017,7060
Massachusetts,Farm Real Estate,Northeast,State,2017,10400
New Hampshire,Farm Real Estate,Northeast,State,2017,4500
New Jersey,Farm Real Estate,Northeast,State,2017,12800
New York,Farm Real Estate,Northeast,State,2017,2980
Pennsylvania,Farm Real Estate,Northeast,State,2017,5600
Rhode Island,Farm Real Estate,Northeast,State,2017,13800
Vermont,Farm Real Estate,Northeast,State,2017,3360
Lake,Farm Real Estate,Lake States,Region,2017,4890
Michigan,Farm Real Estate,Lake States,State,2017,4800
Minnesota,Farm Real Estate,Lake States,State,2017,4750
Wisconsin,Farm Real Estate,Lake States,State,2017,5200
Corn Belt,Farm Real Estate,Corn Belt,Region,2017,6260
Illinois,Farm Real Estate,Corn Belt,State,2017,7300
Indiana,Farm Real Estate,Corn Belt,State,2017,7000
Iowa,Farm Real Estate,Corn Belt,State,2017,8000
Missouri,Farm Real Estate,Corn Belt,State,2017,3350
Ohio,Farm Real Estate,Corn Belt,State,2017,5650
Northern Plains,Farm Real Estate,Northern Plains,Region,2017,2200
Kansas,Farm Real Estate,Northern Plains,State,2017,1850
Nebraska,Farm Real Estate,Northern Plains,State,2017,2900
North Dakota,Farm Real Estate,Northern Plains,State,2017,1840
South Dakota,Farm Real Estate,Northern Plains,State,2017,2180
Appalachian,Farm Real Estate,Appalachian,Region,2017,3800
Kentucky,Farm Real Estate,Appalachian,State,2017,3420
North Carolina,Farm Real Estate,Appalachian,State,2017,4450
Tennessee,Farm Real Estate,Appalachian,State,2017,3750
Virginia,Farm Real Estate,Appalachian,State,2017,4350
West Virginia,Farm Real Estate,Appalachian,State,2017,2570
Southeast,Farm Real Estate,Southeast,Region,2017,3870
Alabama,Farm Real Estate,Southeast,State,2017,2750
Florida,Farm Real Estate,Southeast,State,2017,5700
Georgia,Farm Real Estate,Southeast,State,2017,3550
South Carolina,Farm Real Estate,Southeast,State,2017,3000
Delta,Farm Real Estate,Delta States,Region,2017,2910
Arkansas,Farm Real Estate,Delta States,State,2017,3180
Louisiana,Farm Real Estate,Delta States,State,2017,3000
Mississippi,Farm Real Estate,Delta States,State,2017,2500
Southern Plains,Farm Real Estate,Southern Plains,Region,2017,2050
Oklahoma,Farm Real Estate,Southern Plains,State,2017,1900
Texas,Farm Real Estate,Southern Plains,State,2017,2090
Mountain,Farm Real Estate,Mountain,Region,2017,1130
Arizona,Farm Real Estate,Mountain,State,2017,4100
Colorado,Farm Real Estate,Mountain,State,2017,1430
Idaho,Farm Real Estate,Mountain,State,2017,2600
Montana,Farm Real Estate,Mountain,State,2017,920
Nevada,Farm Real Estate,Mountain,State,2017,1110
New Mexico,Farm Real Estate,Mountain,State,2017,530
Utah,Farm Real Estate,Mountain,State,2017,2070
Wyoming,Farm Real Estate,Mountain,State,2017,660
Pacific,Farm Real Estate,Pacific,Region,2017,5370
California,Farm Real Estate,Pacific,State,2017,8700
Oregon,Farm Real Estate,Pacific,State,2017,2310
Washington,Farm Real Estate,Pacific,State,2017,3000
United States,Farm Real Estate,Continental U.S.,Region,2017,3080
Northeast,Cropland,Northeast,Region,1997,2590
Delaware,Cropland,Northeast,State,1997,2500
Maryland,Cropland,Northeast,State,1997,3050
New Jersey,Cropland,Northeast,State,1997,8500
New York,Cropland,Northeast,State,1997,1020
Pennsylvania,Cropland,Northeast,State,1997,2650
Other States,Cropland,Northeast,State,1997,4260
Lake,Cropland,Lake States,Region,1997,1130
Michigan,Cropland,Lake States,State,1997,1360
Minnesota,Cropland,Lake States,State,1997,1090
Wisconsin,Cropland,Lake States,State,1997,1040
Corn Belt,Cropland,Corn Belt,Region,1997,1760
Illinois,Cropland,Corn Belt,State,1997,2070
Indiana,Cropland,Corn Belt,State,1997,1900
Iowa,Cropland,Corn Belt,State,1997,1700
Missouri,Cropland,Corn Belt,State,1997,1040
Ohio,Cropland,Corn Belt,State,1997,1990
Northern Plains,Cropland,Northern Plains,Region,1997,633
Kansas,Cropland,Northern Plains,State,1997,649
Nebraska,Cropland,Northern Plains,State,1997,1020
North Dakota,Cropland,Northern Plains,State,1997,427
South Dakota,Cropland,Northern Plains,State,1997,456
Appalachian,Cropland,Appalachian,Region,1997,1730
Kentucky,Cropland,Appalachian,State,1997,1500
North Carolina,Cropland,Appalachian,State,1997,1880
Tennessee,Cropland,Appalachian,State,1997,1830
Virginia,Cropland,Appalachian,State,1997,1820
West Virginia,Cropland,Appalachian,State,1997,1540
Southeast,Cropland,Southeast,Region,1997,1610
Alabama,Cropland,Southeast,State,1997,1200
Florida,Cropland,Southeast,State,1997,3280
Georgia,Cropland,Southeast,State,1997,1060
South Carolina,Cropland,Southeast,State,1997,1090
Delta,Cropland,Delta States,Region,1997,956
Arkansas,Cropland,Delta States,State,1997,968
Louisiana,Cropland,Delta States,State,1997,1080
Mississippi,Cropland,Delta States,State,1997,821
Southern Plains,Cropland,Southern Plains,Region,1997,641
Oklahoma,Cropland,Southern Plains,State,1997,553
Texas,Cropland,Southern Plains,State,1997,674
Mountain,Cropland,Mountain,Region,1997,904
Arizona,Cropland,Mountain,State,1997,3700
Colorado,Cropland,Mountain,State,1997,772
Idaho,Cropland,Mountain,State,1997,1320
Montana,Cropland,Mountain,State,1997,458
Nevada,Cropland,Mountain,State,1997,1700
New Mexico,Cropland,Mountain,State,1997,1330
Utah,Cropland,Mountain,State,1997,2300
Wyoming,Cropland,Mountain,State,1997,744
Pacific,Cropland,Pacific,Region,1997,3030
California,Cropland,Pacific,State,1997,5080
Oregon,Cropland,Pacific,State,1997,1430
Washington,Cropland,Pacific,State,1997,1340
United States,Cropland,Continental U.S.,Region,1997,1270
Northeast,Cropland,Northeast,Region,1998,2620
Delaware,Cropland,Northeast,State,1998,2620
Maryland,Cropland,Northeast,State,1998,3100
New Jersey,Cropland,Northeast,State,1998,8000
New York,Cropland,Northeast,State,1998,1040
Pennsylvania,Cropland,Northeast,State,1998,2740
Other States,Cropland,Northeast,State,1998,4290
Lake,Cropland,Lake States,Region,1998,1220
Michigan,Cropland,Lake States,State,1998,1480
Minnesota,Cropland,Lake States,State,1998,1160
Wisconsin,Cropland,Lake States,State,1998,1130
Corn Belt,Cropland,Corn Belt,Region,1998,1910
Illinois,Cropland,Corn Belt,State,1998,2240
Indiana,Cropland,Corn Belt,State,1998,2100
Iowa,Cropland,Corn Belt,State,1998,1860
Missouri,Cropland,Corn Belt,State,1998,1130
Ohio,Cropland,Corn Belt,State,1998,2150
Northern Plains,Cropland,Northern Plains,Region,1998,648
Kansas,Cropland,Northern Plains,State,1998,655
Nebraska,Cropland,Northern Plains,State,1998,1040
North Dakota,Cropland,Northern Plains,State,1998,440
South Dakota,Cropland,Northern Plains,State,1998,480
Appalachian,Cropland,Appalachian,Region,1998,1830
Kentucky,Cropland,Appalachian,State,1998,1620
North Carolina,Cropland,Appalachian,State,1998,1950
Tennessee,Cropland,Appalachian,State,1998,1970
Virginia,Cropland,Appalachian,State,1998,1880
West Virginia,Cropland,Appalachian,State,1998,1600
Southeast,Cropland,Southeast,Region,1998,1670
Alabama,Cropland,Southeast,State,1998,1260
Florida,Cropland,Southeast,State,1998,3230
Georgia,Cropland,Southeast,State,1998,1140
South Carolina,Cropland,Southeast,State,1998,1160
Delta,Cropland,Delta States,Region,1998,996
Arkansas,Cropland,Delta States,State,1998,1030
Louisiana,Cropland,Delta States,State,1998,1060
Mississippi,Cropland,Delta States,State,1998,878
Southern Plains,Cropland,Southern Plains,Region,1998,667
Oklahoma,Cropland,Southern Plains,State,1998,577
Texas,Cropland,Southern Plains,State,1998,701
Mountain,Cropland,Mountain,Region,1998,936
Arizona,Cropland,Mountain,State,1998,3800
Colorado,Cropland,Mountain,State,1998,809
Idaho,Cropland,Mountain,State,1998,1370
Montana,Cropland,Mountain,State,1998,463
Nevada,Cropland,Mountain,State,1998,1850
New Mexico,Cropland,Mountain,State,1998,1380
Utah,Cropland,Mountain,State,1998,2390
Wyoming,Cropland,Mountain,State,1998,777
Pacific,Cropland,Pacific,Region,1998,3150
California,Cropland,Pacific,State,1998,5260
Oregon,Cropland,Pacific,State,1998,1430
Washington,Cropland,Pacific,State,1998,1430
United States,Cropland,Continental U.S.,Region,1998,1340
Northeast,Cropland,Northeast,Region,1999,2700
Delaware,Cropland,Northeast,State,1999,2700
Maryland,Cropland,Northeast,State,1999,3200
New Jersey,Cropland,Northeast,State,1999,7800
New York,Cropland,Northeast,State,1999,1100
Pennsylvania,Cropland,Northeast,State,1999,2870
Other States,Cropland,Northeast,State,1999,4360
Lake,Cropland,Lake States,Region,1999,1340
Michigan,Cropland,Lake States,State,1999,1670
Minnesota,Cropland,Lake States,State,1999,1230
Wisconsin,Cropland,Lake States,State,1999,1300
Corn Belt,Cropland,Corn Belt,Region,1999,2030
Illinois,Cropland,Corn Belt,State,1999,2370
Indiana,Cropland,Corn Belt,State,1999,2270
Iowa,Cropland,Corn Belt,State,1999,1930
Missouri,Cropland,Corn Belt,State,1999,1190
Ohio,Cropland,Corn Belt,State,1999,2350
Northern Plains,Cropland,Northern Plains,Region,1999,658
Kansas,Cropland,Northern Plains,State,1999,659
Nebraska,Cropland,Northern Plains,State,1999,1080
North Dakota,Cropland,Northern Plains,State,1999,435
South Dakota,Cropland,Northern Plains,State,1999,491
Appalachian,Cropland,Appalachian,Region,1999,1930
Kentucky,Cropland,Appalachian,State,1999,1630
North Carolina,Cropland,Appalachian,State,1999,2130
Tennessee,Cropland,Appalachian,State,1999,2100
Virginia,Cropland,Appalachian,State,1999,1980
West Virginia,Cropland,Appalachian,State,1999,1570
Southeast,Cropland,Southeast,Region,1999,1720
Alabama,Cropland,Southeast,State,1999,1320
Florida,Cropland,Southeast,State,1999,3190
Georgia,Cropland,Southeast,State,1999,1250
South Carolina,Cropland,Southeast,State,1999,1200
Delta,Cropland,Delta States,Region,1999,1030
Arkansas,Cropland,Delta States,State,1999,1080
Louisiana,Cropland,Delta States,State,1999,1060
Mississippi,Cropland,Delta States,State,1999,925
Southern Plains,Cropland,Southern Plains,Region,1999,681
Oklahoma,Cropland,Southern Plains,State,1999,558
Texas,Cropland,Southern Plains,State,1999,728
Mountain,Cropland,Mountain,Region,1999,968
Arizona,Cropland,Mountain,State,1999,4100
Colorado,Cropland,Mountain,State,1999,833
Idaho,Cropland,Mountain,State,1999,1420
Montana,Cropland,Mountain,State,1999,461
Nevada,Cropland,Mountain,State,1999,1900
New Mexico,Cropland,Mountain,State,1999,1420
Utah,Cropland,Mountain,State,1999,2610
Wyoming,Cropland,Mountain,State,1999,781
Pacific,Cropland,Pacific,Region,1999,3350
California,Cropland,Pacific,State,1999,5700
Oregon,Cropland,Pacific,State,1999,1520
Washington,Cropland,Pacific,State,1999,1410
United States,Cropland,Continental U.S.,Region,1999,1410
Northeast,Cropland,Northeast,Region,2000,2690
Delaware,Cropland,Northeast,State,2000,3000
Maryland,Cropland,Northeast,State,2000,3500
New Jersey,Cropland,Northeast,State,2000,8400
New York,Cropland,Northeast,State,2000,1180
Pennsylvania,Cropland,Northeast,State,2000,3000
Other States,Cropland,Northeast,State,2000,3240
Lake,Cropland,Lake States,Region,2000,1450
Michigan,Cropland,Lake States,State,2000,1820
Minnesota,Cropland,Lake States,State,2000,1280
Wisconsin,Cropland,Lake States,State,2000,1600
Corn Belt,Cropland,Corn Belt,Region,2000,2040
Illinois,Cropland,Corn Belt,State,2000,2350
Indiana,Cropland,Corn Belt,State,2000,2250
Iowa,Cropland,Corn Belt,State,2000,1940
Missouri,Cropland,Corn Belt,State,2000,1300
Ohio,Cropland,Corn Belt,State,2000,2400
Northern Plains,Cropland,Northern Plains,Region,2000,680
Kansas,Cropland,Northern Plains,State,2000,666
Nebraska,Cropland,Northern Plains,State,2000,1130
North Dakota,Cropland,Northern Plains,State,2000,440
South Dakota,Cropland,Northern Plains,State,2000,545
Appalachian,Cropland,Appalachian,Region,2000,2070
Kentucky,Cropland,Appalachian,State,2000,1800
North Carolina,Cropland,Appalachian,State,2000,2350
Tennessee,Cropland,Appalachian,State,2000,2120
Virginia,Cropland,Appalachian,State,2000,2150
West Virginia,Cropland,Appalachian,State,2000,1700
Southeast,Cropland,Southeast,Region,2000,1960
Alabama,Cropland,Southeast,State,2000,1450
Florida,Cropland,Southeast,State,2000,3550
Georgia,Cropland,Southeast,State,2000,1600
South Carolina,Cropland,Southeast,State,2000,1350
Delta,Cropland,Delta States,Region,2000,1070
Arkansas,Cropland,Delta States,State,2000,1100
Louisiana,Cropland,Delta States,State,2000,1130
Mississippi,Cropland,Delta States,State,2000,985
Southern Plains,Cropland,Southern Plains,Region,2000,721
Oklahoma,Cropland,Southern Plains,State,2000,600
Texas,Cropland,Southern Plains,State,2000,769
Mountain,Cropland,Mountain,Region,2000,990
Arizona,Cropland,Mountain,State,2000,4400
Colorado,Cropland,Mountain,State,2000,922
Idaho,Cropland,Mountain,State,2000,1470
Montana,Cropland,Mountain,State,2000,481
Nevada,Cropland,Mountain,State,2000,1850
New Mexico,Cropland,Mountain,State,2000,1390
Utah,Cropland,Mountain,State,2000,2620
Wyoming,Cropland,Mountain,State,2000,830
Pacific,Cropland,Pacific,Region,2000,3250
California,Cropland,Pacific,State,2000,5450
Oregon,Cropland,Pacific,State,2000,1550
Washington,Cropland,Pacific,State,2000,1420
United States,Cropland,Continental U.S.,Region,2000,1460
Northeast,Cropland,Northeast,Region,2001,2820
Delaware,Cropland,Northeast,State,2001,3250
Maryland,Cropland,Northeast,State,2001,3700
New Jersey,Cropland,Northeast,State,2001,8700
New York,Cropland,Northeast,State,2001,1250
Pennsylvania,Cropland,Northeast,State,2001,3180
Other States,Cropland,Northeast,State,2001,3510
Lake,Cropland,Lake States,Region,2001,1560
Michigan,Cropland,Lake States,State,2001,1980
Minnesota,Cropland,Lake States,State,2001,1350
Wisconsin,Cropland,Lake States,State,2001,1800
Corn Belt,Cropland,Corn Belt,Region,2001,2100
Illinois,Cropland,Corn Belt,State,2001,2370
Indiana,Cropland,Corn Belt,State,2001,2330
Iowa,Cropland,Corn Belt,State,2001,1980
Missouri,Cropland,Corn Belt,State,2001,1380
Ohio,Cropland,Corn Belt,State,2001,2520
Northern Plains,Cropland,Northern Plains,Region,2001,700
Kansas,Cropland,Northern Plains,State,2001,673
Nebraska,Cropland,Northern Plains,State,2001,1160
North Dakota,Cropland,Northern Plains,State,2001,445
South Dakota,Cropland,Northern Plains,State,2001,585
Appalachian,Cropland,Appalachian,Region,2001,2210
Kentucky,Cropland,Appalachian,State,2001,1900
North Carolina,Cropland,Appalachian,State,2001,2550
Tennessee,Cropland,Appalachian,State,2001,2200
Virginia,Cropland,Appalachian,State,2001,2350
West Virginia,Cropland,Appalachian,State,2001,1800
Southeast,Cropland,Southeast,Region,2001,2090
Alabama,Cropland,Southeast,State,2001,1530
Florida,Cropland,Southeast,State,2001,3720
Georgia,Cropland,Southeast,State,2001,1780
South Carolina,Cropland,Southeast,State,2001,1450
Delta,Cropland,Delta States,Region,2001,1120
Arkansas,Cropland,Delta States,State,2001,1140
Louisiana,Cropland,Delta States,State,2001,1160
Mississippi,Cropland,Delta States,State,2001,1040
Southern Plains,Cropland,Southern Plains,Region,2001,753
Oklahoma,Cropland,Southern Plains,State,2001,619
Texas,Cropland,Southern Plains,State,2001,805
Mountain,Cropland,Mountain,Region,2001,1030
Arizona,Cropland,Mountain,State,2001,4800
Colorado,Cropland,Mountain,State,2001,966
Idaho,Cropland,Mountain,State,2001,1530
Montana,Cropland,Mountain,State,2001,493
Nevada,Cropland,Mountain,State,2001,1850
New Mexico,Cropland,Mountain,State,2001,1420
Utah,Cropland,Mountain,State,2001,2790
Wyoming,Cropland,Mountain,State,2001,872
Pacific,Cropland,Pacific,Region,2001,3310
California,Cropland,Pacific,State,2001,5550
Oregon,Cropland,Pacific,State,2001,1600
Washington,Cropland,Pacific,State,2001,1430
United States,Cropland,Continental U.S.,Region,2001,1510
Northeast,Cropland,Northeast,Region,2002,3210
Delaware,Cropland,Northeast,State,2002,3500
Maryland,Cropland,Northeast,State,2002,3900
New Jersey,Cropland,Northeast,State,2002,9000
New York,Cropland,Northeast,State,2002,1320
Pennsylvania,Cropland,Northeast,State,2002,3350
Other States,Cropland,Northeast,State,2002,5240
Lake,Cropland,Lake States,Region,2002,1720
Michigan,Cropland,Lake States,State,2002,2150
Minnesota,Cropland,Lake States,State,2002,1430
Wisconsin,Cropland,Lake States,State,2002,2000
Corn Belt,Cropland,Corn Belt,Region,2002,2180
Illinois,Cropland,Corn Belt,State,2002,2430
Indiana,Cropland,Corn Belt,State,2002,2440
Iowa,Cropland,Corn Belt,State,2002,2040
Missouri,Cropland,Corn Belt,State,2002,1480
Ohio,Cropland,Corn Belt,State,2002,2630
Northern Plains,Cropland,Northern Plains,Region,2002,720
Kansas,Cropland,Northern Plains,State,2002,679
Nebraska,Cropland,Northern Plains,State,2002,1200
North Dakota,Cropland,Northern Plains,State,2002,450
South Dakota,Cropland,Northern Plains,State,2002,626
Appalachian,Cropland,Appalachian,Region,2002,2340
Kentucky,Cropland,Appalachian,State,2002,2000
North Carolina,Cropland,Appalachian,State,2002,2750
Tennessee,Cropland,Appalachian,State,2002,2270
