Source,Product,Quantity(mts)
"MMTC, India (G2G)",Urea,7500
"IPL, India (Global)",Urea,30000
"MMTC, India (G2G)",D.A.P,10000
Hulas Chand Co. Ltd,Urea,4000
"MMTC, India (G2G)",Urea,10000
"MMTC, India (G2G)",Urea,10000
"MMTC, India (G2G)",Urea,10000
"IPL, India (G2G)",D.A.P,10000
"MMTC, India (G2G)",Urea,10000
"MMTC, India (G2G)",Urea,10000
,Total,111500
